sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 15h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3901720732 | Bytes Rx: 226175323 | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 15h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3901720732 | Bytes Rx: 226175323 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 |Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 ||



Username: Vmuthu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.201 | Public IP: 122.164.254.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:42:49 IST Sun Jul 19 2020 | Duration: 15h:17m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 180113189 | Bytes Rx: 280844214 | IP Addr: 10.149.232.201 | Public IP: 122.164.254.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:42:49 IST Sun Jul 19 2020 | Duration: 15h:17m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 180113189 | Bytes Rx: 280844214 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14913 | Audit Session ID: 0a95072a03a410005f1454e1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 14913 | Audit Session ID: 0a95072a03a410005f1454e1 | Security Group Tag: none | EasyVPN: 0 ||
Username: chrisang | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.27 | Public IP: 115.97.54.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:44:35 IST Mon Jul 20 2020 | Duration: 9h:15m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 3503018655 | Bytes Rx: 132644757 | IP Addr: 10.149.233.27 | Public IP: 115.97.54.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:44:35 IST Mon Jul 20 2020 | Duration: 9h:15m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 3503018655 | Bytes Rx: 132644757 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15146 | Audit Session ID: 0a95072a03b2a0005f14a9ab | Security Group Tag: none | EasyVPN: 0 |Session ID: 15146 | Audit Session ID: 0a95072a03b2a0005f14a9ab | Security Group Tag: none | EasyVPN: 0 ||
Username: vvaiyapu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.193 | Public IP: 115.99.9.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:40:53 IST Mon Jul 20 2020 | Duration: 5h:19m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 488209581 | Bytes Rx: 260697897 | IP Addr: 10.149.232.193 | Public IP: 115.99.9.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:40:53 IST Mon Jul 20 2020 | Duration: 5h:19m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 488209581 | Bytes Rx: 260697897 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15153 | Audit Session ID: 0a95072a03b310005f14e10d | Security Group Tag: none | EasyVPN: 0 |Session ID: 15153 | Audit Session ID: 0a95072a03b310005f14e10d | Security Group Tag: none | EasyVPN: 0 ||
Username: nkumaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.195 | Public IP: 157.50.10.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:46:14 IST Mon Jul 20 2020 | Duration: 5h:13m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 67910138 | Bytes Rx: 41181191 | IP Addr: 10.149.232.195 | Public IP: 157.50.10.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:46:14 IST Mon Jul 20 2020 | Duration: 5h:13m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 67910138 | Bytes Rx: 41181191 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15154 | Audit Session ID: 0a95072a03b320005f14e24e | Security Group Tag: none | EasyVPN: 0 |Session ID: 15154 | Audit Session ID: 0a95072a03b320005f14e24e | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.196 | Public IP: 116.88.69.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:31 IST Mon Jul 20 2020 | Duration: 5h:01m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 442934597 | Bytes Rx: 78605665 | IP Addr: 10.149.232.196 | Public IP: 116.88.69.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:31 IST Mon Jul 20 2020 | Duration: 5h:01m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 442934597 | Bytes Rx: 78605665 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15156 | Audit Session ID: 0a95072a03b340005f14e52f | Security Group Tag: none | EasyVPN: 0 |Session ID: 15156 | Audit Session ID: 0a95072a03b340005f14e52f | Security Group Tag: none | EasyVPN: 0 ||
Username: rsundarr | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.197 | Public IP: 106.208.19.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:02 IST Mon Jul 20 2020 | Duration: 4h:52m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 104751821 | Bytes Rx: 62527453 | IP Addr: 10.149.232.197 | Public IP: 106.208.19.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:02 IST Mon Jul 20 2020 | Duration: 4h:52m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 104751821 | Bytes Rx: 62527453 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15158 | Audit Session ID: 0a95072a03b360005f14e76a | Security Group Tag: none | EasyVPN: 0 |Session ID: 15158 | Audit Session ID: 0a95072a03b360005f14e76a | Security Group Tag: none | EasyVPN: 0 ||
Username: laksnara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.117 | Public IP: 157.50.53.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:14 IST Mon Jul 20 2020 | Duration: 4h:51m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 131182197 | Bytes Rx: 61517811 | IP Addr: 10.149.232.117 | Public IP: 157.50.53.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:14 IST Mon Jul 20 2020 | Duration: 4h:51m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 131182197 | Bytes Rx: 61517811 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15159 | Audit Session ID: 0a95072a03b370005f14e776 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15159 | Audit Session ID: 0a95072a03b370005f14e776 | Security Group Tag: none | EasyVPN: 0 ||
