sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.171 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:08:53 IST Thu Jul 2 2020 | Duration: 18d 0h:51m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 2603312717 | Bytes Rx: 2723426080 | IP Addr: 10.150.236.171 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:08:53 IST Thu Jul 2 2020 | Duration: 18d 0h:51m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 2603312717 | Bytes Rx: 2723426080 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 84317 | Audit Session ID: 0a96cf691495d0005efd64dd | Security Group Tag: none | EasyVPN: 0 |Session ID: 84317 | Audit Session ID: 0a96cf691495d0005efd64dd | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.125 | Public IP: 182.57.210.203 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:37:08 IST Fri Jul 17 2020 | Duration: 2d 15h:23m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1423580766 | Bytes Rx: 884401146 | IP Addr: 10.150.237.125 | Public IP: 182.57.210.203 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:37:08 IST Fri Jul 17 2020 | Duration: 2d 15h:23m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1423580766 | Bytes Rx: 884401146 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 136612 | Audit Session ID: 0a96cf69215a40005f11b08c | Security Group Tag: none | EasyVPN: 0 |Session ID: 136612 | Audit Session ID: 0a96cf69215a40005f11b08c | Security Group Tag: none | EasyVPN: 0 ||
Username: Srchanda | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.174 | Public IP: 49.37.5.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:40 IST Sat Jul 18 2020 | Duration: 1d 15h:51m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1260759546 | Bytes Rx: 312298916 | IP Addr: 10.150.236.174 | Public IP: 49.37.5.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:40 IST Sat Jul 18 2020 | Duration: 1d 15h:51m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1260759546 | Bytes Rx: 312298916 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139685 | Audit Session ID: 0a96cf69221a50005f12fb60 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139685 | Audit Session ID: 0a96cf69221a50005f12fb60 | Security Group Tag: none | EasyVPN: 0 ||
Username: Skambale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.165 | Public IP: 103.208.71.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:18 IST Sun Jul 19 2020 | Duration: 1d 3h:43m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 204892164 | Bytes Rx: 204106316 | IP Addr: 10.150.236.165 | Public IP: 103.208.71.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:18 IST Sun Jul 19 2020 | Duration: 1d 3h:43m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 204892164 | Bytes Rx: 204106316 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 140401 | Audit Session ID: 0a96cf69224710005f13a5ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 140401 | Audit Session ID: 0a96cf69224710005f13a5ea | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.18 | Public IP: 157.33.145.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:26:38 IST Sun Jul 19 2020 | Duration: 11h:33m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 38733746 | Bytes Rx: 22962906 | IP Addr: 10.150.236.18 | Public IP: 157.33.145.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:26:38 IST Sun Jul 19 2020 | Duration: 11h:33m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 38733746 | Bytes Rx: 22962906 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142058 | Audit Session ID: 0a96cf6922aea0005f148956 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142058 | Audit Session ID: 0a96cf6922aea0005f148956 | Security Group Tag: none | EasyVPN: 0 ||
Username: sijayara | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.155 | Public IP: 14.200.96.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Mon Jul 20 2020 | Duration: 5h:32m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 571931499 | Bytes Rx: 36296302 | IP Addr: 10.150.236.155 | Public IP: 14.200.96.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Mon Jul 20 2020 | Duration: 5h:32m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 571931499 | Bytes Rx: 36296302 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142222 | Audit Session ID: 0a96cf6922b8e0005f14dddf | Security Group Tag: none | EasyVPN: 0 |Session ID: 142222 | Audit Session ID: 0a96cf6922b8e0005f14dddf | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.154 | Public IP: 117.96.194.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:48:01 IST Mon Jul 20 2020 | Duration: 5h:12m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 35796955 | Bytes Rx: 18200130 | IP Addr: 10.150.236.154 | Public IP: 117.96.194.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:48:01 IST Mon Jul 20 2020 | Duration: 5h:12m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 35796955 | Bytes Rx: 18200130 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142237 | Audit Session ID: 0a96cf6922b9d0005f14e2b9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142237 | Audit Session ID: 0a96cf6922b9d0005f14e2b9 | Security Group Tag: none | EasyVPN: 0 ||
Username: rponnapa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.158 | Public IP: 110.225.16.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:03 IST Mon Jul 20 2020 | Duration: 5h:02m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 481506506 | Bytes Rx: 55718626 | IP Addr: 10.150.236.158 | Public IP: 110.225.16.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:03 IST Mon Jul 20 2020 | Duration: 5h:02m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 481506506 | Bytes Rx: 55718626 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142243 | Audit Session ID: 0a96cf6922ba30005f14e513 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142243 | Audit Session ID: 0a96cf6922ba30005f14e513 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArchanaP | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.161 | Public IP: 157.47.16.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:04:12 IST Mon Jul 20 2020 | Duration: 4h:55m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 449508686 | Bytes Rx: 95532211 | IP Addr: 10.150.236.161 | Public IP: 157.47.16.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:04:12 IST Mon Jul 20 2020 | Duration: 4h:55m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 449508686 | Bytes Rx: 95532211 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142248 | Audit Session ID: 0a96cf6922ba80005f14e684 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142248 | Audit Session ID: 0a96cf6922ba80005f14e684 | Security Group Tag: none | EasyVPN: 0 ||
Username: atulmat | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.162 | Public IP: 103.221.72.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:35 IST Mon Jul 20 2020 | Duration: 4h:52m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 776232748 | Bytes Rx: 89154851 | IP Addr: 10.150.236.162 | Public IP: 103.221.72.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:35 IST Mon Jul 20 2020 | Duration: 4h:52m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 776232748 | Bytes Rx: 89154851 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142250 | Audit Session ID: 0a96cf6922baa0005f14e74f | Security Group Tag: none | EasyVPN: 0 |Session ID: 142250 | Audit Session ID: 0a96cf6922baa0005f14e74f | Security Group Tag: none | EasyVPN: 0 ||
Username: karparde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.223 | Public IP: 157.33.161.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:52 IST Mon Jul 20 2020 | Duration: 4h:44m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 181703202 | Bytes Rx: 92696587 | IP Addr: 10.150.237.223 | Public IP: 157.33.161.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:52 IST Mon Jul 20 2020 | Duration: 4h:44m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 181703202 | Bytes Rx: 92696587 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142256 | Audit Session ID: 0a96cf6922bb00005f14e940 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142256 | Audit Session ID: 0a96cf6922bb00005f14e940 | Security Group Tag: none | EasyVPN: 0 ||
