sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PratKamb | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.172 | Public IP: 49.35.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:09:09 IST Sat Jul 18 2020 | Duration: 1d 22h:50m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 2428703645 | Bytes Rx: 530864148 | IP Addr: 10.150.238.172 | Public IP: 49.35.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:09:09 IST Sat Jul 18 2020 | Duration: 1d 22h:50m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 2428703645 | Bytes Rx: 530864148 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 128137 | Audit Session ID: 0a96cf6a1f4890005f12990d | Security Group Tag: none | EasyVPN: 0 |Session ID: 128137 | Audit Session ID: 0a96cf6a1f4890005f12990d | Security Group Tag: none | EasyVPN: 0 ||
Username: VisheshK | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.14 | Public IP: 223.229.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:40 IST Sun Jul 19 2020 | Duration: 1d 3h:57m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 641051248 | Bytes Rx: 261190710 | IP Addr: 10.150.239.14 | Public IP: 223.229.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:40 IST Sun Jul 19 2020 | Duration: 1d 3h:57m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 641051248 | Bytes Rx: 261190710 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129623 | Audit Session ID: 0a96cf6a1fa570005f13a2b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 129623 | Audit Session ID: 0a96cf6a1fa570005f13a2b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.176 | Public IP: 183.87.42.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:46 IST Sun Jul 19 2020 | Duration: 1d 0h:54m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1753004276 | Bytes Rx: 184324214 | IP Addr: 10.150.238.176 | Public IP: 183.87.42.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:46 IST Sun Jul 19 2020 | Duration: 1d 0h:54m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1753004276 | Bytes Rx: 184324214 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129835 | Audit Session ID: 0a96cf6a1fb2b0005f13cda2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 129835 | Audit Session ID: 0a96cf6a1fb2b0005f13cda2 | Security Group Tag: none | EasyVPN: 0 ||
Username: gmalik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.52 | Public IP: 122.177.79.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:38 IST Sun Jul 19 2020 | Duration: 23h:18m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 597348111 | Bytes Rx: 116556260 | IP Addr: 10.150.239.52 | Public IP: 122.177.79.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:38 IST Sun Jul 19 2020 | Duration: 23h:18m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 597348111 | Bytes Rx: 116556260 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129964 | Audit Session ID: 0a96cf6a1fbac0005f13e41a | Security Group Tag: none | EasyVPN: 0 |Session ID: 129964 | Audit Session ID: 0a96cf6a1fbac0005f13e41a | Security Group Tag: none | EasyVPN: 0 ||
Username: rahulmar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.189 | Public IP: 103.220.80.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:43 IST Sun Jul 19 2020 | Duration: 21h:03m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 734193375 | Bytes Rx: 253075390 | IP Addr: 10.150.238.189 | Public IP: 103.220.80.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:43 IST Sun Jul 19 2020 | Duration: 21h:03m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 734193375 | Bytes Rx: 253075390 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130190 | Audit Session ID: 0a96cf6a1fc8e0005f1403c3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130190 | Audit Session ID: 0a96cf6a1fc8e0005f1403c3 | Security Group Tag: none | EasyVPN: 0 ||
Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.195 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:59:20 IST Sun Jul 19 2020 | Duration: 15h:00m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 238054008 | Bytes Rx: 26135349 | IP Addr: 10.150.238.195 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:59:20 IST Sun Jul 19 2020 | Duration: 15h:00m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 238054008 | Bytes Rx: 26135349 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130679 | Audit Session ID: 0a96cf6a1fe770005f1458c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130679 | Audit Session ID: 0a96cf6a1fe770005f1458c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.153 | Public IP: 103.110.253.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:39:56 IST Sun Jul 19 2020 | Duration: 12h:20m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 144190727 | Bytes Rx: 45762351 | IP Addr: 10.150.238.153 | Public IP: 103.110.253.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:39:56 IST Sun Jul 19 2020 | Duration: 12h:20m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 144190727 | Bytes Rx: 45762351 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130946 | Audit Session ID: 0a96cf6a1ff820005f147e64 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130946 | Audit Session ID: 0a96cf6a1ff820005f147e64 | Security Group Tag: none | EasyVPN: 0 ||
Username: RajvaRaw | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.30 | Public IP: 103.208.71.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:18:56 IST Mon Jul 20 2020 | Duration: 8h:41m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 912590590 | Bytes Rx: 124091535 | IP Addr: 10.150.239.30 | Public IP: 103.208.71.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:18:56 IST Mon Jul 20 2020 | Duration: 8h:41m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 912590590 | Bytes Rx: 124091535 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131097 | Audit Session ID: 0a96cf6a200190005f14b1b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131097 | Audit Session ID: 0a96cf6a200190005f14b1b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: prasgiri | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.56 | Public IP: 106.193.209.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:30:20 IST Mon Jul 20 2020 | Duration: 6h:29m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 153747814 | Bytes Rx: 71762131 | IP Addr: 10.150.239.56 | Public IP: 106.193.209.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:30:20 IST Mon Jul 20 2020 | Duration: 6h:29m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 153747814 | Bytes Rx: 71762131 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131117 | Audit Session ID: 0a96cf6a2002d0005f14d084 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131117 | Audit Session ID: 0a96cf6a2002d0005f14d084 | Security Group Tag: none | EasyVPN: 0 ||
Username: jofranci | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.57 | Public IP: 106.208.122.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:33:15 IST Mon Jul 20 2020 | Duration: 6h:26m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 419578938 | Bytes Rx: 105722503 | IP Addr: 10.150.239.57 | Public IP: 106.208.122.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:33:15 IST Mon Jul 20 2020 | Duration: 6h:26m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 419578938 | Bytes Rx: 105722503 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131118 | Audit Session ID: 0a96cf6a2002e0005f14d133 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131118 | Audit Session ID: 0a96cf6a2002e0005f14d133 | Security Group Tag: none | EasyVPN: 0 ||
Username: wgang | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.64 | Public IP: 222.128.179.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:57:53 IST Mon Jul 20 2020 | Duration: 6h:02m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 340345838 | Bytes Rx: 185436136 | IP Addr: 10.150.239.64 | Public IP: 222.128.179.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:57:53 IST Mon Jul 20 2020 | Duration: 6h:02m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 340345838 | Bytes Rx: 185436136 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131125 | Audit Session ID: 0a96cf6a200350005f14d6f9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131125 | Audit Session ID: 0a96cf6a200350005f14d6f9 | Security Group Tag: none | EasyVPN: 0 ||
