sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rip | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 17h:29m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 12948637507 | Bytes Rx: 3081426507 | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 17h:29m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 12948637507 | Bytes Rx: 3081426507 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 |Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 ||
Username: bjani | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.74 | Public IP: 49.32.47.43 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:26:46 UTC Sat Jul 11 2020 | Duration: 9d 0h:03m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1976133494 | Bytes Rx: 280914891 | IP Addr: 10.145.233.74 | Public IP: 49.32.47.43 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:26:46 UTC Sat Jul 11 2020 | Duration: 9d 0h:03m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1976133494 | Bytes Rx: 280914891 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4900 | Audit Session ID: 0a910728013240005f094d96 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4900 | Audit Session ID: 0a910728013240005f094d96 | Security Group Tag: none | EasyVPN: 0 ||
Username: ahollowa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.38 | Public IP: 86.20.115.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:36:53 UTC Sat Jul 11 2020 | Duration: 8d 20h:53m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 3638375019 | Bytes Rx: 3320968274 | IP Addr: 10.145.233.38 | Public IP: 86.20.115.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:36:53 UTC Sat Jul 11 2020 | Duration: 8d 20h:53m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 3638375019 | Bytes Rx: 3320968274 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4930 | Audit Session ID: 0a910728013420005f097a25 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4930 | Audit Session ID: 0a910728013420005f097a25 | Security Group Tag: none | EasyVPN: 0 ||
Username: mheeley | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.185 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:54:36 UTC Mon Jul 13 2020 | Duration: 6d 20h:35m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 2995185151 | Bytes Rx: 736540509 | IP Addr: 10.145.233.185 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:54:36 UTC Mon Jul 13 2020 | Duration: 6d 20h:35m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 2995185151 | Bytes Rx: 736540509 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5389 | Audit Session ID: 0a9107280150d0005f0c214c | Security Group Tag: none | EasyVPN: 0 |Session ID: 5389 | Audit Session ID: 0a9107280150d0005f0c214c | Security Group Tag: none | EasyVPN: 0 ||
Username: hmoussa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.186 | Public IP: 37.156.75.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:59:48 UTC Mon Jul 13 2020 | Duration: 6d 20h:30m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 3193698779 | Bytes Rx: 2102877751 | IP Addr: 10.145.233.186 | Public IP: 37.156.75.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:59:48 UTC Mon Jul 13 2020 | Duration: 6d 20h:30m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 3193698779 | Bytes Rx: 2102877751 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5392 | Audit Session ID: 0a910728015100005f0c2284 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5392 | Audit Session ID: 0a910728015100005f0c2284 | Security Group Tag: none | EasyVPN: 0 ||
Username: mhakonse | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.134 | Public IP: 62.16.175.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:43 UTC Wed Jul 15 2020 | Duration: 4d 22h:50m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1317064003 | Bytes Rx: 269593358 | IP Addr: 10.145.233.134 | Public IP: 62.16.175.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:43 UTC Wed Jul 15 2020 | Duration: 4d 22h:50m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1317064003 | Bytes Rx: 269593358 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6263 | Audit Session ID: 0a910728018770005f0ea4af | Security Group Tag: none | EasyVPN: 0 |Session ID: 6263 | Audit Session ID: 0a910728018770005f0ea4af | Security Group Tag: none | EasyVPN: 0 ||
Username: bwilfred | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.210 | Public IP: 82.171.100.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 UTC Fri Jul 17 2020 | Duration: 2d 21h:37m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1162306000 | Bytes Rx: 658517792 | IP Addr: 10.145.233.210 | Public IP: 82.171.100.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 UTC Fri Jul 17 2020 | Duration: 2d 21h:37m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1162306000 | Bytes Rx: 658517792 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7279 | Audit Session ID: 0a91072801c6f0005f1158e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7279 | Audit Session ID: 0a91072801c6f0005f1158e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: JorgHart | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.232 | Public IP: 84.149.93.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:10 UTC Fri Jul 17 2020 | Duration: 2d 21h:15m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 683848162 | Bytes Rx: 370219905 | IP Addr: 10.145.233.232 | Public IP: 84.149.93.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:10 UTC Fri Jul 17 2020 | Duration: 2d 21h:15m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 683848162 | Bytes Rx: 370219905 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7311 | Audit Session ID: 0a91072801c8f0005f115e0e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7311 | Audit Session ID: 0a91072801c8f0005f115e0e | Security Group Tag: none | EasyVPN: 0 ||
Username: skandram | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.157 | Public IP: 148.252.128.192 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:34:58 UTC Fri Jul 17 2020 | Duration: 2d 20h:55m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 10652252175 | Bytes Rx: 607978956 | IP Addr: 10.145.233.157 | Public IP: 148.252.128.192 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:34:58 UTC Fri Jul 17 2020 | Duration: 2d 20h:55m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 10652252175 | Bytes Rx: 607978956 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7324 | Audit Session ID: 0a91072801c9c0005f1162b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7324 | Audit Session ID: 0a91072801c9c0005f1162b2 | Security Group Tag: none | EasyVPN: 0 ||
Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.1 | Public IP: 83.146.13.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:55:34 UTC Fri Jul 17 2020 | Duration: 2d 18h:34m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 1721414863 | Bytes Rx: 523670813 | IP Addr: 10.145.232.1 | Public IP: 83.146.13.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:55:34 UTC Fri Jul 17 2020 | Duration: 2d 18h:34m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 1721414863 | Bytes Rx: 523670813 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7418 | Audit Session ID: 0a91072801cfa0005f1183a6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7418 | Audit Session ID: 0a91072801cfa0005f1183a6 | Security Group Tag: none | EasyVPN: 0 ||
Username: vinaysh | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.5 | Public IP: 90.213.159.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:00:17 UTC Fri Jul 17 2020 | Duration: 2d 16h:29m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 523760632 | Bytes Rx: 199955875 | IP Addr: 10.145.232.5 | Public IP: 90.213.159.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:00:17 UTC Fri Jul 17 2020 | Duration: 2d 16h:29m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 523760632 | Bytes Rx: 199955875 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7483 | Audit Session ID: 0a91072801d3b0005f11a0e1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7483 | Audit Session ID: 0a91072801d3b0005f11a0e1 | Security Group Tag: none | EasyVPN: 0 ||
Username: verma.aman | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.151 | Public IP: 1.38.44.54 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 02:03:10 UTC Sat Jul 18 2020 | Duration: 2d 3h:27m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1119119101 | Bytes Rx: 133464156 | IP Addr: 10.145.233.151 | Public IP: 1.38.44.54 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 02:03:10 UTC Sat Jul 18 2020 | Duration: 2d 3h:27m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1119119101 | Bytes Rx: 133464156 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7579 | Audit Session ID: 0a91072801d9b0005f12585e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7579 | Audit Session ID: 0a91072801d9b0005f12585e | Security Group Tag: none | EasyVPN: 0 ||
Username: pankchau | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.160 | Public IP: 1.38.148.22 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:14:21 UTC Sat Jul 18 2020 | Duration: 1d 23h:15m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 355104459 | Bytes Rx: 251538528 | IP Addr: 10.145.233.160 | Public IP: 1.38.148.22 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:14:21 UTC Sat Jul 18 2020 | Duration: 1d 23h:15m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 355104459 | Bytes Rx: 251538528 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7644 | Audit Session ID: 0a91072801ddc0005f12933d | Security Group Tag: none | EasyVPN: 0 |Session ID: 7644 | Audit Session ID: 0a91072801ddc0005f12933d | Security Group Tag: none | EasyVPN: 0 ||
Username: verma.aman | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.191 | Public IP: 1.38.41.211 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:02:05 UTC Sun Jul 19 2020 | Duration: 22h:28m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 337709523 | Bytes Rx: 59689298 | IP Addr: 10.145.233.191 | Public IP: 1.38.41.211 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:02:05 UTC Sun Jul 19 2020 | Duration: 22h:28m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 337709523 | Bytes Rx: 59689298 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7770 | Audit Session ID: 0a91072801e5a0005f13efed | Security Group Tag: none | EasyVPN: 0 |Session ID: 7770 | Audit Session ID: 0a91072801e5a0005f13efed | Security Group Tag: none | EasyVPN: 0 ||
