sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.128 | Public IP: 49.206.126.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:28:04 IST Tue May 26 2020 | Duration: 3d 19h:32m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 4173699957 | Bytes Rx: 754952964 | IP Addr: 10.149.235.128 | Public IP: 49.206.126.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:28:04 IST Tue May 26 2020 | Duration: 3d 19h:32m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 4173699957 | Bytes Rx: 754952964 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130724 | Audit Session ID: 0a95072b1fea40005ecca1dc | Security Group Tag: none | EasyVPN: 0 |Session ID: 130724 | Audit Session ID: 0a95072b1fea40005ecca1dc | Security Group Tag: none | EasyVPN: 0 ||
Username: svankad | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.242.15 | Public IP: 116.74.249.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:28:15 IST Wed May 27 2020 | Duration: 2d 17h:32m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 207041583 | Bytes Rx: 59496911 | IP Addr: 10.149.242.15 | Public IP: 116.74.249.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:28:15 IST Wed May 27 2020 | Duration: 2d 17h:32m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 207041583 | Bytes Rx: 59496911 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 133424 | Audit Session ID: 0a95072b209300005ece0f87 | Security Group Tag: none | EasyVPN: 0 |Session ID: 133424 | Audit Session ID: 0a95072b209300005ece0f87 | Security Group Tag: none | EasyVPN: 0 ||
Username: durairkp | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.79 | Public IP: 61.2.38.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:39:06 IST Thu May 28 2020 | Duration: 1d 18h:21m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2620529693 | Bytes Rx: 705400373 | IP Addr: 10.149.235.79 | Public IP: 61.2.38.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:39:06 IST Thu May 28 2020 | Duration: 1d 18h:21m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2620529693 | Bytes Rx: 705400373 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 135412 | Audit Session ID: 0a95072b210f40005ecf5582 | Security Group Tag: none | EasyVPN: 0 |Session ID: 135412 | Audit Session ID: 0a95072b210f40005ecf5582 | Security Group Tag: none | EasyVPN: 0 ||
Username: smaniyan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.243.13 | Public IP: 157.46.86.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:40:40 IST Fri May 29 2020 | Duration: 17h:19m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 359369010 | Bytes Rx: 177725576 | IP Addr: 10.149.243.13 | Public IP: 157.46.86.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:40:40 IST Fri May 29 2020 | Duration: 17h:19m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 359369010 | Bytes Rx: 177725576 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138038 | Audit Session ID: 0a95072b21b360005ed0b570 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138038 | Audit Session ID: 0a95072b21b360005ed0b570 | Security Group Tag: none | EasyVPN: 0 ||
Username: divykaru | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.69 | Public IP: 122.164.71.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:14:38 IST Fri May 29 2020 | Duration: 13h:45m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 97646665 | Bytes Rx: 79915469 | IP Addr: 10.149.235.69 | Public IP: 122.164.71.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:14:38 IST Fri May 29 2020 | Duration: 13h:45m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 97646665 | Bytes Rx: 79915469 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138714 | Audit Session ID: 0a95072b21dda0005ed0e796 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138714 | Audit Session ID: 0a95072b21dda0005ed0e796 | Security Group Tag: none | EasyVPN: 0 ||
Username: athomas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.183 | Public IP: 27.7.65.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:21:12 IST Fri May 29 2020 | Duration: 12h:39m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 977580690 | Bytes Rx: 232628792 | IP Addr: 10.149.234.183 | Public IP: 27.7.65.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:21:12 IST Fri May 29 2020 | Duration: 12h:39m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 977580690 | Bytes Rx: 232628792 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138835 | Audit Session ID: 0a95072b21e530005ed0f730 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138835 | Audit Session ID: 0a95072b21e530005ed0f730 | Security Group Tag: none | EasyVPN: 0 ||
Username: ANSKHARE | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.115 | Public IP: 103.121.153.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:35:05 IST Fri May 29 2020 | Duration: 9h:25m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 1088500320 | Bytes Rx: 198865111 | IP Addr: 10.149.235.115 | Public IP: 103.121.153.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:35:05 IST Fri May 29 2020 | Duration: 9h:25m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 1088500320 | Bytes Rx: 198865111 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139124 | Audit Session ID: 0a95072b21f740005ed124a1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139124 | Audit Session ID: 0a95072b21f740005ed124a1 | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.197 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 20:37:54 IST Fri May 29 2020 | Duration: 9h:22m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 270272804 | Bytes Rx: 39474155 | IP Addr: 10.149.234.197 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 20:37:54 IST Fri May 29 2020 | Duration: 9h:22m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 270272804 | Bytes Rx: 39474155 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139127 | Audit Session ID: 0a95072b21f770005ed1254a | Security Group Tag: none | EasyVPN: 0 |Session ID: 139127 | Audit Session ID: 0a95072b21f770005ed1254a | Security Group Tag: none | EasyVPN: 0 ||
Username: roshghad | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.100 | Public IP: 106.210.187.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:15 IST Fri May 29 2020 | Duration: 8h:48m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 588941754 | Bytes Rx: 298293889 | IP Addr: 10.149.234.100 | Public IP: 106.210.187.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:15 IST Fri May 29 2020 | Duration: 8h:48m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 588941754 | Bytes Rx: 298293889 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139175 | Audit Session ID: 0a95072b21fa70005ed12d57 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139175 | Audit Session ID: 0a95072b21fa70005ed12d57 | Security Group Tag: none | EasyVPN: 0 ||
Username: vikbhand | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.89 | Public IP: 106.210.255.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:25:44 IST Fri May 29 2020 | Duration: 8h:34m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 684735646 | Bytes Rx: 214179530 | IP Addr: 10.149.235.89 | Public IP: 106.210.255.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:25:44 IST Fri May 29 2020 | Duration: 8h:34m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 684735646 | Bytes Rx: 214179530 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139189 | Audit Session ID: 0a95072b21fb50005ed13080 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139189 | Audit Session ID: 0a95072b21fb50005ed13080 | Security Group Tag: none | EasyVPN: 0 ||
Username: senthilkumar.as | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.122 | Public IP: 157.46.48.241 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 21:26:07 IST Fri May 29 2020 | Duration: 8h:34m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 173916216 | Bytes Rx: 26327258 | IP Addr: 10.149.234.122 | Public IP: 157.46.48.241 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 21:26:07 IST Fri May 29 2020 | Duration: 8h:34m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 173916216 | Bytes Rx: 26327258 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139191 | Audit Session ID: 0a95072b21fb70005ed13097 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139191 | Audit Session ID: 0a95072b21fb70005ed13097 | Security Group Tag: none | EasyVPN: 0 ||
