sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.232 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:17:21 IST Wed May 6 2020 | Duration: 24d 6h:12m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 12527386691 | Bytes Rx: 1841880670 | IP Addr: 10.150.237.232 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:17:21 IST Wed May 6 2020 | Duration: 24d 6h:12m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 12527386691 | Bytes Rx: 1841880670 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 177029 | Audit Session ID: 0a96cf692b3850005eb1ecf9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 177029 | Audit Session ID: 0a96cf692b3850005eb1ecf9 | Security Group Tag: none | EasyVPN: 0 ||
Username: nbabal | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.210 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:17:32 IST Tue May 26 2020 | Duration: 4d 0h:12m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 47811405425 | Bytes Rx: 5591501085 | IP Addr: 10.150.236.210 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:17:32 IST Tue May 26 2020 | Duration: 4d 0h:12m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 47811405425 | Bytes Rx: 5591501085 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 248228 | Audit Session ID: 0a96cf693c9a40005ecc9f64 | Security Group Tag: none | EasyVPN: 0 |Session ID: 248228 | Audit Session ID: 0a96cf693c9a40005ecc9f64 | Security Group Tag: none | EasyVPN: 0 ||
Username: nisinha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.254 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:24 IST Thu May 28 2020 | Duration: 1d 23h:16m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1409998749 | Bytes Rx: 413265178 | IP Addr: 10.150.244.254 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:24 IST Thu May 28 2020 | Duration: 1d 23h:16m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1409998749 | Bytes Rx: 413265178 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 256557 | Audit Session ID: 0a96cf693ea2d0005ecf4f7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 256557 | Audit Session ID: 0a96cf693ea2d0005ecf4f7c | Security Group Tag: none | EasyVPN: 0 ||
Username: rajib.debnath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.194 | Public IP: 103.100.37.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:35:17 IST Thu May 28 2020 | Duration: 1d 21h:54m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2487422708 | Bytes Rx: 1289494668 | IP Addr: 10.147.96.194 | Public IP: 103.100.37.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:35:17 IST Thu May 28 2020 | Duration: 1d 21h:54m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2487422708 | Bytes Rx: 1289494668 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 256899 | Audit Session ID: 0a96cf693eb830005ecf62ad | Security Group Tag: none | EasyVPN: 0 |Session ID: 256899 | Audit Session ID: 0a96cf693eb830005ecf62ad | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.25 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:08:56 IST Thu May 28 2020 | Duration: 1d 18h:21m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1906165510 | Bytes Rx: 353442573 | IP Addr: 10.150.236.25 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:08:56 IST Thu May 28 2020 | Duration: 1d 18h:21m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1906165510 | Bytes Rx: 353442573 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 257846 | Audit Session ID: 0a96cf693ef360005ecf94c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 257846 | Audit Session ID: 0a96cf693ef360005ecf94c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.98 | Public IP: 103.110.253.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:12:03 IST Thu May 28 2020 | Duration: 1d 11h:18m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1142194196 | Bytes Rx: 192704119 | IP Addr: 10.150.236.98 | Public IP: 103.110.253.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:12:03 IST Thu May 28 2020 | Duration: 1d 11h:18m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1142194196 | Bytes Rx: 192704119 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 258927 | Audit Session ID: 0a96cf693f36f0005ecff7eb | Security Group Tag: none | EasyVPN: 0 |Session ID: 258927 | Audit Session ID: 0a96cf693f36f0005ecff7eb | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.214 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:00:39 IST Fri May 29 2020 | Duration: 1d 9h:29m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1039588030 | Bytes Rx: 172398977 | IP Addr: 10.150.237.214 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:00:39 IST Fri May 29 2020 | Duration: 1d 9h:29m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1039588030 | Bytes Rx: 172398977 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 259055 | Audit Session ID: 0a96cf693f3ef0005ed0115f | Security Group Tag: none | EasyVPN: 0 |Session ID: 259055 | Audit Session ID: 0a96cf693f3ef0005ed0115f | Security Group Tag: none | EasyVPN: 0 ||
Username: rupameht | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.74 | Public IP: 182.64.196.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:51:26 IST Fri May 29 2020 | Duration: 23h:38m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 580071876 | Bytes Rx: 477146220 | IP Addr: 10.150.236.74 | Public IP: 182.64.196.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:51:26 IST Fri May 29 2020 | Duration: 23h:38m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 580071876 | Bytes Rx: 477146220 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 260203 | Audit Session ID: 0a96cf693f86b0005ed09bd6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 260203 | Audit Session ID: 0a96cf693f86b0005ed09bd6 | Security Group Tag: none | EasyVPN: 0 ||
Username: lchidura | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.147.97.64 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:31:48 IST Fri May 29 2020 | Duration: 19h:58m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 264012873 | Bytes Rx: 152022936 | IP Addr: 10.147.97.64 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:31:48 IST Fri May 29 2020 | Duration: 19h:58m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 264012873 | Bytes Rx: 152022936 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 261292 | Audit Session ID: 0a96cf693fcac0005ed0cf7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 261292 | Audit Session ID: 0a96cf693fcac0005ed0cf7c | Security Group Tag: none | EasyVPN: 0 ||
Username: pphalle | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC15 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:23:28 IST Fri May 29 2020 | Duration: 18h:06m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 311594652 | Bytes Rx: 133301127 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:23:28 IST Fri May 29 2020 | Duration: 18h:06m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 311594652 | Bytes Rx: 133301127 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 261727 | Audit Session ID: 0a96cf693fe5f0005ed0e9a8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 261727 | Audit Session ID: 0a96cf693fe5f0005ed0e9a8 | Security Group Tag: none | EasyVPN: 0 ||
Username: RahulTri | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.56 | Public IP: 139.5.23.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:32:36 IST Fri May 29 2020 | Duration: 17h:57m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 106237869 | Bytes Rx: 53623285 | IP Addr: 10.150.236.56 | Public IP: 139.5.23.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:32:36 IST Fri May 29 2020 | Duration: 17h:57m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 106237869 | Bytes Rx: 53623285 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 261760 | Audit Session ID: 0a96cf693fe800005ed0ebcc | Security Group Tag: none | EasyVPN: 0 |Session ID: 261760 | Audit Session ID: 0a96cf693fe800005ed0ebcc | Security Group Tag: none | EasyVPN: 0 ||
