sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 1d 3h:15m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 837259395 | Bytes Rx: 199988871 | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 1d 3h:15m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 837259395 | Bytes Rx: 199988871 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.221 | Public IP: 157.38.201.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:23 IST Sat May 30 2020 | Duration: 9h:11m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 548881130 | Bytes Rx: 256465491 | IP Addr: 10.149.233.221 | Public IP: 157.38.201.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:23 IST Sat May 30 2020 | Duration: 9h:11m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 548881130 | Bytes Rx: 256465491 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123843 | Audit Session ID: 0a95072a1e3c30005ed1ad57 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123843 | Audit Session ID: 0a95072a1e3c30005ed1ad57 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.175 | Public IP: 27.5.15.7 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:38:02 IST Sat May 30 2020 | Duration: 8h:52m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1241464563 | Bytes Rx: 327941496 | IP Addr: 10.149.232.175 | Public IP: 27.5.15.7 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:38:02 IST Sat May 30 2020 | Duration: 8h:52m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1241464563 | Bytes Rx: 327941496 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123851 | Audit Session ID: 0a95072a1e3cb0005ed1b1f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123851 | Audit Session ID: 0a95072a1e3cb0005ed1b1f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: lvajja | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.153 | Public IP: 157.48.43.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:13 IST Sat May 30 2020 | Duration: 8h:39m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1081168823 | Bytes Rx: 830665410 | IP Addr: 10.149.233.153 | Public IP: 157.48.43.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:13 IST Sat May 30 2020 | Duration: 8h:39m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1081168823 | Bytes Rx: 830665410 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123861 | Audit Session ID: 0a95072a1e3d50005ed1b509 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123861 | Audit Session ID: 0a95072a1e3d50005ed1b509 | Security Group Tag: none | EasyVPN: 0 ||
Username: abmanoha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 8h:38m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1551686739 | Bytes Rx: 337272384 | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 8h:38m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1551686739 | Bytes Rx: 337272384 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 |Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.155 | Public IP: 49.35.52.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:04 IST Sat May 30 2020 | Duration: 8h:37m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 286873311 | Bytes Rx: 96111753 | IP Addr: 10.149.233.155 | Public IP: 49.35.52.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:04 IST Sat May 30 2020 | Duration: 8h:37m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 286873311 | Bytes Rx: 96111753 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123864 | Audit Session ID: 0a95072a1e3d80005ed1b578 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123864 | Audit Session ID: 0a95072a1e3d80005ed1b578 | Security Group Tag: none | EasyVPN: 0 ||
Username: VRathore | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.101 | Public IP: 49.36.24.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:56 IST Sat May 30 2020 | Duration: 8h:12m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1119950022 | Bytes Rx: 305599365 | IP Addr: 10.149.232.101 | Public IP: 49.36.24.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:56 IST Sat May 30 2020 | Duration: 8h:12m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1119950022 | Bytes Rx: 305599365 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123875 | Audit Session ID: 0a95072a1e3e30005ed1bb4c | Security Group Tag: none | EasyVPN: 0 |Session ID: 123875 | Audit Session ID: 0a95072a1e3e30005ed1bb4c | Security Group Tag: none | EasyVPN: 0 ||
Username: TejalBan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.170 | Public IP: 202.179.72.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:11 IST Sat May 30 2020 | Duration: 8h:05m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1211275783 | Bytes Rx: 779495450 | IP Addr: 10.149.233.170 | Public IP: 202.179.72.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:11 IST Sat May 30 2020 | Duration: 8h:05m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1211275783 | Bytes Rx: 779495450 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123879 | Audit Session ID: 0a95072a1e3e70005ed1bcff | Security Group Tag: none | EasyVPN: 0 |Session ID: 123879 | Audit Session ID: 0a95072a1e3e70005ed1bcff | Security Group Tag: none | EasyVPN: 0 ||
Username: sumbaric | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.152 | Public IP: 106.211.152.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:15 IST Sat May 30 2020 | Duration: 7h:32m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 2519717600 | Bytes Rx: 251593574 | IP Addr: 10.149.233.152 | Public IP: 106.211.152.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:15 IST Sat May 30 2020 | Duration: 7h:32m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 2519717600 | Bytes Rx: 251593574 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123891 | Audit Session ID: 0a95072a1e3f30005ed1c4bf | Security Group Tag: none | EasyVPN: 0 |Session ID: 123891 | Audit Session ID: 0a95072a1e3f30005ed1c4bf | Security Group Tag: none | EasyVPN: 0 ||
Username: sasif | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.159 | Public IP: 106.210.185.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:32 IST Sat May 30 2020 | Duration: 7h:31m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 678565806 | Bytes Rx: 353879940 | IP Addr: 10.149.233.159 | Public IP: 106.210.185.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:32 IST Sat May 30 2020 | Duration: 7h:31m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 678565806 | Bytes Rx: 353879940 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123892 | Audit Session ID: 0a95072a1e3f40005ed1c4d0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123892 | Audit Session ID: 0a95072a1e3f40005ed1c4d0 | Security Group Tag: none | EasyVPN: 0 ||
Username: pvictor | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.232 | Public IP: 157.51.143.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:26:43 IST Sat May 30 2020 | Duration: 7h:03m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 430803758 | Bytes Rx: 90287517 | IP Addr: 10.149.232.232 | Public IP: 157.51.143.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:26:43 IST Sat May 30 2020 | Duration: 7h:03m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 430803758 | Bytes Rx: 90287517 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123898 | Audit Session ID: 0a95072a1e3fa0005ed1cb6b | Security Group Tag: none | EasyVPN: 0 |Session ID: 123898 | Audit Session ID: 0a95072a1e3fa0005ed1cb6b | Security Group Tag: none | EasyVPN: 0 ||
