sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: p.wilkinson | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.100 | Public IP: 81.147.87.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:07:44 GMT Sun Apr 26 2020 | Duration: 33d 20h:52m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 48902904234 | Bytes Rx: 16808619349 | IP Addr: 10.144.230.100 | Public IP: 81.147.87.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:07:44 GMT Sun Apr 26 2020 | Duration: 33d 20h:52m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 48902904234 | Bytes Rx: 16808619349 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 52639 | Audit Session ID: 0a90076b0cd9f0005ea587a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 52639 | Audit Session ID: 0a90076b0cd9f0005ea587a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: nbrowne | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.72 | Public IP: 100.8.185.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 15:12:12 GMT Sun May 10 2020 | Duration: 19d 18h:48m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 13818863435 | Bytes Rx: 6640263817 | IP Addr: 10.144.233.72 | Public IP: 100.8.185.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 15:12:12 GMT Sun May 10 2020 | Duration: 19d 18h:48m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 13818863435 | Bytes Rx: 6640263817 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 57172 | Audit Session ID: 0a90076b0df540005eb819cc | Security Group Tag: none | EasyVPN: 0 |Session ID: 57172 | Audit Session ID: 0a90076b0df540005eb819cc | Security Group Tag: none | EasyVPN: 0 ||
Username: ckurmin | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.18 | Public IP: 68.83.81.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 19:53:24 GMT Mon May 11 2020 | Duration: 18d 14h:06m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 16537477224 | Bytes Rx: 4711810426 | IP Addr: 10.144.233.18 | Public IP: 68.83.81.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 19:53:24 GMT Mon May 11 2020 | Duration: 18d 14h:06m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 16537477224 | Bytes Rx: 4711810426 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 57603 | Audit Session ID: 0a90076b0e1030005eb9ad34 | Security Group Tag: none | EasyVPN: 0 |Session ID: 57603 | Audit Session ID: 0a90076b0e1030005eb9ad34 | Security Group Tag: none | EasyVPN: 0 ||
Username: tmo | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.158 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:21:53 GMT Mon May 18 2020 | Duration: 12d 3h:38m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 10431021547 | Bytes Rx: 1882143647 | IP Addr: 10.144.233.158 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:21:53 GMT Mon May 18 2020 | Duration: 12d 3h:38m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 10431021547 | Bytes Rx: 1882143647 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 59933 | Audit Session ID: 0a90076b0ea1d0005ec22981 | Security Group Tag: none | EasyVPN: 0 |Session ID: 59933 | Audit Session ID: 0a90076b0ea1d0005ec22981 | Security Group Tag: none | EasyVPN: 0 ||
Username: ppereira | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.107 | Public IP: 24.186.232.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:50:22 GMT Mon May 18 2020 | Duration: 11d 22h:09m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 15590900593 | Bytes Rx: 5309074389 | IP Addr: 10.144.233.107 | Public IP: 24.186.232.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:50:22 GMT Mon May 18 2020 | Duration: 11d 22h:09m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 15590900593 | Bytes Rx: 5309074389 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60091 | Audit Session ID: 0a90076b0eabb0005ec2767e | Security Group Tag: none | EasyVPN: 0 |Session ID: 60091 | Audit Session ID: 0a90076b0eabb0005ec2767e | Security Group Tag: none | EasyVPN: 0 ||
Username: mgorman | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.147 | Public IP: 100.34.34.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:05:39 GMT Mon May 18 2020 | Duration: 11d 21h:54m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 9527240681 | Bytes Rx: 2691259069 | IP Addr: 10.144.233.147 | Public IP: 100.34.34.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:05:39 GMT Mon May 18 2020 | Duration: 11d 21h:54m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 9527240681 | Bytes Rx: 2691259069 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60112 | Audit Session ID: 0a90076b0ead00005ec27a13 | Security Group Tag: none | EasyVPN: 0 |Session ID: 60112 | Audit Session ID: 0a90076b0ead00005ec27a13 | Security Group Tag: none | EasyVPN: 0 ||
Username: tmo | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.221 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:36:05 GMT Tue May 19 2020 | Duration: 11d 2h:24m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 4523655083 | Bytes Rx: 1880818751 | IP Addr: 10.144.233.221 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:36:05 GMT Tue May 19 2020 | Duration: 11d 2h:24m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 4523655083 | Bytes Rx: 1880818751 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60435 | Audit Session ID: 0a90076b0ec130005ec38c65 | Security Group Tag: none | EasyVPN: 0 |Session ID: 60435 | Audit Session ID: 0a90076b0ec130005ec38c65 | Security Group Tag: none | EasyVPN: 0 ||
Username: npoirier | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.14 | Public IP: 184.160.149.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:43:05 GMT Tue May 19 2020 | Duration: 10d 22h:17m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 7822861029 | Bytes Rx: 1989791704 | IP Addr: 10.144.232.14 | Public IP: 184.160.149.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:43:05 GMT Tue May 19 2020 | Duration: 10d 22h:17m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 7822861029 | Bytes Rx: 1989791704 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60573 | Audit Session ID: 0a90076b0ec9d0005ec3c649 | Security Group Tag: none | EasyVPN: 0 |Session ID: 60573 | Audit Session ID: 0a90076b0ec9d0005ec3c649 | Security Group Tag: none | EasyVPN: 0 ||
Username: carlosb | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.213 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:54:11 GMT Thu May 21 2020 | Duration: 8d 20h:06m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 6804152629 | Bytes Rx: 3303609442 | IP Addr: 10.144.233.213 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:54:11 GMT Thu May 21 2020 | Duration: 8d 20h:06m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 6804152629 | Bytes Rx: 3303609442 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61484 | Audit Session ID: 0a90076b0f02c0005ec68803 | Security Group Tag: none | EasyVPN: 0 |Session ID: 61484 | Audit Session ID: 0a90076b0f02c0005ec68803 | Security Group Tag: none | EasyVPN: 0 ||
Username: j.carretta | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.215 | Public IP: 74.105.227.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:15:34 GMT Thu May 21 2020 | Duration: 8d 16h:44m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 21337274837 | Bytes Rx: 8758385354 | IP Addr: 10.144.233.215 | Public IP: 74.105.227.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:15:34 GMT Thu May 21 2020 | Duration: 8d 16h:44m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 21337274837 | Bytes Rx: 8758385354 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61548 | Audit Session ID: 0a90076b0f06c0005ec6b736 | Security Group Tag: none | EasyVPN: 0 |Session ID: 61548 | Audit Session ID: 0a90076b0f06c0005ec6b736 | Security Group Tag: none | EasyVPN: 0 ||
Username: johnlee | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.118 | Public IP: 24.19.144.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 21:54:20 GMT Fri May 22 2020 | Duration: 7d 12h:06m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 3862721176 | Bytes Rx: 1436219977 | IP Addr: 10.144.233.118 | Public IP: 24.19.144.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 21:54:20 GMT Fri May 22 2020 | Duration: 7d 12h:06m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 3862721176 | Bytes Rx: 1436219977 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61962 | Audit Session ID: 0a90076b0f20a0005ec84a0c | Security Group Tag: none | EasyVPN: 0 |Session ID: 61962 | Audit Session ID: 0a90076b0f20a0005ec84a0c | Security Group Tag: none | EasyVPN: 0 ||
