sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.127 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:40 IST Mon Jun 1 2020 | Duration: 4d 7h:59m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 18069791266 | Bytes Rx: 1551369885 | IP Addr: 10.149.233.127 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:40 IST Mon Jun 1 2020 | Duration: 4d 7h:59m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 18069791266 | Bytes Rx: 1551369885 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 125799 | Audit Session ID: 0a95072a1eb670005ed45be4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 125799 | Audit Session ID: 0a95072a1eb670005ed45be4 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 1d 16h:09m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 2103102468 | Bytes Rx: 512612468 | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 1d 16h:09m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 2103102468 | Bytes Rx: 512612468 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 |Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 122.177.191.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:18:51 IST Thu Jun 4 2020 | Duration: 1d 4h:48m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1848381009 | Bytes Rx: 992165995 | IP Addr: 10.149.233.54 | Public IP: 122.177.191.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:18:51 IST Thu Jun 4 2020 | Duration: 1d 4h:48m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1848381009 | Bytes Rx: 992165995 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 132781 | Audit Session ID: 0a95072a206ad0005ed87d33 | Security Group Tag: none | EasyVPN: 0 |Session ID: 132781 | Audit Session ID: 0a95072a206ad0005ed87d33 | Security Group Tag: none | EasyVPN: 0 ||
Username: sasikuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.61 | Public IP: 157.46.0.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:01:40 IST Fri Jun 5 2020 | Duration: 9h:05m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 183932229 | Bytes Rx: 145311869 | IP Addr: 10.149.233.61 | Public IP: 157.46.0.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:01:40 IST Fri Jun 5 2020 | Duration: 9h:05m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 183932229 | Bytes Rx: 145311869 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134604 | Audit Session ID: 0a95072a20dcc0005ed9926c | Security Group Tag: none | EasyVPN: 0 |Session ID: 134604 | Audit Session ID: 0a95072a20dcc0005ed9926c | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.67 | Public IP: 210.18.161.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:03 IST Fri Jun 5 2020 | Duration: 8h:24m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 1116646714 | Bytes Rx: 222977453 | IP Addr: 10.149.233.67 | Public IP: 210.18.161.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:03 IST Fri Jun 5 2020 | Duration: 8h:24m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 1116646714 | Bytes Rx: 222977453 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134614 | Audit Session ID: 0a95072a20dd60005ed99be3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 134614 | Audit Session ID: 0a95072a20dd60005ed99be3 | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.68 | Public IP: 49.207.61.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:29 IST Fri Jun 5 2020 | Duration: 8h:23m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1890042085 | Bytes Rx: 1483250954 | IP Addr: 10.149.233.68 | Public IP: 49.207.61.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:29 IST Fri Jun 5 2020 | Duration: 8h:23m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1890042085 | Bytes Rx: 1483250954 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134616 | Audit Session ID: 0a95072a20dd80005ed99c39 | Security Group Tag: none | EasyVPN: 0 |Session ID: 134616 | Audit Session ID: 0a95072a20dd80005ed99c39 | Security Group Tag: none | EasyVPN: 0 ||
Username: avengai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.81 | Public IP: 49.207.131.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:06 IST Fri Jun 5 2020 | Duration: 8h:06m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 415377240 | Bytes Rx: 87863167 | IP Addr: 10.149.233.81 | Public IP: 49.207.131.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:06 IST Fri Jun 5 2020 | Duration: 8h:06m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 415377240 | Bytes Rx: 87863167 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134630 | Audit Session ID: 0a95072a20de60005ed9a01e | Security Group Tag: none | EasyVPN: 0 |Session ID: 134630 | Audit Session ID: 0a95072a20de60005ed9a01e | Security Group Tag: none | EasyVPN: 0 ||
Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.78 | Public IP: 42.109.134.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:18 IST Fri Jun 5 2020 | Duration: 8h:05m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 152973057 | Bytes Rx: 36352939 | IP Addr: 10.149.233.78 | Public IP: 42.109.134.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:18 IST Fri Jun 5 2020 | Duration: 8h:05m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 152973057 | Bytes Rx: 36352939 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134632 | Audit Session ID: 0a95072a20de80005ed9a066 | Security Group Tag: none | EasyVPN: 0 |Session ID: 134632 | Audit Session ID: 0a95072a20de80005ed9a066 | Security Group Tag: none | EasyVPN: 0 ||
Username: ANarayan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.84 | Public IP: 27.5.152.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:15 IST Fri Jun 5 2020 | Duration: 8h:03m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1016320394 | Bytes Rx: 769340072 | IP Addr: 10.149.233.84 | Public IP: 27.5.152.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:15 IST Fri Jun 5 2020 | Duration: 8h:03m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1016320394 | Bytes Rx: 769340072 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134635 | Audit Session ID: 0a95072a20deb0005ed9a0db | Security Group Tag: none | EasyVPN: 0 |Session ID: 134635 | Audit Session ID: 0a95072a20deb0005ed9a0db | Security Group Tag: none | EasyVPN: 0 ||
Username: vumashan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC3 | IP Addr: 10.149.248.99 | Public IP: 106.222.124.239 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:09:07 IST Fri Jun 5 2020 | Duration: 7h:57m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 867389695 | Bytes Rx: 634473902 | IP Addr: 10.149.248.99 | Public IP: 106.222.124.239 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:09:07 IST Fri Jun 5 2020 | Duration: 7h:57m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 867389695 | Bytes Rx: 634473902 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134638 | Audit Session ID: 0a95072a20dee0005ed9a23b | Security Group Tag: none | EasyVPN: 0 |Session ID: 134638 | Audit Session ID: 0a95072a20dee0005ed9a23b | Security Group Tag: none | EasyVPN: 0 ||
Username: swapnat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.166 | Public IP: 103.122.14.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:22:14 IST Fri Jun 5 2020 | Duration: 7h:44m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 497895671 | Bytes Rx: 235423165 | IP Addr: 10.149.233.166 | Public IP: 103.122.14.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:22:14 IST Fri Jun 5 2020 | Duration: 7h:44m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 497895671 | Bytes Rx: 235423165 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134641 | Audit Session ID: 0a95072a20df10005ed9a54e | Security Group Tag: none | EasyVPN: 0 |Session ID: 134641 | Audit Session ID: 0a95072a20df10005ed9a54e | Security Group Tag: none | EasyVPN: 0 ||
