sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: martiner | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.204 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:36:52 IST Tue Jun 2 2020 | Duration: 3d 1h:26m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2766315960 | Bytes Rx: 1451721979 | IP Addr: 10.150.236.204 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:36:52 IST Tue Jun 2 2020 | Duration: 3d 1h:26m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2766315960 | Bytes Rx: 1451721979 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 274897 | Audit Session ID: 0a96cf69431d10005ed632cc | Security Group Tag: none | EasyVPN: 0 |Session ID: 274897 | Audit Session ID: 0a96cf69431d10005ed632cc | Security Group Tag: none | EasyVPN: 0 ||
Username: Dbhattac | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.164 | Public IP: 157.33.140.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:35 IST Thu Jun 4 2020 | Duration: 1d 8h:54m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1226470050 | Bytes Rx: 317946884 | IP Addr: 10.150.237.164 | Public IP: 157.33.140.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:35 IST Thu Jun 4 2020 | Duration: 1d 8h:54m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1226470050 | Bytes Rx: 317946884 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 280587 | Audit Session ID: 0a96cf694480b0005ed86cbb | Security Group Tag: none | EasyVPN: 0 |Session ID: 280587 | Audit Session ID: 0a96cf694480b0005ed86cbb | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.125 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:49:46 IST Thu Jun 4 2020 | Duration: 1d 4h:13m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 634276201 | Bytes Rx: 2312336773 | IP Addr: 10.150.244.125 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:49:46 IST Thu Jun 4 2020 | Duration: 1d 4h:13m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 634276201 | Bytes Rx: 2312336773 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 282122 | Audit Session ID: 0a96cf6944e0a0005ed8aea2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 282122 | Audit Session ID: 0a96cf6944e0a0005ed8aea2 | Security Group Tag: none | EasyVPN: 0 ||
Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 1d 1h:36m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 417447041 | Bytes Rx: 258787201 | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 1d 1h:36m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 417447041 | Bytes Rx: 258787201 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 |Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 ||
Username: FehmQuai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 1d 0h:34m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 643730529 | Bytes Rx: 203504174 | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 1d 0h:34m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 643730529 | Bytes Rx: 203504174 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: CKadekar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.107 | Public IP: 203.90.94.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:00 IST Fri Jun 5 2020 | Duration: 11h:17m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 13543676378 | Bytes Rx: 2256038482 | IP Addr: 10.150.236.107 | Public IP: 203.90.94.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:00 IST Fri Jun 5 2020 | Duration: 11h:17m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 13543676378 | Bytes Rx: 2256038482 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284345 | Audit Session ID: 0a96cf69456b90005ed99c94 | Security Group Tag: none | EasyVPN: 0 |Session ID: 284345 | Audit Session ID: 0a96cf69456b90005ed99c94 | Security Group Tag: none | EasyVPN: 0 ||
Username: bkanawad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.185 | Public IP: 106.220.190.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:16 IST Fri Jun 5 2020 | Duration: 11h:07m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 286824063 | Bytes Rx: 179775748 | IP Addr: 10.150.237.185 | Public IP: 106.220.190.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:16 IST Fri Jun 5 2020 | Duration: 11h:07m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 286824063 | Bytes Rx: 179775748 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284372 | Audit Session ID: 0a96cf69456d40005ed99efc | Security Group Tag: none | EasyVPN: 0 |Session ID: 284372 | Audit Session ID: 0a96cf69456d40005ed99efc | Security Group Tag: none | EasyVPN: 0 ||
Username: sandeep.khadkikar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.125 | Public IP: 103.135.8.251 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:14 IST Fri Jun 5 2020 | Duration: 11h:00m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 622877442 | Bytes Rx: 265385782 | IP Addr: 10.150.236.125 | Public IP: 103.135.8.251 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:14 IST Fri Jun 5 2020 | Duration: 11h:00m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 622877442 | Bytes Rx: 265385782 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284398 | Audit Session ID: 0a96cf69456ee0005ed9a09e | Security Group Tag: none | EasyVPN: 0 |Session ID: 284398 | Audit Session ID: 0a96cf69456ee0005ed9a09e | Security Group Tag: none | EasyVPN: 0 ||
Username: anamika.ranade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.21 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:03 IST Fri Jun 5 2020 | Duration: 10h:55m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 415838268 | Bytes Rx: 185341309 | IP Addr: 10.150.236.21 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:03 IST Fri Jun 5 2020 | Duration: 10h:55m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 415838268 | Bytes Rx: 185341309 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284414 | Audit Session ID: 0a96cf69456fe0005ed9a1bf | Security Group Tag: none | EasyVPN: 0 |Session ID: 284414 | Audit Session ID: 0a96cf69456fe0005ed9a1bf | Security Group Tag: none | EasyVPN: 0 ||
Username: VSandbho | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.213 | Public IP: 43.231.239.219 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:17 IST Fri Jun 5 2020 | Duration: 10h:26m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 261707127 | Bytes Rx: 96350835 | IP Addr: 10.150.236.213 | Public IP: 43.231.239.219 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:17 IST Fri Jun 5 2020 | Duration: 10h:26m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 261707127 | Bytes Rx: 96350835 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284454 | Audit Session ID: 0a96cf69457260005ed9a899 | Security Group Tag: none | EasyVPN: 0 |Session ID: 284454 | Audit Session ID: 0a96cf69457260005ed9a899 | Security Group Tag: none | EasyVPN: 0 ||
Username: rupesh.dhiwar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.214 | Public IP: 103.97.104.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:28 IST Fri Jun 5 2020 | Duration: 10h:26m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1358351288 | Bytes Rx: 316263742 | IP Addr: 10.150.236.214 | Public IP: 103.97.104.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:28 IST Fri Jun 5 2020 | Duration: 10h:26m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1358351288 | Bytes Rx: 316263742 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284455 | Audit Session ID: 0a96cf69457270005ed9a8a4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 284455 | Audit Session ID: 0a96cf69457270005ed9a8a4 | Security Group Tag: none | EasyVPN: 0 ||
