sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 1d 14h:04m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 678807558 | Bytes Rx: 352188154 | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 1d 14h:04m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 678807558 | Bytes Rx: 352188154 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 |Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 ||
Username: FehmQuai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 1d 13h:02m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 1398281899 | Bytes Rx: 503466194 | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 1d 13h:02m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 1398281899 | Bytes Rx: 503466194 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: MuruKupp | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.56 | Public IP: 223.181.231.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:57 IST Fri Jun 5 2020 | Duration: 22h:54m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 810163205 | Bytes Rx: 267844222 | IP Addr: 10.150.236.56 | Public IP: 223.181.231.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:57 IST Fri Jun 5 2020 | Duration: 22h:54m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 810163205 | Bytes Rx: 267844222 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284458 | Audit Session ID: 0a96cf694572a0005ed9a8c1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 284458 | Audit Session ID: 0a96cf694572a0005ed9a8c1 | Security Group Tag: none | EasyVPN: 0 ||
Username: sunilkumar.singh | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.180 | Public IP: 117.97.249.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:14 IST Fri Jun 5 2020 | Duration: 19h:29m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 864978497 | Bytes Rx: 207294936 | IP Addr: 10.150.236.180 | Public IP: 117.97.249.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:14 IST Fri Jun 5 2020 | Duration: 19h:29m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 864978497 | Bytes Rx: 207294936 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285422 | Audit Session ID: 0a96cf6945aee0005ed9d8a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285422 | Audit Session ID: 0a96cf6945aee0005ed9d8a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.71 | Public IP: 182.57.189.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 19h:14m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1267335906 | Bytes Rx: 373116232 | IP Addr: 10.150.244.71 | Public IP: 182.57.189.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 19h:14m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1267335906 | Bytes Rx: 373116232 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 ||
Username: Sourdebn | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.169 | Public IP: 43.231.236.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:10:02 IST Fri Jun 5 2020 | Duration: 18h:21m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 205409501 | Bytes Rx: 115986997 | IP Addr: 10.150.237.169 | Public IP: 43.231.236.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:10:02 IST Fri Jun 5 2020 | Duration: 18h:21m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 205409501 | Bytes Rx: 115986997 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285801 | Audit Session ID: 0a96cf6945c690005ed9e8c2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285801 | Audit Session ID: 0a96cf6945c690005ed9e8c2 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunPawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 18h:10m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 135740431 | Bytes Rx: 171471685 | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 18h:10m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 135740431 | Bytes Rx: 171471685 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.97.59 | Public IP: 122.177.182.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:35:10 IST Fri Jun 5 2020 | Duration: 17h:56m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 117867014 | Bytes Rx: 41897125 | IP Addr: 10.147.97.59 | Public IP: 122.177.182.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:35:10 IST Fri Jun 5 2020 | Duration: 17h:56m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 117867014 | Bytes Rx: 41897125 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285921 | Audit Session ID: 0a96cf6945ce10005ed9eea6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285921 | Audit Session ID: 0a96cf6945ce10005ed9eea6 | Security Group Tag: none | EasyVPN: 0 ||
Username: srenukun | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.147.97.73 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:01:12 IST Fri Jun 5 2020 | Duration: 16h:30m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 322731038 | Bytes Rx: 166207770 | IP Addr: 10.147.97.73 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:01:12 IST Fri Jun 5 2020 | Duration: 16h:30m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 322731038 | Bytes Rx: 166207770 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 286278 | Audit Session ID: 0a96cf6945e460005eda02d0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 286278 | Audit Session ID: 0a96cf6945e460005eda02d0 | Security Group Tag: none | EasyVPN: 0 ||
Username: rijusam | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.131 | Public IP: 112.79.64.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:22:35 IST Fri Jun 5 2020 | Duration: 15h:08m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 2046071970 | Bytes Rx: 168037258 | IP Addr: 10.150.244.131 | Public IP: 112.79.64.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:22:35 IST Fri Jun 5 2020 | Duration: 15h:08m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 2046071970 | Bytes Rx: 168037258 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 286638 | Audit Session ID: 0a96cf6945fae0005eda15e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 286638 | Audit Session ID: 0a96cf6945fae0005eda15e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: AKuttan | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.83 | Public IP: 27.97.220.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:30 IST Fri Jun 5 2020 | Duration: 13h:56m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 273643898 | Bytes Rx: 58760206 | IP Addr: 10.150.244.83 | Public IP: 27.97.220.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:30 IST Fri Jun 5 2020 | Duration: 13h:56m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 273643898 | Bytes Rx: 58760206 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 286895 | Audit Session ID: 0a96cf69460af0005eda26be | Security Group Tag: none | EasyVPN: 0 |Session ID: 286895 | Audit Session ID: 0a96cf69460af0005eda26be | Security Group Tag: none | EasyVPN: 0 ||
