sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: segomath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 80d 15h:24m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 3737635267 | Bytes Rx: 1315446872 | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 80d 15h:24m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 3737635267 | Bytes Rx: 1315446872 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 ||
Username: gdevadig | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 78d 18h:03m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2678115502 | Bytes Rx: 1089925747 | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 78d 18h:03m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2678115502 | Bytes Rx: 1089925747 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.106 | Public IP: 103.249.233.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:42:21 IST Wed Jun 3 2020 | Duration: 2d 23h:19m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1481501366 | Bytes Rx: 387983761 | IP Addr: 10.150.239.106 | Public IP: 103.249.233.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:42:21 IST Wed Jun 3 2020 | Duration: 2d 23h:19m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1481501366 | Bytes Rx: 387983761 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 252405 | Audit Session ID: 0a96cf6a3d9f50005ed72325 | Security Group Tag: none | EasyVPN: 0 |Session ID: 252405 | Audit Session ID: 0a96cf6a3d9f50005ed72325 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.246.140 | Public IP: 103.78.165.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:06:34 IST Wed Jun 3 2020 | Duration: 2d 21h:55m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1395467783 | Bytes Rx: 1432992824 | IP Addr: 10.150.246.140 | Public IP: 103.78.165.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:06:34 IST Wed Jun 3 2020 | Duration: 2d 21h:55m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1395467783 | Bytes Rx: 1432992824 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 253056 | Audit Session ID: 0a96cf6a3dc800005ed736e2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 253056 | Audit Session ID: 0a96cf6a3dc800005ed736e2 | Security Group Tag: none | EasyVPN: 0 ||
Username: khusaini | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.246.111 | Public IP: 117.97.136.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:29 IST Thu Jun 4 2020 | Duration: 1d 17h:55m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 3281085841 | Bytes Rx: 1956431500 | IP Addr: 10.150.246.111 | Public IP: 117.97.136.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:29 IST Thu Jun 4 2020 | Duration: 1d 17h:55m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 3281085841 | Bytes Rx: 1956431500 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 257945 | Audit Session ID: 0a96cf6a3ef990005ed8c09d | Security Group Tag: none | EasyVPN: 0 |Session ID: 257945 | Audit Session ID: 0a96cf6a3ef990005ed8c09d | Security Group Tag: none | EasyVPN: 0 ||
Username: awdhesh.singh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.246.184 | Public IP: 45.119.132.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:07:56 IST Thu Jun 4 2020 | Duration: 1d 15h:53m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 6718982982 | Bytes Rx: 2251749166 | IP Addr: 10.150.246.184 | Public IP: 45.119.132.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:07:56 IST Thu Jun 4 2020 | Duration: 1d 15h:53m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 6718982982 | Bytes Rx: 2251749166 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 258418 | Audit Session ID: 0a96cf6a3f1720005ed8dd14 | Security Group Tag: none | EasyVPN: 0 |Session ID: 258418 | Audit Session ID: 0a96cf6a3f1720005ed8dd14 | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.228 | Public IP: 49.204.178.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:08:09 IST Fri Jun 5 2020 | Duration: 1d 1h:53m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 886611508 | Bytes Rx: 854530904 | IP Addr: 10.150.238.228 | Public IP: 49.204.178.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:08:09 IST Fri Jun 5 2020 | Duration: 1d 1h:53m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 886611508 | Bytes Rx: 854530904 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 259522 | Audit Session ID: 0a96cf6a3f5c20005ed9a201 | Security Group Tag: none | EasyVPN: 0 |Session ID: 259522 | Audit Session ID: 0a96cf6a3f5c20005ed9a201 | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.99 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:58:14 IST Fri Jun 5 2020 | Duration: 20h:03m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 566355363 | Bytes Rx: 191917591 | IP Addr: 10.150.239.99 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:58:14 IST Fri Jun 5 2020 | Duration: 20h:03m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 566355363 | Bytes Rx: 191917591 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 261114 | Audit Session ID: 0a96cf6a3fbfa0005ed9f40e | Security Group Tag: none | EasyVPN: 0 |Session ID: 261114 | Audit Session ID: 0a96cf6a3fbfa0005ed9f40e | Security Group Tag: none | EasyVPN: 0 ||
Username: RahulTri | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.246.137 | Public IP: 103.60.210.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:13:47 IST Fri Jun 5 2020 | Duration: 19h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 821002386 | Bytes Rx: 146858328 | IP Addr: 10.150.246.137 | Public IP: 103.60.210.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:13:47 IST Fri Jun 5 2020 | Duration: 19h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 821002386 | Bytes Rx: 146858328 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 261176 | Audit Session ID: 0a96cf6a3fc380005ed9f7b3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 261176 | Audit Session ID: 0a96cf6a3fc380005ed9f7b3 | Security Group Tag: none | EasyVPN: 0 ||
Username: AMujumal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.40 | Public IP: 160.20.0.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:52:41 IST Fri Jun 5 2020 | Duration: 19h:09m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1957838088 | Bytes Rx: 648522783 | IP Addr: 10.150.238.40 | Public IP: 160.20.0.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:52:41 IST Fri Jun 5 2020 | Duration: 19h:09m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1957838088 | Bytes Rx: 648522783 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 261332 | Audit Session ID: 0a96cf6a3fcd40005eda00d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 261332 | Audit Session ID: 0a96cf6a3fcd40005eda00d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: RaviJais | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.246.163 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:32:15 IST Fri Jun 5 2020 | Duration: 16h:29m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 948490572 | Bytes Rx: 753672011 | IP Addr: 10.150.246.163 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:32:15 IST Fri Jun 5 2020 | Duration: 16h:29m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 948490572 | Bytes Rx: 753672011 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 261951 | Audit Session ID: 0a96cf6a3ff3f0005eda2637 | Security Group Tag: none | EasyVPN: 0 |Session ID: 261951 | Audit Session ID: 0a96cf6a3ff3f0005eda2637 | Security Group Tag: none | EasyVPN: 0 ||
