sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 3d 9h:38m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 3100341997 | Bytes Rx: 1219075709 | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 3d 9h:38m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 3100341997 | Bytes Rx: 1219075709 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 |Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 1d 22h:13m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 236655078 | Bytes Rx: 116445421 | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 1d 22h:13m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 236655078 | Bytes Rx: 116445421 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 ||
Username: senthild | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 12h:44m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 2429748191 | Bytes Rx: 680510198 | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 12h:44m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 2429748191 | Bytes Rx: 680510198 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 |Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 ||
Username: narakale | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.250 | Public IP: 157.45.215.161 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 20:14:30 IST Sat Jun 6 2020 | Duration: 12h:21m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 495570617 | Bytes Rx: 228769550 | IP Addr: 10.149.233.250 | Public IP: 157.45.215.161 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 20:14:30 IST Sat Jun 6 2020 | Duration: 12h:21m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 495570617 | Bytes Rx: 228769550 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137553 | Audit Session ID: 0a95072a219510005edbabce | Security Group Tag: none | EasyVPN: 0 |Session ID: 137553 | Audit Session ID: 0a95072a219510005edbabce | Security Group Tag: none | EasyVPN: 0 ||
Username: GVinchur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.44 | Public IP: 106.193.195.242 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:58:12 IST Sat Jun 6 2020 | Duration: 11h:37m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2452791605 | Bytes Rx: 374584739 | IP Addr: 10.149.232.44 | Public IP: 106.193.195.242 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:58:12 IST Sat Jun 6 2020 | Duration: 11h:37m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2452791605 | Bytes Rx: 374584739 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137588 | Audit Session ID: 0a95072a219740005edbb60c | Security Group Tag: none | EasyVPN: 0 |Session ID: 137588 | Audit Session ID: 0a95072a219740005edbb60c | Security Group Tag: none | EasyVPN: 0 ||
Username: mohhabee | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.243 | Public IP: 106.208.34.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:08:09 IST Sat Jun 6 2020 | Duration: 10h:27m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 150404689 | Bytes Rx: 109187705 | IP Addr: 10.149.233.243 | Public IP: 106.208.34.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:08:09 IST Sat Jun 6 2020 | Duration: 10h:27m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 150404689 | Bytes Rx: 109187705 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137618 | Audit Session ID: 0a95072a219920005edbc671 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137618 | Audit Session ID: 0a95072a219920005edbc671 | Security Group Tag: none | EasyVPN: 0 ||
Username: bkamalak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.237 | Public IP: 103.136.136.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:41 IST Sun Jun 7 2020 | Duration: 1h:46m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 8764046 | Bytes Rx: 2171110 | IP Addr: 10.149.233.237 | Public IP: 103.136.136.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:41 IST Sun Jun 7 2020 | Duration: 1h:46m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 8764046 | Bytes Rx: 2171110 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137663 | Audit Session ID: 0a95072a219bf0005edc4071 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137663 | Audit Session ID: 0a95072a219bf0005edc4071 | Security Group Tag: none | EasyVPN: 0 ||
Username: georgeB | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.238 | Public IP: 27.59.113.234 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:48:44 IST Sun Jun 7 2020 | Duration: 1h:46m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 105004855 | Bytes Rx: 33469286 | IP Addr: 10.149.233.238 | Public IP: 27.59.113.234 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:48:44 IST Sun Jun 7 2020 | Duration: 1h:46m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 105004855 | Bytes Rx: 33469286 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137664 | Audit Session ID: 0a95072a219c00005edc4074 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137664 | Audit Session ID: 0a95072a219c00005edc4074 | Security Group Tag: none | EasyVPN: 0 ||
Username: kumaran.a | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.239 | Public IP: 157.51.216.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:05 IST Sun Jun 7 2020 | Duration: 1h:46m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 142743033 | Bytes Rx: 49769820 | IP Addr: 10.149.233.239 | Public IP: 157.51.216.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:05 IST Sun Jun 7 2020 | Duration: 1h:46m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 142743033 | Bytes Rx: 49769820 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137665 | Audit Session ID: 0a95072a219c10005edc4089 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137665 | Audit Session ID: 0a95072a219c10005edc4089 | Security Group Tag: none | EasyVPN: 0 ||
Username: PPaulbud | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.240 | Public IP: 49.35.194.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:25 IST Sun Jun 7 2020 | Duration: 1h:46m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 161943649 | Bytes Rx: 35206732 | IP Addr: 10.149.233.240 | Public IP: 49.35.194.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:25 IST Sun Jun 7 2020 | Duration: 1h:46m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 161943649 | Bytes Rx: 35206732 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137666 | Audit Session ID: 0a95072a219c20005edc409d | Security Group Tag: none | EasyVPN: 0 |Session ID: 137666 | Audit Session ID: 0a95072a219c20005edc409d | Security Group Tag: none | EasyVPN: 0 ||
Username: aadikhan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.241 | Public IP: 42.108.245.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:26 IST Sun Jun 7 2020 | Duration: 1h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 57300613 | Bytes Rx: 34165221 | IP Addr: 10.149.233.241 | Public IP: 42.108.245.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:26 IST Sun Jun 7 2020 | Duration: 1h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 57300613 | Bytes Rx: 34165221 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137667 | Audit Session ID: 0a95072a219c30005edc409e | Security Group Tag: none | EasyVPN: 0 |Session ID: 137667 | Audit Session ID: 0a95072a219c30005edc409e | Security Group Tag: none | EasyVPN: 0 ||
