sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: OnDeolan | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.144 | Public IP: 49.35.34.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:12 IST Sun Jun 7 2020 | Duration: 0h:38m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 676629043 | Bytes Rx: 26216860 | IP Addr: 10.150.237.144 | Public IP: 49.35.34.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:12 IST Sun Jun 7 2020 | Duration: 0h:38m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 676629043 | Bytes Rx: 26216860 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290947 | Audit Session ID: 0a96cf69470830005edc5ff8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290947 | Audit Session ID: 0a96cf69470830005edc5ff8 | Security Group Tag: none | EasyVPN: 0 ||
Username: rizwan.sheikh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.145 | Public IP: 106.210.255.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:15 IST Sun Jun 7 2020 | Duration: 0h:38m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 40854216 | Bytes Rx: 7193469 | IP Addr: 10.150.237.145 | Public IP: 106.210.255.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:15 IST Sun Jun 7 2020 | Duration: 0h:38m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 40854216 | Bytes Rx: 7193469 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290948 | Audit Session ID: 0a96cf69470840005edc5ffb | Security Group Tag: none | EasyVPN: 0 |Session ID: 290948 | Audit Session ID: 0a96cf69470840005edc5ffb | Security Group Tag: none | EasyVPN: 0 ||
Username: JGosavi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC13 | IP Addr: 10.150.245.22 | Public IP: 106.193.107.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:24 IST Sun Jun 7 2020 | Duration: 0h:37m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 120453532 | Bytes Rx: 15865695 | IP Addr: 10.150.245.22 | Public IP: 106.193.107.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:24 IST Sun Jun 7 2020 | Duration: 0h:37m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 120453532 | Bytes Rx: 15865695 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290949 | Audit Session ID: 0a96cf69470850005edc6004 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290949 | Audit Session ID: 0a96cf69470850005edc6004 | Security Group Tag: none | EasyVPN: 0 ||
Username: manishma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.146 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:39 IST Sun Jun 7 2020 | Duration: 0h:36m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 37774728 | Bytes Rx: 14875538 | IP Addr: 10.150.237.146 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:39 IST Sun Jun 7 2020 | Duration: 0h:36m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 37774728 | Bytes Rx: 14875538 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290953 | Audit Session ID: 0a96cf69470890005edc604f | Security Group Tag: none | EasyVPN: 0 |Session ID: 290953 | Audit Session ID: 0a96cf69470890005edc604f | Security Group Tag: none | EasyVPN: 0 ||
Username: rahul.joshi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.148 | Public IP: 117.248.195.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:44 IST Sun Jun 7 2020 | Duration: 0h:36m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 53174005 | Bytes Rx: 6799443 | IP Addr: 10.150.237.148 | Public IP: 117.248.195.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:44 IST Sun Jun 7 2020 | Duration: 0h:36m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 53174005 | Bytes Rx: 6799443 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290954 | Audit Session ID: 0a96cf694708a0005edc6054 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290954 | Audit Session ID: 0a96cf694708a0005edc6054 | Security Group Tag: none | EasyVPN: 0 ||
Username: ARSHAIKH | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.149 | Public IP: 106.210.232.179 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:08 IST Sun Jun 7 2020 | Duration: 0h:36m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 71473348 | Bytes Rx: 7418223 | IP Addr: 10.150.237.149 | Public IP: 106.210.232.179 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:08 IST Sun Jun 7 2020 | Duration: 0h:36m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 71473348 | Bytes Rx: 7418223 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290955 | Audit Session ID: 0a96cf694708b0005edc606c | Security Group Tag: none | EasyVPN: 0 |Session ID: 290955 | Audit Session ID: 0a96cf694708b0005edc606c | Security Group Tag: none | EasyVPN: 0 ||
Username: divyasho | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.150 | Public IP: 157.50.113.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:10 IST Sun Jun 7 2020 | Duration: 0h:36m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 119325423 | Bytes Rx: 37764641 | IP Addr: 10.150.237.150 | Public IP: 157.50.113.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:10 IST Sun Jun 7 2020 | Duration: 0h:36m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 119325423 | Bytes Rx: 37764641 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290956 | Audit Session ID: 0a96cf694708c0005edc606e | Security Group Tag: none | EasyVPN: 0 |Session ID: 290956 | Audit Session ID: 0a96cf694708c0005edc606e | Security Group Tag: none | EasyVPN: 0 ||
Username: ViSakure | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC11 | IP Addr: 10.150.245.20 | Public IP: 157.33.165.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:59 IST Sun Jun 7 2020 | Duration: 0h:35m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 66094204 | Bytes Rx: 12602899 | IP Addr: 10.150.245.20 | Public IP: 157.33.165.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:59 IST Sun Jun 7 2020 | Duration: 0h:35m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 66094204 | Bytes Rx: 12602899 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290957 | Audit Session ID: 0a96cf694708d0005edc609f | Security Group Tag: none | EasyVPN: 0 |Session ID: 290957 | Audit Session ID: 0a96cf694708d0005edc609f | Security Group Tag: none | EasyVPN: 0 ||
Username: simanjar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC15 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:06:10 IST Sun Jun 7 2020 | Duration: 0h:35m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 9494635 | Bytes Rx: 5266415 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:06:10 IST Sun Jun 7 2020 | Duration: 0h:35m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 9494635 | Bytes Rx: 5266415 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290958 | Audit Session ID: 0a96cf694708e0005edc60aa | Security Group Tag: none | EasyVPN: 0 |Session ID: 290958 | Audit Session ID: 0a96cf694708e0005edc60aa | Security Group Tag: none | EasyVPN: 0 ||
Username: AlkaShar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC4 | IP Addr: 10.150.245.13 | Public IP: 103.203.64.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:33 IST Sun Jun 7 2020 | Duration: 0h:33m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 71655775 | Bytes Rx: 13934195 | IP Addr: 10.150.245.13 | Public IP: 103.203.64.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:33 IST Sun Jun 7 2020 | Duration: 0h:33m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 71655775 | Bytes Rx: 13934195 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290960 | Audit Session ID: 0a96cf69470900005edc60fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 290960 | Audit Session ID: 0a96cf69470900005edc60fd | Security Group Tag: none | EasyVPN: 0 ||
Username: maheswaran.b | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.147 | Public IP: 182.65.243.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:33 IST Sun Jun 7 2020 | Duration: 0h:32m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 251731281 | Bytes Rx: 25110782 | IP Addr: 10.150.237.147 | Public IP: 182.65.243.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:33 IST Sun Jun 7 2020 | Duration: 0h:32m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 251731281 | Bytes Rx: 25110782 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290961 | Audit Session ID: 0a96cf69470910005edc6139 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290961 | Audit Session ID: 0a96cf69470910005edc6139 | Security Group Tag: none | EasyVPN: 0 ||
