sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: JGosavi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC13 | IP Addr: 10.150.245.22 | Public IP: 106.193.107.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:24 IST Sun Jun 7 2020 | Duration: 3h:26m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 418001355 | Bytes Rx: 101838464 | IP Addr: 10.150.245.22 | Public IP: 106.193.107.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:24 IST Sun Jun 7 2020 | Duration: 3h:26m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 418001355 | Bytes Rx: 101838464 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290949 | Audit Session ID: 0a96cf69470850005edc6004 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290949 | Audit Session ID: 0a96cf69470850005edc6004 | Security Group Tag: none | EasyVPN: 0 ||
Username: manishma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.146 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:39 IST Sun Jun 7 2020 | Duration: 3h:25m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 155110719 | Bytes Rx: 46447247 | IP Addr: 10.150.237.146 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:39 IST Sun Jun 7 2020 | Duration: 3h:25m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 155110719 | Bytes Rx: 46447247 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290953 | Audit Session ID: 0a96cf69470890005edc604f | Security Group Tag: none | EasyVPN: 0 |Session ID: 290953 | Audit Session ID: 0a96cf69470890005edc604f | Security Group Tag: none | EasyVPN: 0 ||
Username: rahul.joshi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.148 | Public IP: 117.248.195.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:44 IST Sun Jun 7 2020 | Duration: 3h:25m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 88436382 | Bytes Rx: 19584524 | IP Addr: 10.150.237.148 | Public IP: 117.248.195.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:44 IST Sun Jun 7 2020 | Duration: 3h:25m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 88436382 | Bytes Rx: 19584524 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290954 | Audit Session ID: 0a96cf694708a0005edc6054 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290954 | Audit Session ID: 0a96cf694708a0005edc6054 | Security Group Tag: none | EasyVPN: 0 ||
Username: ARSHAIKH | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.149 | Public IP: 106.220.207.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:08 IST Sun Jun 7 2020 | Duration: 3h:25m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 235853368 | Bytes Rx: 72547914 | IP Addr: 10.150.237.149 | Public IP: 106.220.207.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:08 IST Sun Jun 7 2020 | Duration: 3h:25m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 235853368 | Bytes Rx: 72547914 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290955 | Audit Session ID: 0a96cf694708b0005edc606c | Security Group Tag: none | EasyVPN: 0 |Session ID: 290955 | Audit Session ID: 0a96cf694708b0005edc606c | Security Group Tag: none | EasyVPN: 0 ||
Username: divyasho | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.150 | Public IP: 157.51.75.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:10 IST Sun Jun 7 2020 | Duration: 3h:25m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 537271946 | Bytes Rx: 159131747 | IP Addr: 10.150.237.150 | Public IP: 157.51.75.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:10 IST Sun Jun 7 2020 | Duration: 3h:25m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 537271946 | Bytes Rx: 159131747 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290956 | Audit Session ID: 0a96cf694708c0005edc606e | Security Group Tag: none | EasyVPN: 0 |Session ID: 290956 | Audit Session ID: 0a96cf694708c0005edc606e | Security Group Tag: none | EasyVPN: 0 ||
Username: ViSakure | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC11 | IP Addr: 10.150.245.20 | Public IP: 106.77.8.130 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:59 IST Sun Jun 7 2020 | Duration: 3h:24m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 109677998 | Bytes Rx: 56141965 | IP Addr: 10.150.245.20 | Public IP: 106.77.8.130 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:59 IST Sun Jun 7 2020 | Duration: 3h:24m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 109677998 | Bytes Rx: 56141965 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290957 | Audit Session ID: 0a96cf694708d0005edc609f | Security Group Tag: none | EasyVPN: 0 |Session ID: 290957 | Audit Session ID: 0a96cf694708d0005edc609f | Security Group Tag: none | EasyVPN: 0 ||
Username: simanjar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC15 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:06:10 IST Sun Jun 7 2020 | Duration: 3h:24m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 68235717 | Bytes Rx: 75812989 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:06:10 IST Sun Jun 7 2020 | Duration: 3h:24m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 68235717 | Bytes Rx: 75812989 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290958 | Audit Session ID: 0a96cf694708e0005edc60aa | Security Group Tag: none | EasyVPN: 0 |Session ID: 290958 | Audit Session ID: 0a96cf694708e0005edc60aa | Security Group Tag: none | EasyVPN: 0 ||
Username: AlkaShar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC4 | IP Addr: 10.150.245.13 | Public IP: 103.203.64.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:33 IST Sun Jun 7 2020 | Duration: 3h:22m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 434288724 | Bytes Rx: 139237155 | IP Addr: 10.150.245.13 | Public IP: 103.203.64.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:33 IST Sun Jun 7 2020 | Duration: 3h:22m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 434288724 | Bytes Rx: 139237155 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290960 | Audit Session ID: 0a96cf69470900005edc60fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 290960 | Audit Session ID: 0a96cf69470900005edc60fd | Security Group Tag: none | EasyVPN: 0 ||
Username: Haroonk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC7 | IP Addr: 10.150.245.16 | Public IP: 103.132.245.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:16:17 IST Sun Jun 7 2020 | Duration: 3h:13m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 431473592 | Bytes Rx: 249515612 | IP Addr: 10.150.245.16 | Public IP: 103.132.245.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:16:17 IST Sun Jun 7 2020 | Duration: 3h:13m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 431473592 | Bytes Rx: 249515612 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290970 | Audit Session ID: 0a96cf694709a0005edc6309 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290970 | Audit Session ID: 0a96cf694709a0005edc6309 | Security Group Tag: none | EasyVPN: 0 ||
Username: ShekShar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.154 | Public IP: 103.49.227.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:02 IST Sun Jun 7 2020 | Duration: 3h:10m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 174377720 | Bytes Rx: 63070907 | IP Addr: 10.150.237.154 | Public IP: 103.49.227.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:02 IST Sun Jun 7 2020 | Duration: 3h:10m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 174377720 | Bytes Rx: 63070907 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290973 | Audit Session ID: 0a96cf694709d0005edc63ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 290973 | Audit Session ID: 0a96cf694709d0005edc63ea | Security Group Tag: none | EasyVPN: 0 ||
Username: bhpal | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.155 | Public IP: 223.180.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:06 IST Sun Jun 7 2020 | Duration: 3h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 141846605 | Bytes Rx: 43308576 | IP Addr: 10.150.237.155 | Public IP: 223.180.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:06 IST Sun Jun 7 2020 | Duration: 3h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 141846605 | Bytes Rx: 43308576 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290974 | Audit Session ID: 0a96cf694709e0005edc63ee | Security Group Tag: none | EasyVPN: 0 |Session ID: 290974 | Audit Session ID: 0a96cf694709e0005edc63ee | Security Group Tag: none | EasyVPN: 0 ||
