sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.14 | Public IP: 49.204.178.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:21 IST Sun Jun 7 2020 | Duration: 6h:01m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 152705367 | Bytes Rx: 240182390 | IP Addr: 10.150.238.14 | Public IP: 49.204.178.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:21 IST Sun Jun 7 2020 | Duration: 6h:01m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 152705367 | Bytes Rx: 240182390 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265322 | Audit Session ID: 0a96cf6a40c6a0005edc6079 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265322 | Audit Session ID: 0a96cf6a40c6a0005edc6079 | Security Group Tag: none | EasyVPN: 0 ||
Username: ShuBade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC80 | IP Addr: 10.150.247.48 | Public IP: 49.35.57.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:28 IST Sun Jun 7 2020 | Duration: 6h:01m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 408796050 | Bytes Rx: 105358172 | IP Addr: 10.150.247.48 | Public IP: 49.35.57.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:28 IST Sun Jun 7 2020 | Duration: 6h:01m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 408796050 | Bytes Rx: 105358172 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265323 | Audit Session ID: 0a96cf6a40c6b0005edc6080 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265323 | Audit Session ID: 0a96cf6a40c6b0005edc6080 | Security Group Tag: none | EasyVPN: 0 ||
Username: JinsonA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.21 | Public IP: 45.250.226.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:38 IST Sun Jun 7 2020 | Duration: 5h:58m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 284927612 | Bytes Rx: 85219041 | IP Addr: 10.150.238.21 | Public IP: 45.250.226.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:38 IST Sun Jun 7 2020 | Duration: 5h:58m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 284927612 | Bytes Rx: 85219041 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265331 | Audit Session ID: 0a96cf6a40c730005edc6102 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265331 | Audit Session ID: 0a96cf6a40c730005edc6102 | Security Group Tag: none | EasyVPN: 0 ||
Username: priyanup | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.22 | Public IP: 106.207.33.229 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:43 IST Sun Jun 7 2020 | Duration: 5h:58m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 444749114 | Bytes Rx: 278957550 | IP Addr: 10.150.238.22 | Public IP: 106.207.33.229 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:43 IST Sun Jun 7 2020 | Duration: 5h:58m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 444749114 | Bytes Rx: 278957550 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265332 | Audit Session ID: 0a96cf6a40c740005edc6107 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265332 | Audit Session ID: 0a96cf6a40c740005edc6107 | Security Group Tag: none | EasyVPN: 0 ||
Username: varnaik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.24 | Public IP: 103.121.153.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:17 IST Sun Jun 7 2020 | Duration: 5h:58m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 156180111 | Bytes Rx: 74188625 | IP Addr: 10.150.238.24 | Public IP: 103.121.153.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:17 IST Sun Jun 7 2020 | Duration: 5h:58m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 156180111 | Bytes Rx: 74188625 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265334 | Audit Session ID: 0a96cf6a40c760005edc6129 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265334 | Audit Session ID: 0a96cf6a40c760005edc6129 | Security Group Tag: none | EasyVPN: 0 ||
Username: PavNikas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC78 | IP Addr: 10.150.247.46 | Public IP: 157.33.181.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:10:01 IST Sun Jun 7 2020 | Duration: 5h:56m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 201479386 | Bytes Rx: 126127398 | IP Addr: 10.150.247.46 | Public IP: 157.33.181.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:10:01 IST Sun Jun 7 2020 | Duration: 5h:56m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 201479386 | Bytes Rx: 126127398 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265338 | Audit Session ID: 0a96cf6a40c7a0005edc6191 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265338 | Audit Session ID: 0a96cf6a40c7a0005edc6191 | Security Group Tag: none | EasyVPN: 0 ||
Username: amnangar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.31 | Public IP: 49.35.30.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:38 IST Sun Jun 7 2020 | Duration: 5h:53m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 481710996 | Bytes Rx: 202834105 | IP Addr: 10.150.238.31 | Public IP: 49.35.30.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:38 IST Sun Jun 7 2020 | Duration: 5h:53m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 481710996 | Bytes Rx: 202834105 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265344 | Audit Session ID: 0a96cf6a40c800005edc622e | Security Group Tag: none | EasyVPN: 0 |Session ID: 265344 | Audit Session ID: 0a96cf6a40c800005edc622e | Security Group Tag: none | EasyVPN: 0 ||
Username: ODas | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.33 | Public IP: 106.193.192.77 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:14:45 IST Sun Jun 7 2020 | Duration: 5h:51m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1386225245 | Bytes Rx: 134492578 | IP Addr: 10.150.238.33 | Public IP: 106.193.192.77 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:14:45 IST Sun Jun 7 2020 | Duration: 5h:51m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1386225245 | Bytes Rx: 134492578 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265347 | Audit Session ID: 0a96cf6a40c830005edc62ad | Security Group Tag: none | EasyVPN: 0 |Session ID: 265347 | Audit Session ID: 0a96cf6a40c830005edc62ad | Security Group Tag: none | EasyVPN: 0 ||
Username: VBokhare | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.40 | Public IP: 45.250.227.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:16:40 IST Sun Jun 7 2020 | Duration: 5h:49m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1797458067 | Bytes Rx: 197431476 | IP Addr: 10.150.238.40 | Public IP: 45.250.227.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:16:40 IST Sun Jun 7 2020 | Duration: 5h:49m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1797458067 | Bytes Rx: 197431476 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265353 | Audit Session ID: 0a96cf6a40c890005edc6320 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265353 | Audit Session ID: 0a96cf6a40c890005edc6320 | Security Group Tag: none | EasyVPN: 0 ||
Username: prgholap | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.49 | Public IP: 49.35.42.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:27:29 IST Sun Jun 7 2020 | Duration: 5h:39m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 125793905 | Bytes Rx: 69746317 | IP Addr: 10.150.238.49 | Public IP: 49.35.42.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:27:29 IST Sun Jun 7 2020 | Duration: 5h:39m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 125793905 | Bytes Rx: 69746317 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265365 | Audit Session ID: 0a96cf6a40c950005edc65a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265365 | Audit Session ID: 0a96cf6a40c950005edc65a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: chandani.borkar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.53 | Public IP: 103.93.197.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:39 IST Sun Jun 7 2020 | Duration: 5h:37m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 771227491 | Bytes Rx: 71180476 | IP Addr: 10.150.238.53 | Public IP: 103.93.197.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:39 IST Sun Jun 7 2020 | Duration: 5h:37m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 771227491 | Bytes Rx: 71180476 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265369 | Audit Session ID: 0a96cf6a40c990005edc65ef | Security Group Tag: none | EasyVPN: 0 |Session ID: 265369 | Audit Session ID: 0a96cf6a40c990005edc65ef | Security Group Tag: none | EasyVPN: 0 ||
