sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 2d 6h:38m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 246196299 | Bytes Rx: 121011416 | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 2d 6h:38m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 246196299 | Bytes Rx: 121011416 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 ||
Username: senthild | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 21h:10m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 3608592903 | Bytes Rx: 1038911309 | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 21h:10m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 3608592903 | Bytes Rx: 1038911309 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 |Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 ||
Username: salsonaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.2 | Public IP: 45.127.45.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:04 IST Sun Jun 7 2020 | Duration: 9h:53m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 746252190 | Bytes Rx: 241780995 | IP Addr: 10.149.232.2 | Public IP: 45.127.45.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:04 IST Sun Jun 7 2020 | Duration: 9h:53m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 746252190 | Bytes Rx: 241780995 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137688 | Audit Session ID: 0a95072a219d80005edc44c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137688 | Audit Session ID: 0a95072a219d80005edc44c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: sadiks | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.192 | Public IP: 103.221.248.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:29:06 IST Sun Jun 7 2020 | Duration: 9h:31m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1118280202 | Bytes Rx: 222126400 | IP Addr: 10.149.233.192 | Public IP: 103.221.248.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:29:06 IST Sun Jun 7 2020 | Duration: 9h:31m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1118280202 | Bytes Rx: 222126400 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137698 | Audit Session ID: 0a95072a219e20005edc49ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 137698 | Audit Session ID: 0a95072a219e20005edc49ea | Security Group Tag: none | EasyVPN: 0 ||
Username: SPathare | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.194 | Public IP: 42.108.240.236 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:29:26 IST Sun Jun 7 2020 | Duration: 9h:31m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 3379691274 | Bytes Rx: 513728282 | IP Addr: 10.149.233.194 | Public IP: 42.108.240.236 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:29:26 IST Sun Jun 7 2020 | Duration: 9h:31m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 3379691274 | Bytes Rx: 513728282 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137700 | Audit Session ID: 0a95072a219e40005edc49fe | Security Group Tag: none | EasyVPN: 0 |Session ID: 137700 | Audit Session ID: 0a95072a219e40005edc49fe | Security Group Tag: none | EasyVPN: 0 ||
Username: vinchama | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.252 | Public IP: 183.82.153.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:54 IST Sun Jun 7 2020 | Duration: 9h:01m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 506977877 | Bytes Rx: 110402151 | IP Addr: 10.149.233.252 | Public IP: 183.82.153.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:54 IST Sun Jun 7 2020 | Duration: 9h:01m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 506977877 | Bytes Rx: 110402151 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137739 | Audit Session ID: 0a95072a21a0b0005edc5122 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137739 | Audit Session ID: 0a95072a21a0b0005edc5122 | Security Group Tag: none | EasyVPN: 0 ||
Username: AlkaMane | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.17 | Public IP: 202.177.248.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:02:15 IST Sun Jun 7 2020 | Duration: 7h:58m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1117817327 | Bytes Rx: 157578277 | IP Addr: 10.149.232.17 | Public IP: 202.177.248.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:02:15 IST Sun Jun 7 2020 | Duration: 7h:58m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1117817327 | Bytes Rx: 157578277 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137768 | Audit Session ID: 0a95072a21a280005edc5fbf | Security Group Tag: none | EasyVPN: 0 |Session ID: 137768 | Audit Session ID: 0a95072a21a280005edc5fbf | Security Group Tag: none | EasyVPN: 0 ||
Username: ChetKamb | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.19 | Public IP: 157.33.188.72 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:04:32 IST Sun Jun 7 2020 | Duration: 7h:56m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 487719383 | Bytes Rx: 138413814 | IP Addr: 10.149.232.19 | Public IP: 157.33.188.72 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:04:32 IST Sun Jun 7 2020 | Duration: 7h:56m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 487719383 | Bytes Rx: 138413814 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137771 | Audit Session ID: 0a95072a21a2b0005edc6048 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137771 | Audit Session ID: 0a95072a21a2b0005edc6048 | Security Group Tag: none | EasyVPN: 0 ||
Username: anwshaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.47 | Public IP: 27.59.194.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:17:08 IST Sun Jun 7 2020 | Duration: 7h:43m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 158379280 | Bytes Rx: 72571620 | IP Addr: 10.149.232.47 | Public IP: 27.59.194.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:17:08 IST Sun Jun 7 2020 | Duration: 7h:43m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 158379280 | Bytes Rx: 72571620 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137785 | Audit Session ID: 0a95072a21a390005edc633c | Security Group Tag: none | EasyVPN: 0 |Session ID: 137785 | Audit Session ID: 0a95072a21a390005edc633c | Security Group Tag: none | EasyVPN: 0 ||
Username: Mpithdiy | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.25 | Public IP: 106.66.56.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:35 IST Sun Jun 7 2020 | Duration: 7h:06m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2037113085 | Bytes Rx: 184377423 | IP Addr: 10.149.232.25 | Public IP: 106.66.56.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:35 IST Sun Jun 7 2020 | Duration: 7h:06m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2037113085 | Bytes Rx: 184377423 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137799 | Audit Session ID: 0a95072a21a470005edc6c03 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137799 | Audit Session ID: 0a95072a21a470005edc6c03 | Security Group Tag: none | EasyVPN: 0 ||
Username: bamohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.28 | Public IP: 183.82.180.236 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:10 IST Sun Jun 7 2020 | Duration: 7h:03m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 299937172 | Bytes Rx: 124593975 | IP Addr: 10.149.232.28 | Public IP: 183.82.180.236 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:10 IST Sun Jun 7 2020 | Duration: 7h:03m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 299937172 | Bytes Rx: 124593975 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137801 | Audit Session ID: 0a95072a21a490005edc6c9e | Security Group Tag: none | EasyVPN: 0 |Session ID: 137801 | Audit Session ID: 0a95072a21a490005edc6c9e | Security Group Tag: none | EasyVPN: 0 ||
