sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: JGosavi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC13 | IP Addr: 10.150.245.22 | Public IP: 106.193.107.177 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:03:24 IST Sun Jun 7 2020 | Duration: 7h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1827081740 | Bytes Rx: 360136124 | IP Addr: 10.150.245.22 | Public IP: 106.193.107.177 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:03:24 IST Sun Jun 7 2020 | Duration: 7h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1827081740 | Bytes Rx: 360136124 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290949 | Audit Session ID: 0a96cf69470850005edc6004 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290949 | Audit Session ID: 0a96cf69470850005edc6004 | Security Group Tag: none | EasyVPN: 0 ||
Username: rahul.joshi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.148 | Public IP: 117.223.108.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:44 IST Sun Jun 7 2020 | Duration: 7h:56m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 180217219 | Bytes Rx: 47549328 | IP Addr: 10.150.237.148 | Public IP: 117.223.108.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:44 IST Sun Jun 7 2020 | Duration: 7h:56m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 180217219 | Bytes Rx: 47549328 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290954 | Audit Session ID: 0a96cf694708a0005edc6054 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290954 | Audit Session ID: 0a96cf694708a0005edc6054 | Security Group Tag: none | EasyVPN: 0 ||
Username: ARSHAIKH | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.149 | Public IP: 106.220.207.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:08 IST Sun Jun 7 2020 | Duration: 7h:55m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 331237741 | Bytes Rx: 112742399 | IP Addr: 10.150.237.149 | Public IP: 106.220.207.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:08 IST Sun Jun 7 2020 | Duration: 7h:55m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 331237741 | Bytes Rx: 112742399 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290955 | Audit Session ID: 0a96cf694708b0005edc606c | Security Group Tag: none | EasyVPN: 0 |Session ID: 290955 | Audit Session ID: 0a96cf694708b0005edc606c | Security Group Tag: none | EasyVPN: 0 ||
Username: simanjar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC15 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:06:10 IST Sun Jun 7 2020 | Duration: 7h:54m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 153039762 | Bytes Rx: 192463133 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:06:10 IST Sun Jun 7 2020 | Duration: 7h:54m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 153039762 | Bytes Rx: 192463133 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290958 | Audit Session ID: 0a96cf694708e0005edc60aa | Security Group Tag: none | EasyVPN: 0 |Session ID: 290958 | Audit Session ID: 0a96cf694708e0005edc60aa | Security Group Tag: none | EasyVPN: 0 ||
Username: AlkaShar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC4 | IP Addr: 10.150.245.13 | Public IP: 103.203.64.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:33 IST Sun Jun 7 2020 | Duration: 7h:53m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1007713079 | Bytes Rx: 310108443 | IP Addr: 10.150.245.13 | Public IP: 103.203.64.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:33 IST Sun Jun 7 2020 | Duration: 7h:53m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1007713079 | Bytes Rx: 310108443 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290960 | Audit Session ID: 0a96cf69470900005edc60fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 290960 | Audit Session ID: 0a96cf69470900005edc60fd | Security Group Tag: none | EasyVPN: 0 ||
Username: bhpal | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.155 | Public IP: 223.180.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:06 IST Sun Jun 7 2020 | Duration: 7h:40m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 289256400 | Bytes Rx: 124778223 | IP Addr: 10.150.237.155 | Public IP: 223.180.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:06 IST Sun Jun 7 2020 | Duration: 7h:40m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 289256400 | Bytes Rx: 124778223 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290974 | Audit Session ID: 0a96cf694709e0005edc63ee | Security Group Tag: none | EasyVPN: 0 |Session ID: 290974 | Audit Session ID: 0a96cf694709e0005edc63ee | Security Group Tag: none | EasyVPN: 0 ||
Username: sujyadav | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.156 | Public IP: 106.193.217.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:36 IST Sun Jun 7 2020 | Duration: 7h:40m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 770590750 | Bytes Rx: 154704178 | IP Addr: 10.150.237.156 | Public IP: 106.193.217.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:36 IST Sun Jun 7 2020 | Duration: 7h:40m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 770590750 | Bytes Rx: 154704178 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290977 | Audit Session ID: 0a96cf69470a10005edc640c | Security Group Tag: none | EasyVPN: 0 |Session ID: 290977 | Audit Session ID: 0a96cf69470a10005edc640c | Security Group Tag: none | EasyVPN: 0 ||
Username: aishinde | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.158 | Public IP: 157.33.164.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:32 IST Sun Jun 7 2020 | Duration: 7h:38m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 232400010 | Bytes Rx: 77353662 | IP Addr: 10.150.237.158 | Public IP: 157.33.164.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:32 IST Sun Jun 7 2020 | Duration: 7h:38m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 232400010 | Bytes Rx: 77353662 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290981 | Audit Session ID: 0a96cf69470a50005edc6480 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290981 | Audit Session ID: 0a96cf69470a50005edc6480 | Security Group Tag: none | EasyVPN: 0 ||
Username: smahapur | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.161 | Public IP: 42.106.192.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:56 IST Sun Jun 7 2020 | Duration: 7h:38m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 322759259 | Bytes Rx: 182896835 | IP Addr: 10.150.237.161 | Public IP: 42.106.192.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:56 IST Sun Jun 7 2020 | Duration: 7h:38m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 322759259 | Bytes Rx: 182896835 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290985 | Audit Session ID: 0a96cf69470a90005edc6498 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290985 | Audit Session ID: 0a96cf69470a90005edc6498 | Security Group Tag: none | EasyVPN: 0 ||
Username: shivyada | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.163 | Public IP: 103.121.153.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:15 IST Sun Jun 7 2020 | Duration: 7h:36m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 840316725 | Bytes Rx: 235696948 | IP Addr: 10.150.237.163 | Public IP: 103.121.153.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:15 IST Sun Jun 7 2020 | Duration: 7h:36m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 840316725 | Bytes Rx: 235696948 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290990 | Audit Session ID: 0a96cf69470ae0005edc64e7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290990 | Audit Session ID: 0a96cf69470ae0005edc64e7 | Security Group Tag: none | EasyVPN: 0 ||
Username: AKaware | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.165 | Public IP: 103.97.104.13 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:24:53 IST Sun Jun 7 2020 | Duration: 7h:36m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1270132142 | Bytes Rx: 87608670 | IP Addr: 10.150.237.165 | Public IP: 103.97.104.13 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:24:53 IST Sun Jun 7 2020 | Duration: 7h:36m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1270132142 | Bytes Rx: 87608670 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290992 | Audit Session ID: 0a96cf69470b00005edc650d | Security Group Tag: none | EasyVPN: 0 |Session ID: 290992 | Audit Session ID: 0a96cf69470b00005edc650d | Security Group Tag: none | EasyVPN: 0 ||
