sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PrJhadav | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.208 | Public IP: 49.35.206.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:19:48 IST Sun Jun 7 2020 | Duration: 9h:41m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 20248651583 | Bytes Rx: 1073771742 | IP Addr: 10.149.232.208 | Public IP: 49.35.206.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:19:48 IST Sun Jun 7 2020 | Duration: 9h:41m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 20248651583 | Bytes Rx: 1073771742 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138399 | Audit Session ID: 0a95072a21c9f0005edd28bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 138399 | Audit Session ID: 0a95072a21c9f0005edd28bc | Security Group Tag: none | EasyVPN: 0 ||
Username: krishngo | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.194 | Public IP: 106.193.96.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:56:08 IST Mon Jun 8 2020 | Duration: 5h:04m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 826003252 | Bytes Rx: 53983361 | IP Addr: 10.149.232.194 | Public IP: 106.193.96.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:56:08 IST Mon Jun 8 2020 | Duration: 5h:04m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 826003252 | Bytes Rx: 53983361 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138478 | Audit Session ID: 0a95072a21cee0005edd6980 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138478 | Audit Session ID: 0a95072a21cee0005edd6980 | Security Group Tag: none | EasyVPN: 0 ||
Username: Rzade | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.182 | Public IP: 106.193.201.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:16:20 IST Mon Jun 8 2020 | Duration: 4h:44m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 79994502 | Bytes Rx: 16045112 | IP Addr: 10.149.232.182 | Public IP: 106.193.201.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:16:20 IST Mon Jun 8 2020 | Duration: 4h:44m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 79994502 | Bytes Rx: 16045112 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138482 | Audit Session ID: 0a95072a21cf20005edd6e3c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138482 | Audit Session ID: 0a95072a21cf20005edd6e3c | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunShel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.203 | Public IP: 49.35.221.99 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:41:16 IST Mon Jun 8 2020 | Duration: 3h:19m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 310274173 | Bytes Rx: 84476252 | IP Addr: 10.149.232.203 | Public IP: 49.35.221.99 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:41:16 IST Mon Jun 8 2020 | Duration: 3h:19m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 310274173 | Bytes Rx: 84476252 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138496 | Audit Session ID: 0a95072a21d000005edd8224 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138496 | Audit Session ID: 0a95072a21d000005edd8224 | Security Group Tag: none | EasyVPN: 0 ||
Username: saikumbh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 2h:52m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 55236408 | Bytes Rx: 69609667 | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 2h:52m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 55236408 | Bytes Rx: 69609667 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.198 | Public IP: 49.204.188.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:29 IST Mon Jun 8 2020 | Duration: 2h:45m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 72205177 | Bytes Rx: 85737475 | IP Addr: 10.149.233.198 | Public IP: 49.204.188.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:29 IST Mon Jun 8 2020 | Duration: 2h:45m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 72205177 | Bytes Rx: 85737475 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138503 | Audit Session ID: 0a95072a21d070005edd8a29 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138503 | Audit Session ID: 0a95072a21d070005edd8a29 | Security Group Tag: none | EasyVPN: 0 ||
Username: shivakrs | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.200 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:58 IST Mon Jun 8 2020 | Duration: 2h:38m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 69182699 | Bytes Rx: 17289410 | IP Addr: 10.149.233.200 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:58 IST Mon Jun 8 2020 | Duration: 2h:38m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 69182699 | Bytes Rx: 17289410 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138505 | Audit Session ID: 0a95072a21d090005edd8bea | Security Group Tag: none | EasyVPN: 0 |Session ID: 138505 | Audit Session ID: 0a95072a21d090005edd8bea | Security Group Tag: none | EasyVPN: 0 ||
Username: svaithiy | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC8 | IP Addr: 10.149.248.104 | Public IP: 157.50.59.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:10 IST Mon Jun 8 2020 | Duration: 2h:02m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 135890634 | Bytes Rx: 77791552 | IP Addr: 10.149.248.104 | Public IP: 157.50.59.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:10 IST Mon Jun 8 2020 | Duration: 2h:02m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 135890634 | Bytes Rx: 77791552 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138509 | Audit Session ID: 0a95072a21d0d0005edd942a | Security Group Tag: none | EasyVPN: 0 |Session ID: 138509 | Audit Session ID: 0a95072a21d0d0005edd942a | Security Group Tag: none | EasyVPN: 0 ||
Username: akshgopi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC4 | IP Addr: 10.149.248.100 | Public IP: 157.46.57.122 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:24 IST Mon Jun 8 2020 | Duration: 1h:57m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 122100371 | Bytes Rx: 80488454 | IP Addr: 10.149.248.100 | Public IP: 157.46.57.122 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:24 IST Mon Jun 8 2020 | Duration: 1h:57m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 122100371 | Bytes Rx: 80488454 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138512 | Audit Session ID: 0a95072a21d100005edd9564 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138512 | Audit Session ID: 0a95072a21d100005edd9564 | Security Group Tag: none | EasyVPN: 0 ||
Username: jvedacha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.207 | Public IP: 202.61.120.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:13 IST Mon Jun 8 2020 | Duration: 1h:55m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 11955888 | Bytes Rx: 4395377 | IP Addr: 10.149.233.207 | Public IP: 202.61.120.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:13 IST Mon Jun 8 2020 | Duration: 1h:55m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 11955888 | Bytes Rx: 4395377 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138515 | Audit Session ID: 0a95072a21d130005edd95d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138515 | Audit Session ID: 0a95072a21d130005edd95d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: sukirolk | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.208 | Public IP: 49.35.202.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Mon Jun 8 2020 | Duration: 1h:54m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 213045620 | Bytes Rx: 50295541 | IP Addr: 10.149.233.208 | Public IP: 49.35.202.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Mon Jun 8 2020 | Duration: 1h:54m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 213045620 | Bytes Rx: 50295541 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138516 | Audit Session ID: 0a95072a21d140005edd9621 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138516 | Audit Session ID: 0a95072a21d140005edd9621 | Security Group Tag: none | EasyVPN: 0 ||
