sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ArunShel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.203 | Public IP: 49.35.213.210 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:41:16 IST Mon Jun 8 2020 | Duration: 5h:49m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 644113146 | Bytes Rx: 149053957 | IP Addr: 10.149.232.203 | Public IP: 49.35.213.210 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:41:16 IST Mon Jun 8 2020 | Duration: 5h:49m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 644113146 | Bytes Rx: 149053957 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138496 | Audit Session ID: 0a95072a21d000005edd8224 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138496 | Audit Session ID: 0a95072a21d000005edd8224 | Security Group Tag: none | EasyVPN: 0 ||
Username: saikumbh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 5h:22m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 69580193 | Bytes Rx: 77835329 | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 5h:22m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 69580193 | Bytes Rx: 77835329 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.198 | Public IP: 49.204.188.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:29 IST Mon Jun 8 2020 | Duration: 5h:15m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 119536580 | Bytes Rx: 124436446 | IP Addr: 10.149.233.198 | Public IP: 49.204.188.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:29 IST Mon Jun 8 2020 | Duration: 5h:15m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 119536580 | Bytes Rx: 124436446 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138503 | Audit Session ID: 0a95072a21d070005edd8a29 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138503 | Audit Session ID: 0a95072a21d070005edd8a29 | Security Group Tag: none | EasyVPN: 0 ||
Username: shivakrs | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.200 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:58 IST Mon Jun 8 2020 | Duration: 5h:08m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 156763944 | Bytes Rx: 48278617 | IP Addr: 10.149.233.200 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:58 IST Mon Jun 8 2020 | Duration: 5h:08m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 156763944 | Bytes Rx: 48278617 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138505 | Audit Session ID: 0a95072a21d090005edd8bea | Security Group Tag: none | EasyVPN: 0 |Session ID: 138505 | Audit Session ID: 0a95072a21d090005edd8bea | Security Group Tag: none | EasyVPN: 0 ||
Username: svaithiy | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC8 | IP Addr: 10.149.248.104 | Public IP: 157.50.59.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:10 IST Mon Jun 8 2020 | Duration: 4h:32m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 223595611 | Bytes Rx: 146999093 | IP Addr: 10.149.248.104 | Public IP: 157.50.59.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:10 IST Mon Jun 8 2020 | Duration: 4h:32m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 223595611 | Bytes Rx: 146999093 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138509 | Audit Session ID: 0a95072a21d0d0005edd942a | Security Group Tag: none | EasyVPN: 0 |Session ID: 138509 | Audit Session ID: 0a95072a21d0d0005edd942a | Security Group Tag: none | EasyVPN: 0 ||
Username: akshgopi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC4 | IP Addr: 10.149.248.100 | Public IP: 157.46.57.122 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:24 IST Mon Jun 8 2020 | Duration: 4h:27m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 243612152 | Bytes Rx: 186931067 | IP Addr: 10.149.248.100 | Public IP: 157.46.57.122 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:24 IST Mon Jun 8 2020 | Duration: 4h:27m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 243612152 | Bytes Rx: 186931067 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138512 | Audit Session ID: 0a95072a21d100005edd9564 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138512 | Audit Session ID: 0a95072a21d100005edd9564 | Security Group Tag: none | EasyVPN: 0 ||
Username: sukirolk | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.208 | Public IP: 49.35.202.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Mon Jun 8 2020 | Duration: 4h:24m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1235563169 | Bytes Rx: 186208340 | IP Addr: 10.149.233.208 | Public IP: 49.35.202.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Mon Jun 8 2020 | Duration: 4h:24m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1235563169 | Bytes Rx: 186208340 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138516 | Audit Session ID: 0a95072a21d140005edd9621 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138516 | Audit Session ID: 0a95072a21d140005edd9621 | Security Group Tag: none | EasyVPN: 0 ||
Username: Usabalka | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.200 | Public IP: 157.47.43.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:36 IST Mon Jun 8 2020 | Duration: 4h:23m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 546284196 | Bytes Rx: 570932830 | IP Addr: 10.149.232.200 | Public IP: 157.47.43.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:36 IST Mon Jun 8 2020 | Duration: 4h:23m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 546284196 | Bytes Rx: 570932830 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138518 | Audit Session ID: 0a95072a21d160005edd9660 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138518 | Audit Session ID: 0a95072a21d160005edd9660 | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.228 | Public IP: 157.45.185.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:47 IST Mon Jun 8 2020 | Duration: 4h:13m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 58764219 | Bytes Rx: 37216316 | IP Addr: 10.149.233.228 | Public IP: 157.45.185.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:47 IST Mon Jun 8 2020 | Duration: 4h:13m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 58764219 | Bytes Rx: 37216316 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138520 | Audit Session ID: 0a95072a21d180005edd98c3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138520 | Audit Session ID: 0a95072a21d180005edd98c3 | Security Group Tag: none | EasyVPN: 0 ||
Username: kvadivel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.202 | Public IP: 157.46.41.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:36 IST Mon Jun 8 2020 | Duration: 4h:05m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 186089175 | Bytes Rx: 54141993 | IP Addr: 10.149.233.202 | Public IP: 157.46.41.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:36 IST Mon Jun 8 2020 | Duration: 4h:05m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 186089175 | Bytes Rx: 54141993 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138526 | Audit Session ID: 0a95072a21d1e0005edd9a98 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138526 | Audit Session ID: 0a95072a21d1e0005edd9a98 | Security Group Tag: none | EasyVPN: 0 ||
Username: asoundar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.204 | Public IP: 223.182.213.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:10 IST Mon Jun 8 2020 | Duration: 4h:02m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 289836860 | Bytes Rx: 93231363 | IP Addr: 10.149.233.204 | Public IP: 223.182.213.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:10 IST Mon Jun 8 2020 | Duration: 4h:02m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 289836860 | Bytes Rx: 93231363 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138528 | Audit Session ID: 0a95072a21d200005edd9b32 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138528 | Audit Session ID: 0a95072a21d200005edd9b32 | Security Group Tag: none | EasyVPN: 0 ||
