sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:25 IST Mon Jun 8 2020 | Duration: 22h:07m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 716607843 | Bytes Rx: 159882310 | IP Addr: 10.149.232.12 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:25 IST Mon Jun 8 2020 | Duration: 22h:07m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 716607843 | Bytes Rx: 159882310 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138688 | Audit Session ID: 0a95072a21dc00005eddb635 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138688 | Audit Session ID: 0a95072a21dc00005eddb635 | Security Group Tag: none | EasyVPN: 0 ||
Username: ayshanka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.49 | Public IP: 203.81.243.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:33 IST Mon Jun 8 2020 | Duration: 21h:08m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 572692863 | Bytes Rx: 81532860 | IP Addr: 10.149.233.49 | Public IP: 203.81.243.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:33 IST Mon Jun 8 2020 | Duration: 21h:08m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 572692863 | Bytes Rx: 81532860 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139013 | Audit Session ID: 0a95072a21f050005eddc411 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139013 | Audit Session ID: 0a95072a21f050005eddc411 | Security Group Tag: none | EasyVPN: 0 ||
Username: divykaru | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.144 | Public IP: 171.61.236.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:55 IST Mon Jun 8 2020 | Duration: 20h:01m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 832114088 | Bytes Rx: 964690435 | IP Addr: 10.149.233.144 | Public IP: 171.61.236.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:55 IST Mon Jun 8 2020 | Duration: 20h:01m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 832114088 | Bytes Rx: 964690435 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139344 | Audit Session ID: 0a95072a220500005eddd3db | Security Group Tag: none | EasyVPN: 0 |Session ID: 139344 | Audit Session ID: 0a95072a220500005eddd3db | Security Group Tag: none | EasyVPN: 0 ||
Username: AUpendra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.186 | Public IP: 49.207.138.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:53 IST Mon Jun 8 2020 | Duration: 19h:29m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 556913585 | Bytes Rx: 132290415 | IP Addr: 10.149.233.186 | Public IP: 49.207.138.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:53 IST Mon Jun 8 2020 | Duration: 19h:29m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 556913585 | Bytes Rx: 132290415 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139475 | Audit Session ID: 0a95072a220d30005edddb59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139475 | Audit Session ID: 0a95072a220d30005edddb59 | Security Group Tag: none | EasyVPN: 0 ||
Username: shubhsri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.240.228 | Public IP: 122.163.238.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:52:46 IST Mon Jun 8 2020 | Duration: 18h:38m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1051873797 | Bytes Rx: 188268926 | IP Addr: 10.149.240.228 | Public IP: 122.163.238.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:52:46 IST Mon Jun 8 2020 | Duration: 18h:38m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1051873797 | Bytes Rx: 188268926 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139758 | Audit Session ID: 0a95072a221ee0005edde746 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139758 | Audit Session ID: 0a95072a221ee0005edde746 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsawarde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.241.80 | Public IP: 203.212.216.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:17:32 IST Mon Jun 8 2020 | Duration: 18h:13m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 545646619 | Bytes Rx: 281916467 | IP Addr: 10.149.241.80 | Public IP: 203.212.216.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:17:32 IST Mon Jun 8 2020 | Duration: 18h:13m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 545646619 | Bytes Rx: 281916467 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139974 | Audit Session ID: 0a95072a222c60005edded14 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139974 | Audit Session ID: 0a95072a222c60005edded14 | Security Group Tag: none | EasyVPN: 0 ||
Username: rbanne | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.31 | Public IP: 106.193.138.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:10:43 IST Mon Jun 8 2020 | Duration: 11h:20m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 436182123 | Bytes Rx: 172390106 | IP Addr: 10.149.232.31 | Public IP: 106.193.138.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:10:43 IST Mon Jun 8 2020 | Duration: 11h:20m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 436182123 | Bytes Rx: 172390106 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 140875 | Audit Session ID: 0a95072a2264b0005ede4deb | Security Group Tag: none | EasyVPN: 0 |Session ID: 140875 | Audit Session ID: 0a95072a2264b0005ede4deb | Security Group Tag: none | EasyVPN: 0 ||
Username: murukaly | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.216 | Public IP: 103.66.15.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:36:03 IST Mon Jun 8 2020 | Duration: 10h:55m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 25875160 | Bytes Rx: 8693954 | IP Addr: 10.149.232.216 | Public IP: 103.66.15.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:36:03 IST Mon Jun 8 2020 | Duration: 10h:55m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 25875160 | Bytes Rx: 8693954 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 140917 | Audit Session ID: 0a95072a226750005ede53db | Security Group Tag: none | EasyVPN: 0 |Session ID: 140917 | Audit Session ID: 0a95072a226750005ede53db | Security Group Tag: none | EasyVPN: 0 ||
Username: vaishdev | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC2 | IP Addr: 10.149.248.98 | Public IP: 157.46.62.89 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:40:47 IST Mon Jun 8 2020 | Duration: 9h:50m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 635326143 | Bytes Rx: 299477264 | IP Addr: 10.149.248.98 | Public IP: 157.46.62.89 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:40:47 IST Mon Jun 8 2020 | Duration: 9h:50m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 635326143 | Bytes Rx: 299477264 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141002 | Audit Session ID: 0a95072a226ca0005ede6307 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141002 | Audit Session ID: 0a95072a226ca0005ede6307 | Security Group Tag: none | EasyVPN: 0 ||
Username: AMundre | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.66 | Public IP: 175.100.139.196 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:53:56 IST Mon Jun 8 2020 | Duration: 9h:37m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 166182581 | Bytes Rx: 108228245 | IP Addr: 10.149.233.66 | Public IP: 175.100.139.196 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:53:56 IST Mon Jun 8 2020 | Duration: 9h:37m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 166182581 | Bytes Rx: 108228245 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141016 | Audit Session ID: 0a95072a226d80005ede661c | Security Group Tag: none | EasyVPN: 0 |Session ID: 141016 | Audit Session ID: 0a95072a226d80005ede661c | Security Group Tag: none | EasyVPN: 0 ||
Username: santbabu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.204 | Public IP: 157.50.20.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:35 IST Mon Jun 8 2020 | Duration: 9h:29m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 689371724 | Bytes Rx: 488161794 | IP Addr: 10.149.233.204 | Public IP: 157.50.20.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:35 IST Mon Jun 8 2020 | Duration: 9h:29m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 689371724 | Bytes Rx: 488161794 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141025 | Audit Session ID: 0a95072a226e10005ede67e7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141025 | Audit Session ID: 0a95072a226e10005ede67e7 | Security Group Tag: none | EasyVPN: 0 ||
