sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:25 IST Mon Jun 8 2020 | Duration: 1d 0h:36m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 776095322 | Bytes Rx: 167129486 | IP Addr: 10.149.232.12 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:25 IST Mon Jun 8 2020 | Duration: 1d 0h:36m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 776095322 | Bytes Rx: 167129486 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138688 | Audit Session ID: 0a95072a21dc00005eddb635 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138688 | Audit Session ID: 0a95072a21dc00005eddb635 | Security Group Tag: none | EasyVPN: 0 ||
Username: divykaru | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.144 | Public IP: 171.61.236.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:55 IST Mon Jun 8 2020 | Duration: 22h:30m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 882197453 | Bytes Rx: 975287473 | IP Addr: 10.149.233.144 | Public IP: 171.61.236.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:55 IST Mon Jun 8 2020 | Duration: 22h:30m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 882197453 | Bytes Rx: 975287473 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139344 | Audit Session ID: 0a95072a220500005eddd3db | Security Group Tag: none | EasyVPN: 0 |Session ID: 139344 | Audit Session ID: 0a95072a220500005eddd3db | Security Group Tag: none | EasyVPN: 0 ||
Username: AUpendra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.186 | Public IP: 49.207.138.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:53 IST Mon Jun 8 2020 | Duration: 21h:58m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 588136843 | Bytes Rx: 150579789 | IP Addr: 10.149.233.186 | Public IP: 49.207.138.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:53 IST Mon Jun 8 2020 | Duration: 21h:58m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 588136843 | Bytes Rx: 150579789 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139475 | Audit Session ID: 0a95072a220d30005edddb59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139475 | Audit Session ID: 0a95072a220d30005edddb59 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsawarde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.241.80 | Public IP: 116.72.111.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:17:32 IST Mon Jun 8 2020 | Duration: 20h:42m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 572145090 | Bytes Rx: 290707615 | IP Addr: 10.149.241.80 | Public IP: 116.72.111.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:17:32 IST Mon Jun 8 2020 | Duration: 20h:42m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 572145090 | Bytes Rx: 290707615 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139974 | Audit Session ID: 0a95072a222c60005edded14 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139974 | Audit Session ID: 0a95072a222c60005edded14 | Security Group Tag: none | EasyVPN: 0 ||
Username: murukaly | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.216 | Public IP: 103.66.15.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:36:03 IST Mon Jun 8 2020 | Duration: 13h:24m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 53201350 | Bytes Rx: 13530433 | IP Addr: 10.149.232.216 | Public IP: 103.66.15.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:36:03 IST Mon Jun 8 2020 | Duration: 13h:24m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 53201350 | Bytes Rx: 13530433 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 140917 | Audit Session ID: 0a95072a226750005ede53db | Security Group Tag: none | EasyVPN: 0 |Session ID: 140917 | Audit Session ID: 0a95072a226750005ede53db | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.120 | Public IP: 60.243.109.169 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:28 IST Tue Jun 9 2020 | Duration: 3h:18m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 122653578 | Bytes Rx: 26438535 | IP Addr: 10.149.232.120 | Public IP: 60.243.109.169 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:28 IST Tue Jun 9 2020 | Duration: 3h:18m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 122653578 | Bytes Rx: 26438535 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141089 | Audit Session ID: 0a95072a227210005edee1c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141089 | Audit Session ID: 0a95072a227210005edee1c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: nsalian | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.124 | Public IP: 203.192.244.65 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:24 IST Tue Jun 9 2020 | Duration: 3h:13m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 130181620 | Bytes Rx: 47488104 | IP Addr: 10.149.232.124 | Public IP: 203.192.244.65 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:24 IST Tue Jun 9 2020 | Duration: 3h:13m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 130181620 | Bytes Rx: 47488104 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141095 | Audit Session ID: 0a95072a227270005edee2e8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141095 | Audit Session ID: 0a95072a227270005edee2e8 | Security Group Tag: none | EasyVPN: 0 ||
Username: PraviPaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.125 | Public IP: 43.241.28.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:07 IST Tue Jun 9 2020 | Duration: 3h:10m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 370022407 | Bytes Rx: 92132300 | IP Addr: 10.149.232.125 | Public IP: 43.241.28.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:07 IST Tue Jun 9 2020 | Duration: 3h:10m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 370022407 | Bytes Rx: 92132300 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141097 | Audit Session ID: 0a95072a227290005edee3c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141097 | Audit Session ID: 0a95072a227290005edee3c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.126 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:42 IST Tue Jun 9 2020 | Duration: 3h:09m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 205835819 | Bytes Rx: 63876022 | IP Addr: 10.149.232.126 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:42 IST Tue Jun 9 2020 | Duration: 3h:09m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 205835819 | Bytes Rx: 63876022 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141098 | Audit Session ID: 0a95072a2272a0005edee3ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 141098 | Audit Session ID: 0a95072a2272a0005edee3ea | Security Group Tag: none | EasyVPN: 0 ||
Username: amit.singhal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.130 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:59 IST Tue Jun 9 2020 | Duration: 3h:07m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 61255149 | Bytes Rx: 96782057 | IP Addr: 10.149.232.130 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:59 IST Tue Jun 9 2020 | Duration: 3h:07m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 61255149 | Bytes Rx: 96782057 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141102 | Audit Session ID: 0a95072a2272e0005edee473 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141102 | Audit Session ID: 0a95072a2272e0005edee473 | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.131 | Public IP: 117.201.130.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:16 IST Tue Jun 9 2020 | Duration: 3h:07m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 641112706 | Bytes Rx: 114864117 | IP Addr: 10.149.232.131 | Public IP: 117.201.130.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:16 IST Tue Jun 9 2020 | Duration: 3h:07m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 641112706 | Bytes Rx: 114864117 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141103 | Audit Session ID: 0a95072a2272f0005edee484 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141103 | Audit Session ID: 0a95072a2272f0005edee484 | Security Group Tag: none | EasyVPN: 0 ||
