sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 3h:00m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2116793663 | Bytes Rx: 308082728 | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 3h:00m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2116793663 | Bytes Rx: 308082728 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:00 IST Mon Jun 8 2020 | Duration: 1d 2h:51m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 483839172 | Bytes Rx: 159007079 | IP Addr: 10.150.236.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:00 IST Mon Jun 8 2020 | Duration: 1d 2h:51m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 483839172 | Bytes Rx: 159007079 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 895 | Audit Session ID: 0a96cf690037f0005edd96b4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 895 | Audit Session ID: 0a96cf690037f0005edd96b4 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.221 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:13 IST Mon Jun 8 2020 | Duration: 1d 0h:37m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 395447341 | Bytes Rx: 583319620 | IP Addr: 10.150.236.221 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:13 IST Mon Jun 8 2020 | Duration: 1d 0h:37m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 395447341 | Bytes Rx: 583319620 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1268 | Audit Session ID: 0a96cf69004f40005eddb629 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1268 | Audit Session ID: 0a96cf69004f40005eddb629 | Security Group Tag: none | EasyVPN: 0 ||
Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 1d 0h:05m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 55022013 | Bytes Rx: 17543827 | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 1d 0h:05m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 55022013 | Bytes Rx: 17543827 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 ||
Username: pphalle | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC15 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:28:31 IST Mon Jun 8 2020 | Duration: 22h:31m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 976246131 | Bytes Rx: 251504351 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:28:31 IST Mon Jun 8 2020 | Duration: 22h:31m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 976246131 | Bytes Rx: 251504351 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2039 | Audit Session ID: 0a96cf69007f70005eddd387 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2039 | Audit Session ID: 0a96cf69007f70005eddd387 | Security Group Tag: none | EasyVPN: 0 ||
Username: lchidura | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.244.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:15:06 IST Mon Jun 8 2020 | Duration: 19h:45m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 481479790 | Bytes Rx: 91840322 | IP Addr: 10.150.244.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:15:06 IST Mon Jun 8 2020 | Duration: 19h:45m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 481479790 | Bytes Rx: 91840322 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2518 | Audit Session ID: 0a96cf69009d60005eddfa92 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2518 | Audit Session ID: 0a96cf69009d60005eddfa92 | Security Group Tag: none | EasyVPN: 0 ||
Username: gmalik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.246 | Public IP: 122.177.59.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:38:52 IST Mon Jun 8 2020 | Duration: 18h:21m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 111776487 | Bytes Rx: 54924197 | IP Addr: 10.150.244.246 | Public IP: 122.177.59.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:38:52 IST Mon Jun 8 2020 | Duration: 18h:21m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 111776487 | Bytes Rx: 54924197 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2892 | Audit Session ID: 0a96cf6900b4c0005ede0e34 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2892 | Audit Session ID: 0a96cf6900b4c0005ede0e34 | Security Group Tag: none | EasyVPN: 0 ||
Username: Adeori | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.219 | Public IP: 116.75.166.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:34:04 IST Mon Jun 8 2020 | Duration: 16h:26m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 55653858 | Bytes Rx: 35572559 | IP Addr: 10.150.244.219 | Public IP: 116.75.166.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:34:04 IST Mon Jun 8 2020 | Duration: 16h:26m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 55653858 | Bytes Rx: 35572559 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3241 | Audit Session ID: 0a96cf6900ca90005ede2934 | Security Group Tag: none | EasyVPN: 0 |Session ID: 3241 | Audit Session ID: 0a96cf6900ca90005ede2934 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.248 | Public IP: 182.68.74.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:40:02 IST Mon Jun 8 2020 | Duration: 16h:20m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 663768681 | Bytes Rx: 386298224 | IP Addr: 10.150.244.248 | Public IP: 182.68.74.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:40:02 IST Mon Jun 8 2020 | Duration: 16h:20m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 663768681 | Bytes Rx: 386298224 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3264 | Audit Session ID: 0a96cf6900cc00005ede2a9a | Security Group Tag: none | EasyVPN: 0 |Session ID: 3264 | Audit Session ID: 0a96cf6900cc00005ede2a9a | Security Group Tag: none | EasyVPN: 0 ||
Username: RaviJais | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.81 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:23:02 IST Mon Jun 8 2020 | Duration: 14h:37m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 851962009 | Bytes Rx: 1182549049 | IP Addr: 10.150.236.81 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:23:02 IST Mon Jun 8 2020 | Duration: 14h:37m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 851962009 | Bytes Rx: 1182549049 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3522 | Audit Session ID: 0a96cf6900dc20005ede42be | Security Group Tag: none | EasyVPN: 0 |Session ID: 3522 | Audit Session ID: 0a96cf6900dc20005ede42be | Security Group Tag: none | EasyVPN: 0 ||
Username: pankgaik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.253 | Public IP: 117.195.76.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:13:52 IST Mon Jun 8 2020 | Duration: 13h:46m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 86907993 | Bytes Rx: 34822813 | IP Addr: 10.150.237.253 | Public IP: 117.195.76.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:13:52 IST Mon Jun 8 2020 | Duration: 13h:46m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 86907993 | Bytes Rx: 34822813 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3637 | Audit Session ID: 0a96cf6900e350005ede4ea8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 3637 | Audit Session ID: 0a96cf6900e350005ede4ea8 | Security Group Tag: none | EasyVPN: 0 ||
