sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: divykaru | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.144 | Public IP: 171.61.236.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:55 IST Mon Jun 8 2020 | Duration: 1d 1h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 977115056 | Bytes Rx: 1002127857 | IP Addr: 10.149.233.144 | Public IP: 171.61.236.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:55 IST Mon Jun 8 2020 | Duration: 1d 1h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 977115056 | Bytes Rx: 1002127857 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139344 | Audit Session ID: 0a95072a220500005eddd3db | Security Group Tag: none | EasyVPN: 0 |Session ID: 139344 | Audit Session ID: 0a95072a220500005eddd3db | Security Group Tag: none | EasyVPN: 0 ||
Username: AUpendra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.186 | Public IP: 49.207.138.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:53 IST Mon Jun 8 2020 | Duration: 1d 0h:28m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 614951147 | Bytes Rx: 164733045 | IP Addr: 10.149.233.186 | Public IP: 49.207.138.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:53 IST Mon Jun 8 2020 | Duration: 1d 0h:28m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 614951147 | Bytes Rx: 164733045 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139475 | Audit Session ID: 0a95072a220d30005edddb59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139475 | Audit Session ID: 0a95072a220d30005edddb59 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsawarde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.241.80 | Public IP: 116.72.111.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:17:32 IST Mon Jun 8 2020 | Duration: 23h:12m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 618709426 | Bytes Rx: 312391725 | IP Addr: 10.149.241.80 | Public IP: 116.72.111.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:17:32 IST Mon Jun 8 2020 | Duration: 23h:12m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 618709426 | Bytes Rx: 312391725 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139974 | Audit Session ID: 0a95072a222c60005edded14 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139974 | Audit Session ID: 0a95072a222c60005edded14 | Security Group Tag: none | EasyVPN: 0 ||
Username: PraviPaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.125 | Public IP: 43.241.28.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:07 IST Tue Jun 9 2020 | Duration: 5h:40m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 974187579 | Bytes Rx: 235079481 | IP Addr: 10.149.232.125 | Public IP: 43.241.28.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:07 IST Tue Jun 9 2020 | Duration: 5h:40m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 974187579 | Bytes Rx: 235079481 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141097 | Audit Session ID: 0a95072a227290005edee3c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141097 | Audit Session ID: 0a95072a227290005edee3c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: amit.singhal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.130 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:59 IST Tue Jun 9 2020 | Duration: 5h:37m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 229663392 | Bytes Rx: 308964950 | IP Addr: 10.149.232.130 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:59 IST Tue Jun 9 2020 | Duration: 5h:37m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 229663392 | Bytes Rx: 308964950 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141102 | Audit Session ID: 0a95072a2272e0005edee473 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141102 | Audit Session ID: 0a95072a2272e0005edee473 | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.131 | Public IP: 117.201.130.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:16 IST Tue Jun 9 2020 | Duration: 5h:37m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 784702294 | Bytes Rx: 170164371 | IP Addr: 10.149.232.131 | Public IP: 117.201.130.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:16 IST Tue Jun 9 2020 | Duration: 5h:37m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 784702294 | Bytes Rx: 170164371 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141103 | Audit Session ID: 0a95072a2272f0005edee484 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141103 | Audit Session ID: 0a95072a2272f0005edee484 | Security Group Tag: none | EasyVPN: 0 ||
Username: BhagGaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.132 | Public IP: 106.220.172.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:46 IST Tue Jun 9 2020 | Duration: 5h:36m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 239775042 | Bytes Rx: 230886589 | IP Addr: 10.149.232.132 | Public IP: 106.220.172.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:46 IST Tue Jun 9 2020 | Duration: 5h:36m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 239775042 | Bytes Rx: 230886589 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141104 | Audit Session ID: 0a95072a227300005edee4a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141104 | Audit Session ID: 0a95072a227300005edee4a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.133 | Public IP: 157.47.1.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:40 IST Tue Jun 9 2020 | Duration: 5h:33m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 172594064 | Bytes Rx: 87619083 | IP Addr: 10.149.232.133 | Public IP: 157.47.1.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:40 IST Tue Jun 9 2020 | Duration: 5h:33m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 172594064 | Bytes Rx: 87619083 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141105 | Audit Session ID: 0a95072a227310005edee550 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141105 | Audit Session ID: 0a95072a227310005edee550 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajac | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.134 | Public IP: 42.111.129.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:09 IST Tue Jun 9 2020 | Duration: 5h:33m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 950676077 | Bytes Rx: 133209033 | IP Addr: 10.149.232.134 | Public IP: 42.111.129.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:09 IST Tue Jun 9 2020 | Duration: 5h:33m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 950676077 | Bytes Rx: 133209033 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141106 | Audit Session ID: 0a95072a227320005edee56d | Security Group Tag: none | EasyVPN: 0 |Session ID: 141106 | Audit Session ID: 0a95072a227320005edee56d | Security Group Tag: none | EasyVPN: 0 ||
Username: chayan.saha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.135 | Public IP: 171.76.134.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:18 IST Tue Jun 9 2020 | Duration: 5h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 582803696 | Bytes Rx: 148047610 | IP Addr: 10.149.232.135 | Public IP: 171.76.134.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:18 IST Tue Jun 9 2020 | Duration: 5h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 582803696 | Bytes Rx: 148047610 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141107 | Audit Session ID: 0a95072a227330005edee576 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141107 | Audit Session ID: 0a95072a227330005edee576 | Security Group Tag: none | EasyVPN: 0 ||
Username: Sborikar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.25 | Public IP: 106.220.185.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:08:22 IST Tue Jun 9 2020 | Duration: 5h:22m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 193454327 | Bytes Rx: 59637129 | IP Addr: 10.149.233.25 | Public IP: 106.220.185.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:08:22 IST Tue Jun 9 2020 | Duration: 5h:22m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 193454327 | Bytes Rx: 59637129 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141115 | Audit Session ID: 0a95072a2273b0005edee80e | Security Group Tag: none | EasyVPN: 0 |Session ID: 141115 | Audit Session ID: 0a95072a2273b0005edee80e | Security Group Tag: none | EasyVPN: 0 ||
