sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 5h:30m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2625615195 | Bytes Rx: 388314323 | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 5h:30m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2625615195 | Bytes Rx: 388314323 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:00 IST Mon Jun 8 2020 | Duration: 1d 5h:21m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 582339397 | Bytes Rx: 195327850 | IP Addr: 10.150.236.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:00 IST Mon Jun 8 2020 | Duration: 1d 5h:21m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 582339397 | Bytes Rx: 195327850 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 895 | Audit Session ID: 0a96cf690037f0005edd96b4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 895 | Audit Session ID: 0a96cf690037f0005edd96b4 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.221 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:13 IST Mon Jun 8 2020 | Duration: 1d 3h:07m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 421997667 | Bytes Rx: 604661004 | IP Addr: 10.150.236.221 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:13 IST Mon Jun 8 2020 | Duration: 1d 3h:07m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 421997667 | Bytes Rx: 604661004 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1268 | Audit Session ID: 0a96cf69004f40005eddb629 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1268 | Audit Session ID: 0a96cf69004f40005eddb629 | Security Group Tag: none | EasyVPN: 0 ||
Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 1d 2h:35m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 166423341 | Bytes Rx: 144797422 | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 1d 2h:35m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 166423341 | Bytes Rx: 144797422 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 ||
Username: pphalle | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC15 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:28:31 IST Mon Jun 8 2020 | Duration: 1d 1h:01m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 981925612 | Bytes Rx: 256118761 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:28:31 IST Mon Jun 8 2020 | Duration: 1d 1h:01m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 981925612 | Bytes Rx: 256118761 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2039 | Audit Session ID: 0a96cf69007f70005eddd387 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2039 | Audit Session ID: 0a96cf69007f70005eddd387 | Security Group Tag: none | EasyVPN: 0 ||
Username: lchidura | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.244.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:15:06 IST Mon Jun 8 2020 | Duration: 22h:15m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 545345650 | Bytes Rx: 101583627 | IP Addr: 10.150.244.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:15:06 IST Mon Jun 8 2020 | Duration: 22h:15m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 545345650 | Bytes Rx: 101583627 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2518 | Audit Session ID: 0a96cf69009d60005eddfa92 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2518 | Audit Session ID: 0a96cf69009d60005eddfa92 | Security Group Tag: none | EasyVPN: 0 ||
Username: gmalik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.246 | Public IP: 122.177.59.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:38:52 IST Mon Jun 8 2020 | Duration: 20h:51m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 113263260 | Bytes Rx: 55968730 | IP Addr: 10.150.244.246 | Public IP: 122.177.59.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:38:52 IST Mon Jun 8 2020 | Duration: 20h:51m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 113263260 | Bytes Rx: 55968730 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2892 | Audit Session ID: 0a96cf6900b4c0005ede0e34 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2892 | Audit Session ID: 0a96cf6900b4c0005ede0e34 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.248 | Public IP: 182.68.74.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:40:02 IST Mon Jun 8 2020 | Duration: 18h:50m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 697421136 | Bytes Rx: 397883398 | IP Addr: 10.150.244.248 | Public IP: 182.68.74.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:40:02 IST Mon Jun 8 2020 | Duration: 18h:50m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 697421136 | Bytes Rx: 397883398 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3264 | Audit Session ID: 0a96cf6900cc00005ede2a9a | Security Group Tag: none | EasyVPN: 0 |Session ID: 3264 | Audit Session ID: 0a96cf6900cc00005ede2a9a | Security Group Tag: none | EasyVPN: 0 ||
Username: Neerajkg | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.79 | Public IP: 122.170.142.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:49:18 IST Mon Jun 8 2020 | Duration: 15h:41m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 238323396 | Bytes Rx: 311791532 | IP Addr: 10.150.237.79 | Public IP: 122.170.142.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:49:18 IST Mon Jun 8 2020 | Duration: 15h:41m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 238323396 | Bytes Rx: 311791532 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3709 | Audit Session ID: 0a96cf6900e7d0005ede56f6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 3709 | Audit Session ID: 0a96cf6900e7d0005ede56f6 | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.187 | Public IP: 157.33.217.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:32:16 IST Mon Jun 8 2020 | Duration: 13h:58m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 390897263 | Bytes Rx: 548348812 | IP Addr: 10.150.237.187 | Public IP: 157.33.217.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:32:16 IST Mon Jun 8 2020 | Duration: 13h:58m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 390897263 | Bytes Rx: 548348812 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3914 | Audit Session ID: 0a96cf6900f4a0005ede6f18 | Security Group Tag: none | EasyVPN: 0 |Session ID: 3914 | Audit Session ID: 0a96cf6900f4a0005ede6f18 | Security Group Tag: none | EasyVPN: 0 ||
Username: usurana | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.62 | Public IP: 49.36.128.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:10:33 IST Mon Jun 8 2020 | Duration: 13h:19m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1908167052 | Bytes Rx: 758595865 | IP Addr: 10.150.236.62 | Public IP: 49.36.128.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:10:33 IST Mon Jun 8 2020 | Duration: 13h:19m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1908167052 | Bytes Rx: 758595865 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3975 | Audit Session ID: 0a96cf6900f870005ede7811 | Security Group Tag: none | EasyVPN: 0 |Session ID: 3975 | Audit Session ID: 0a96cf6900f870005ede7811 | Security Group Tag: none | EasyVPN: 0 ||
