sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: smitajad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.172 | Public IP: 123.201.36.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 1d 3h:51m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 3636240707 | Bytes Rx: 163527328872 | IP Addr: 10.150.238.172 | Public IP: 123.201.36.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 1d 3h:51m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 3636240707 | Bytes Rx: 163527328872 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.80 | Public IP: 43.250.158.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:37:22 IST Mon Jun 8 2020 | Duration: 1d 2h:53m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1118194071 | Bytes Rx: 346598208 | IP Addr: 10.150.239.80 | Public IP: 43.250.158.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:37:22 IST Mon Jun 8 2020 | Duration: 1d 2h:53m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1118194071 | Bytes Rx: 346598208 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1563 | Audit Session ID: 0a96cf6a0061b0005eddb97a | Security Group Tag: none | EasyVPN: 0 |Session ID: 1563 | Audit Session ID: 0a96cf6a0061b0005eddb97a | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.202 | Public IP: 182.57.249.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:50 IST Mon Jun 8 2020 | Duration: 1d 2h:32m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1585892764 | Bytes Rx: 409301812 | IP Addr: 10.150.239.202 | Public IP: 182.57.249.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:50 IST Mon Jun 8 2020 | Duration: 1d 2h:32m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1585892764 | Bytes Rx: 409301812 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1725 | Audit Session ID: 0a96cf6a006bd0005eddbe46 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1725 | Audit Session ID: 0a96cf6a006bd0005eddbe46 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 21h:27m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 139286585 | Bytes Rx: 453680144 | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 21h:27m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 139286585 | Bytes Rx: 453680144 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.50 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:48:25 IST Mon Jun 8 2020 | Duration: 16h:41m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 302530800 | Bytes Rx: 105459679 | IP Addr: 10.150.239.50 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:48:25 IST Mon Jun 8 2020 | Duration: 16h:41m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 302530800 | Bytes Rx: 105459679 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6008 | Audit Session ID: 0a96cf6a017780005ede48b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6008 | Audit Session ID: 0a96cf6a017780005ede48b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: vinjoshi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.112 | Public IP: 110.227.199.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Tue Jun 9 2020 | Duration: 7h:03m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 354036565 | Bytes Rx: 55965774 | IP Addr: 10.150.239.112 | Public IP: 110.227.199.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Tue Jun 9 2020 | Duration: 7h:03m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 354036565 | Bytes Rx: 55965774 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6439 | Audit Session ID: 0a96cf6a019270005eded05f | Security Group Tag: none | EasyVPN: 0 |Session ID: 6439 | Audit Session ID: 0a96cf6a019270005eded05f | Security Group Tag: none | EasyVPN: 0 ||
Username: PraJagta | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.24 | Public IP: 106.220.194.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:15 IST Tue Jun 9 2020 | Duration: 6h:03m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 286077595 | Bytes Rx: 99964331 | IP Addr: 10.150.238.24 | Public IP: 106.220.194.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:15 IST Tue Jun 9 2020 | Duration: 6h:03m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 286077595 | Bytes Rx: 99964331 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6468 | Audit Session ID: 0a96cf6a019440005edede6b | Security Group Tag: none | EasyVPN: 0 |Session ID: 6468 | Audit Session ID: 0a96cf6a019440005edede6b | Security Group Tag: none | EasyVPN: 0 ||
Username: anildond | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.26 | Public IP: 157.33.147.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:48 IST Tue Jun 9 2020 | Duration: 6h:02m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 138487447 | Bytes Rx: 74429447 | IP Addr: 10.150.238.26 | Public IP: 157.33.147.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:48 IST Tue Jun 9 2020 | Duration: 6h:02m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 138487447 | Bytes Rx: 74429447 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6470 | Audit Session ID: 0a96cf6a019460005edede8c | Security Group Tag: none | EasyVPN: 0 |Session ID: 6470 | Audit Session ID: 0a96cf6a019460005edede8c | Security Group Tag: none | EasyVPN: 0 ||
Username: PrYelmar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.144 | Public IP: 106.210.231.172 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:55 IST Tue Jun 9 2020 | Duration: 5h:54m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 929952687 | Bytes Rx: 184544663 | IP Addr: 10.150.239.144 | Public IP: 106.210.231.172 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:55 IST Tue Jun 9 2020 | Duration: 5h:54m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 929952687 | Bytes Rx: 184544663 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6473 | Audit Session ID: 0a96cf6a019490005edee073 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6473 | Audit Session ID: 0a96cf6a019490005edee073 | Security Group Tag: none | EasyVPN: 0 ||
Username: apoon | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.145 | Public IP: 118.143.135.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:28 IST Tue Jun 9 2020 | Duration: 5h:53m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 251863957 | Bytes Rx: 51841207 | IP Addr: 10.150.239.145 | Public IP: 118.143.135.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:28 IST Tue Jun 9 2020 | Duration: 5h:53m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 251863957 | Bytes Rx: 51841207 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6474 | Audit Session ID: 0a96cf6a0194a0005edee094 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6474 | Audit Session ID: 0a96cf6a0194a0005edee094 | Security Group Tag: none | EasyVPN: 0 ||
Username: mohsingh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.147 | Public IP: 103.97.104.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:12 IST Tue Jun 9 2020 | Duration: 5h:52m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1276375503 | Bytes Rx: 980015275 | IP Addr: 10.150.239.147 | Public IP: 103.97.104.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:12 IST Tue Jun 9 2020 | Duration: 5h:52m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1276375503 | Bytes Rx: 980015275 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6477 | Audit Session ID: 0a96cf6a0194d0005edee0fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 6477 | Audit Session ID: 0a96cf6a0194d0005edee0fc | Security Group Tag: none | EasyVPN: 0 ||
