sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:00 IST Mon Jun 8 2020 | Duration: 1d 7h:21m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 626876633 | Bytes Rx: 217380782 | IP Addr: 10.150.236.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:00 IST Mon Jun 8 2020 | Duration: 1d 7h:21m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 626876633 | Bytes Rx: 217380782 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 895 | Audit Session ID: 0a96cf690037f0005edd96b4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 895 | Audit Session ID: 0a96cf690037f0005edd96b4 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.221 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:23:13 IST Mon Jun 8 2020 | Duration: 1d 5h:07m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 882563511 | Bytes Rx: 1231124368 | IP Addr: 10.150.236.221 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:23:13 IST Mon Jun 8 2020 | Duration: 1d 5h:07m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 882563511 | Bytes Rx: 1231124368 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1268 | Audit Session ID: 0a96cf69004f40005eddb629 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1268 | Audit Session ID: 0a96cf69004f40005eddb629 | Security Group Tag: none | EasyVPN: 0 ||
Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 1d 4h:35m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 167884306 | Bytes Rx: 145910713 | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 1d 4h:35m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 167884306 | Bytes Rx: 145910713 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 ||
Username: pphalle | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC15 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:28:31 IST Mon Jun 8 2020 | Duration: 1d 3h:01m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1317314946 | Bytes Rx: 286198479 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:28:31 IST Mon Jun 8 2020 | Duration: 1d 3h:01m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1317314946 | Bytes Rx: 286198479 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2039 | Audit Session ID: 0a96cf69007f70005eddd387 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2039 | Audit Session ID: 0a96cf69007f70005eddd387 | Security Group Tag: none | EasyVPN: 0 ||
Username: lchidura | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.244.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:15:06 IST Mon Jun 8 2020 | Duration: 1d 0h:15m:18s | Inactivity:  0h:24m:06s | Bytes Tx: 1161728912 | Bytes Rx: 211714946 | IP Addr: 10.150.244.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:15:06 IST Mon Jun 8 2020 | Duration: 1d 0h:15m:18s | Inactivity:  0h:24m:06s | Bytes Tx: 1161728912 | Bytes Rx: 211714946 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2518 | Audit Session ID: 0a96cf69009d60005eddfa92 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2518 | Audit Session ID: 0a96cf69009d60005eddfa92 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.248 | Public IP: 182.68.74.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:40:02 IST Mon Jun 8 2020 | Duration: 20h:50m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 918981086 | Bytes Rx: 571734915 | IP Addr: 10.150.244.248 | Public IP: 182.68.74.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:40:02 IST Mon Jun 8 2020 | Duration: 20h:50m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 918981086 | Bytes Rx: 571734915 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3264 | Audit Session ID: 0a96cf6900cc00005ede2a9a | Security Group Tag: none | EasyVPN: 0 |Session ID: 3264 | Audit Session ID: 0a96cf6900cc00005ede2a9a | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.187 | Public IP: 157.33.217.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:32:16 IST Mon Jun 8 2020 | Duration: 15h:58m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 425748185 | Bytes Rx: 570153531 | IP Addr: 10.150.237.187 | Public IP: 157.33.217.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:32:16 IST Mon Jun 8 2020 | Duration: 15h:58m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 425748185 | Bytes Rx: 570153531 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3914 | Audit Session ID: 0a96cf6900f4a0005ede6f18 | Security Group Tag: none | EasyVPN: 0 |Session ID: 3914 | Audit Session ID: 0a96cf6900f4a0005ede6f18 | Security Group Tag: none | EasyVPN: 0 ||
Username: usurana | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.62 | Public IP: 49.36.128.85 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 23:10:33 IST Mon Jun 8 2020 | Duration: 15h:19m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 4028853214 | Bytes Rx: 1922177182 | IP Addr: 10.150.236.62 | Public IP: 49.36.128.85 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 23:10:33 IST Mon Jun 8 2020 | Duration: 15h:19m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 4028853214 | Bytes Rx: 1922177182 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3975 | Audit Session ID: 0a96cf6900f870005ede7811 | Security Group Tag: none | EasyVPN: 0 |Session ID: 3975 | Audit Session ID: 0a96cf6900f870005ede7811 | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.117 | Public IP: 171.78.179.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:42:20 IST Tue Jun 9 2020 | Duration: 9h:48m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 745890595 | Bytes Rx: 93429476 | IP Addr: 10.150.236.117 | Public IP: 171.78.179.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:42:20 IST Tue Jun 9 2020 | Duration: 9h:48m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 745890595 | Bytes Rx: 93429476 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4188 | Audit Session ID: 0a96cf690105c0005edec5d4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4188 | Audit Session ID: 0a96cf690105c0005edec5d4 | Security Group Tag: none | EasyVPN: 0 ||
Username: sipandit | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.119 | Public IP: 103.252.52.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:46:51 IST Tue Jun 9 2020 | Duration: 9h:43m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 897989043 | Bytes Rx: 271344789 | IP Addr: 10.150.236.119 | Public IP: 103.252.52.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:46:51 IST Tue Jun 9 2020 | Duration: 9h:43m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 897989043 | Bytes Rx: 271344789 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4193 | Audit Session ID: 0a96cf69010610005edec6e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4193 | Audit Session ID: 0a96cf69010610005edec6e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: anamika.ranade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.3 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:32:08 IST Tue Jun 9 2020 | Duration: 7h:58m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 364986299 | Bytes Rx: 62859135 | IP Addr: 10.150.237.3 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:32:08 IST Tue Jun 9 2020 | Duration: 7h:58m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 364986299 | Bytes Rx: 62859135 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4250 | Audit Session ID: 0a96cf690109a0005ededf90 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4250 | Audit Session ID: 0a96cf690109a0005ededf90 | Security Group Tag: none | EasyVPN: 0 ||
