sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: snallapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.103 | Public IP: 157.44.155.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:40 IST Wed Jun 10 2020 | Duration: 7h:33m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 301809688 | Bytes Rx: 142844000 | IP Addr: 10.149.233.103 | Public IP: 157.44.155.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:40 IST Wed Jun 10 2020 | Duration: 7h:33m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 301809688 | Bytes Rx: 142844000 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143424 | Audit Session ID: 0a95072a230400005ee02938 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143424 | Audit Session ID: 0a95072a230400005ee02938 | Security Group Tag: none | EasyVPN: 0 ||
Username: sasikuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.105 | Public IP: 157.51.86.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:29 IST Wed Jun 10 2020 | Duration: 7h:32m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 106679992 | Bytes Rx: 94648901 | IP Addr: 10.149.233.105 | Public IP: 157.51.86.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:29 IST Wed Jun 10 2020 | Duration: 7h:32m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 106679992 | Bytes Rx: 94648901 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143426 | Audit Session ID: 0a95072a230420005ee02969 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143426 | Audit Session ID: 0a95072a230420005ee02969 | Security Group Tag: none | EasyVPN: 0 ||
Username: npasupul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.107 | Public IP: 27.6.166.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:58 IST Wed Jun 10 2020 | Duration: 6h:56m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 205833339 | Bytes Rx: 109766998 | IP Addr: 10.149.233.107 | Public IP: 27.6.166.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:58 IST Wed Jun 10 2020 | Duration: 6h:56m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 205833339 | Bytes Rx: 109766998 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143434 | Audit Session ID: 0a95072a2304a0005ee031f6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143434 | Audit Session ID: 0a95072a2304a0005ee031f6 | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.112 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:14 IST Wed Jun 10 2020 | Duration: 6h:52m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1213000261 | Bytes Rx: 1011027909 | IP Addr: 10.149.233.112 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:14 IST Wed Jun 10 2020 | Duration: 6h:52m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1213000261 | Bytes Rx: 1011027909 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143438 | Audit Session ID: 0a95072a2304e0005ee032ba | Security Group Tag: none | EasyVPN: 0 |Session ID: 143438 | Audit Session ID: 0a95072a2304e0005ee032ba | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.114 | Public IP: 115.97.75.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:48 IST Wed Jun 10 2020 | Duration: 6h:52m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 710427670 | Bytes Rx: 178967743 | IP Addr: 10.149.233.114 | Public IP: 115.97.75.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:48 IST Wed Jun 10 2020 | Duration: 6h:52m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 710427670 | Bytes Rx: 178967743 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143440 | Audit Session ID: 0a95072a230500005ee032dc | Security Group Tag: none | EasyVPN: 0 |Session ID: 143440 | Audit Session ID: 0a95072a230500005ee032dc | Security Group Tag: none | EasyVPN: 0 ||
Username: Atapkire | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.118 | Public IP: 157.33.178.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:44 IST Wed Jun 10 2020 | Duration: 6h:44m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1029111504 | Bytes Rx: 150486379 | IP Addr: 10.149.233.118 | Public IP: 157.33.178.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:44 IST Wed Jun 10 2020 | Duration: 6h:44m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1029111504 | Bytes Rx: 150486379 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143444 | Audit Session ID: 0a95072a230540005ee034b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143444 | Audit Session ID: 0a95072a230540005ee034b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: DeSanaka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.70 | Public IP: 49.206.210.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:40 IST Wed Jun 10 2020 | Duration: 6h:36m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 735897787 | Bytes Rx: 114331278 | IP Addr: 10.149.232.70 | Public IP: 49.206.210.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:40 IST Wed Jun 10 2020 | Duration: 6h:36m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 735897787 | Bytes Rx: 114331278 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143449 | Audit Session ID: 0a95072a230590005ee03694 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143449 | Audit Session ID: 0a95072a230590005ee03694 | Security Group Tag: none | EasyVPN: 0 ||
Username: lvajja | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.162 | Public IP: 59.96.159.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:48 IST Wed Jun 10 2020 | Duration: 6h:27m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 873025978 | Bytes Rx: 512733510 | IP Addr: 10.149.232.162 | Public IP: 59.96.159.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:48 IST Wed Jun 10 2020 | Duration: 6h:27m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 873025978 | Bytes Rx: 512733510 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143451 | Audit Session ID: 0a95072a2305b0005ee038b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143451 | Audit Session ID: 0a95072a2305b0005ee038b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: ayogesh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.161 | Public IP: 49.207.140.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:00 IST Wed Jun 10 2020 | Duration: 6h:27m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 121890231 | Bytes Rx: 80289501 | IP Addr: 10.149.232.161 | Public IP: 49.207.140.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:00 IST Wed Jun 10 2020 | Duration: 6h:27m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 121890231 | Bytes Rx: 80289501 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143452 | Audit Session ID: 0a95072a2305c0005ee038c4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143452 | Audit Session ID: 0a95072a2305c0005ee038c4 | Security Group Tag: none | EasyVPN: 0 ||
Username: cpugazhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.163 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Wed Jun 10 2020 | Duration: 6h:25m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 633972326 | Bytes Rx: 109676302 | IP Addr: 10.149.232.163 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Wed Jun 10 2020 | Duration: 6h:25m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 633972326 | Bytes Rx: 109676302 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143454 | Audit Session ID: 0a95072a2305e0005ee03921 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143454 | Audit Session ID: 0a95072a2305e0005ee03921 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksubrama | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.153 | Public IP: 42.111.132.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:53 IST Wed Jun 10 2020 | Duration: 6h:22m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 601686184 | Bytes Rx: 799210414 | IP Addr: 10.149.233.153 | Public IP: 42.111.132.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:53 IST Wed Jun 10 2020 | Duration: 6h:22m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 601686184 | Bytes Rx: 799210414 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143455 | Audit Session ID: 0a95072a2305f0005ee039e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143455 | Audit Session ID: 0a95072a2305f0005ee039e9 | Security Group Tag: none | EasyVPN: 0 ||
