sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 2d 3h:37m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 224169571 | Bytes Rx: 162760048 | IP Addr: 10.150.237.137 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:55 IST Mon Jun 8 2020 | Duration: 2d 3h:37m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 224169571 | Bytes Rx: 162760048 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1526 | Audit Session ID: 0a96cf69005f60005eddbd97 | Security Group Tag: none | EasyVPN: 0 ||
Username: GunjanK | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.108 | Public IP: 117.212.242.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:31 IST Tue Jun 9 2020 | Duration: 1d 5h:35m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 4288111665 | Bytes Rx: 1372271326 | IP Addr: 10.150.237.108 | Public IP: 117.212.242.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:31 IST Tue Jun 9 2020 | Duration: 1d 5h:35m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 4288111665 | Bytes Rx: 1372271326 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4427 | Audit Session ID: 0a96cf690114b0005edef357 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4427 | Audit Session ID: 0a96cf690114b0005edef357 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.55 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:42:48 IST Tue Jun 9 2020 | Duration: 22h:49m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 215114620 | Bytes Rx: 106971067 | IP Addr: 10.150.237.55 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:42:48 IST Tue Jun 9 2020 | Duration: 22h:49m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 215114620 | Bytes Rx: 106971067 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6220 | Audit Session ID: 0a96cf690184c0005edf5290 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6220 | Audit Session ID: 0a96cf690184c0005edf5290 | Security Group Tag: none | EasyVPN: 0 ||
Username: subhassh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.99 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:47:15 IST Tue Jun 9 2020 | Duration: 20h:44m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 156972898 | Bytes Rx: 51047898 | IP Addr: 10.150.244.99 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:47:15 IST Tue Jun 9 2020 | Duration: 20h:44m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 156972898 | Bytes Rx: 51047898 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6689 | Audit Session ID: 0a96cf6901a210005edf6fbb | Security Group Tag: none | EasyVPN: 0 |Session ID: 6689 | Audit Session ID: 0a96cf6901a210005edf6fbb | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.69 | Public IP: 182.57.203.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:45 IST Tue Jun 9 2020 | Duration: 18h:23m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 669666132 | Bytes Rx: 188117729 | IP Addr: 10.150.236.69 | Public IP: 182.57.203.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:45 IST Tue Jun 9 2020 | Duration: 18h:23m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 669666132 | Bytes Rx: 188117729 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7105 | Audit Session ID: 0a96cf6901bc10005edf90e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7105 | Audit Session ID: 0a96cf6901bc10005edf90e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: abhijsha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.204 | Public IP: 103.203.66.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:56:06 IST Tue Jun 9 2020 | Duration: 15h:36m:01s | Inactivity:  0h:01m:15s | Bytes Tx: 2871604528 | Bytes Rx: 400700482 | IP Addr: 10.150.237.204 | Public IP: 103.203.66.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:56:06 IST Tue Jun 9 2020 | Duration: 15h:36m:01s | Inactivity:  0h:01m:15s | Bytes Tx: 2871604528 | Bytes Rx: 400700482 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7432 | Audit Session ID: 0a96cf6901d080005edfb81e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7432 | Audit Session ID: 0a96cf6901d080005edfb81e | Security Group Tag: none | EasyVPN: 0 ||
Username: anamika.ranade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.150 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:40 IST Wed Jun 10 2020 | Duration: 7h:03m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 153212684 | Bytes Rx: 60203544 | IP Addr: 10.150.237.150 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:40 IST Wed Jun 10 2020 | Duration: 7h:03m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 153212684 | Bytes Rx: 60203544 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7805 | Audit Session ID: 0a96cf6901e7d0005ee03040 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7805 | Audit Session ID: 0a96cf6901e7d0005ee03040 | Security Group Tag: none | EasyVPN: 0 ||
Username: SKapadek | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.90 | Public IP: 157.33.188.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:45 IST Wed Jun 10 2020 | Duration: 7h:01m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1812716763 | Bytes Rx: 358750271 | IP Addr: 10.150.237.90 | Public IP: 157.33.188.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:45 IST Wed Jun 10 2020 | Duration: 7h:01m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1812716763 | Bytes Rx: 358750271 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7807 | Audit Session ID: 0a96cf6901e7f0005ee030bd | Security Group Tag: none | EasyVPN: 0 |Session ID: 7807 | Audit Session ID: 0a96cf6901e7f0005ee030bd | Security Group Tag: none | EasyVPN: 0 ||
Username: karparde | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.95 | Public IP: 106.193.219.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:32:43 IST Wed Jun 10 2020 | Duration: 6h:59m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 307294144 | Bytes Rx: 127995307 | IP Addr: 10.150.237.95 | Public IP: 106.193.219.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:32:43 IST Wed Jun 10 2020 | Duration: 6h:59m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 307294144 | Bytes Rx: 127995307 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7810 | Audit Session ID: 0a96cf6901e820005ee03133 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7810 | Audit Session ID: 0a96cf6901e820005ee03133 | Security Group Tag: none | EasyVPN: 0 ||
Username: NitTawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.96 | Public IP: 106.193.98.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:52 IST Wed Jun 10 2020 | Duration: 6h:57m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 533938191 | Bytes Rx: 134084997 | IP Addr: 10.150.237.96 | Public IP: 106.193.98.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:52 IST Wed Jun 10 2020 | Duration: 6h:57m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 533938191 | Bytes Rx: 134084997 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7812 | Audit Session ID: 0a96cf6901e840005ee031b4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7812 | Audit Session ID: 0a96cf6901e840005ee031b4 | Security Group Tag: none | EasyVPN: 0 ||
Username: DiSankhe | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC71 | IP Addr: 10.150.245.49 | Public IP: 223.178.149.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:20 IST Wed Jun 10 2020 | Duration: 6h:48m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1609722770 | Bytes Rx: 161024078 | IP Addr: 10.150.245.49 | Public IP: 223.178.149.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:20 IST Wed Jun 10 2020 | Duration: 6h:48m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1609722770 | Bytes Rx: 161024078 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7816 | Audit Session ID: 0a96cf6901e880005ee033b0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7816 | Audit Session ID: 0a96cf6901e880005ee033b0 | Security Group Tag: none | EasyVPN: 0 ||
