sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: GunjanK | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.108 | Public IP: 117.212.242.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:31 IST Tue Jun 9 2020 | Duration: 1d 10h:08m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 4692160017 | Bytes Rx: 1777040063 | IP Addr: 10.150.237.108 | Public IP: 117.212.242.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:31 IST Tue Jun 9 2020 | Duration: 1d 10h:08m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 4692160017 | Bytes Rx: 1777040063 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4427 | Audit Session ID: 0a96cf690114b0005edef357 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4427 | Audit Session ID: 0a96cf690114b0005edef357 | Security Group Tag: none | EasyVPN: 0 ||
Username: subhassh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.99 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:47:15 IST Tue Jun 9 2020 | Duration: 1d 1h:17m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 901908458 | Bytes Rx: 164767894 | IP Addr: 10.150.244.99 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:47:15 IST Tue Jun 9 2020 | Duration: 1d 1h:17m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 901908458 | Bytes Rx: 164767894 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6689 | Audit Session ID: 0a96cf6901a210005edf6fbb | Security Group Tag: none | EasyVPN: 0 |Session ID: 6689 | Audit Session ID: 0a96cf6901a210005edf6fbb | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.69 | Public IP: 182.57.255.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:45 IST Tue Jun 9 2020 | Duration: 22h:55m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1483663792 | Bytes Rx: 414334292 | IP Addr: 10.150.236.69 | Public IP: 182.57.255.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:45 IST Tue Jun 9 2020 | Duration: 22h:55m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1483663792 | Bytes Rx: 414334292 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7105 | Audit Session ID: 0a96cf6901bc10005edf90e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7105 | Audit Session ID: 0a96cf6901bc10005edf90e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: anamika.ranade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.150 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:40 IST Wed Jun 10 2020 | Duration: 11h:36m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 228542178 | Bytes Rx: 98850809 | IP Addr: 10.150.237.150 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:40 IST Wed Jun 10 2020 | Duration: 11h:36m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 228542178 | Bytes Rx: 98850809 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7805 | Audit Session ID: 0a96cf6901e7d0005ee03040 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7805 | Audit Session ID: 0a96cf6901e7d0005ee03040 | Security Group Tag: none | EasyVPN: 0 ||
Username: SPathare | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.93 | Public IP: 103.252.53.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:38 IST Wed Jun 10 2020 | Duration: 11h:13m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 992235344 | Bytes Rx: 166608609 | IP Addr: 10.150.237.93 | Public IP: 103.252.53.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:38 IST Wed Jun 10 2020 | Duration: 11h:13m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 992235344 | Bytes Rx: 166608609 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7827 | Audit Session ID: 0a96cf6901e930005ee035a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7827 | Audit Session ID: 0a96cf6901e930005ee035a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: pashinde | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.97 | Public IP: 49.35.91.74 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:10:10 IST Wed Jun 10 2020 | Duration: 10h:54m:33s | Inactivity:  0h:09m:57s | Bytes Tx: 1123923786 | Bytes Rx: 202445476 | IP Addr: 10.150.236.97 | Public IP: 49.35.91.74 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:10:10 IST Wed Jun 10 2020 | Duration: 10h:54m:33s | Inactivity:  0h:09m:57s | Bytes Tx: 1123923786 | Bytes Rx: 202445476 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7891 | Audit Session ID: 0a96cf6901ed30005ee039fa | Security Group Tag: none | EasyVPN: 0 |Session ID: 7891 | Audit Session ID: 0a96cf6901ed30005ee039fa | Security Group Tag: none | EasyVPN: 0 ||
Username: vishwbha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC12 | IP Addr: 10.150.245.243 | Public IP: 45.127.91.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:09 IST Wed Jun 10 2020 | Duration: 10h:51m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 323991162 | Bytes Rx: 450686063 | IP Addr: 10.150.245.243 | Public IP: 45.127.91.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:09 IST Wed Jun 10 2020 | Duration: 10h:51m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 323991162 | Bytes Rx: 450686063 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7896 | Audit Session ID: 0a96cf6901ed80005ee03aad | Security Group Tag: none | EasyVPN: 0 |Session ID: 7896 | Audit Session ID: 0a96cf6901ed80005ee03aad | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.99 | Public IP: 103.110.254.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:21:06 IST Wed Jun 10 2020 | Duration: 10h:43m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 356974225 | Bytes Rx: 139266953 | IP Addr: 10.150.236.99 | Public IP: 103.110.254.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:21:06 IST Wed Jun 10 2020 | Duration: 10h:43m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 356974225 | Bytes Rx: 139266953 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7918 | Audit Session ID: 0a96cf6901eee0005ee03c8a | Security Group Tag: none | EasyVPN: 0 |Session ID: 7918 | Audit Session ID: 0a96cf6901eee0005ee03c8a | Security Group Tag: none | EasyVPN: 0 ||
Username: bhupisin | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.20 | Public IP: 106.205.90.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:20 IST Wed Jun 10 2020 | Duration: 10h:36m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 167662110 | Bytes Rx: 72205052 | IP Addr: 10.150.237.20 | Public IP: 106.205.90.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:20 IST Wed Jun 10 2020 | Duration: 10h:36m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 167662110 | Bytes Rx: 72205052 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7929 | Audit Session ID: 0a96cf6901ef90005ee03e3c | Security Group Tag: none | EasyVPN: 0 |Session ID: 7929 | Audit Session ID: 0a96cf6901ef90005ee03e3c | Security Group Tag: none | EasyVPN: 0 ||
Username: Sridhar.Y | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.100 | Public IP: 113.193.134.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:42:53 IST Wed Jun 10 2020 | Duration: 10h:21m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1140856949 | Bytes Rx: 391034858 | IP Addr: 10.150.236.100 | Public IP: 113.193.134.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:42:53 IST Wed Jun 10 2020 | Duration: 10h:21m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1140856949 | Bytes Rx: 391034858 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7946 | Audit Session ID: 0a96cf6901f0a0005ee041a5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7946 | Audit Session ID: 0a96cf6901f0a0005ee041a5 | Security Group Tag: none | EasyVPN: 0 ||
Username: vaibhav.chaple | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.102 | Public IP: 103.229.247.33 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:44:52 IST Wed Jun 10 2020 | Duration: 10h:19m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 825633587 | Bytes Rx: 329876425 | IP Addr: 10.150.237.102 | Public IP: 103.229.247.33 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:44:52 IST Wed Jun 10 2020 | Duration: 10h:19m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 825633587 | Bytes Rx: 329876425 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7950 | Audit Session ID: 0a96cf6901f0e0005ee0421c | Security Group Tag: none | EasyVPN: 0 |Session ID: 7950 | Audit Session ID: 0a96cf6901f0e0005ee0421c | Security Group Tag: none | EasyVPN: 0 ||
