sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: satviswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.202 | Public IP: 157.51.202.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:25 IST Wed Jun 10 2020 | Duration: 12h:17m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 2014756710 | Bytes Rx: 147794780 | IP Addr: 10.149.233.202 | Public IP: 157.51.202.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:25 IST Wed Jun 10 2020 | Duration: 12h:17m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 2014756710 | Bytes Rx: 147794780 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145351 | Audit Session ID: 0a95072a237c70005ee0f151 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145351 | Audit Session ID: 0a95072a237c70005ee0f151 | Security Group Tag: none | EasyVPN: 0 ||
Username: visparde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.1 | Public IP: 49.35.201.228 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:02:43 IST Wed Jun 10 2020 | Duration: 11h:27m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 3865819626 | Bytes Rx: 531246816 | IP Addr: 10.149.233.1 | Public IP: 49.35.201.228 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:02:43 IST Wed Jun 10 2020 | Duration: 11h:27m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 3865819626 | Bytes Rx: 531246816 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145429 | Audit Session ID: 0a95072a238150005ee0fd1b | Security Group Tag: none | EasyVPN: 0 |Session ID: 145429 | Audit Session ID: 0a95072a238150005ee0fd1b | Security Group Tag: none | EasyVPN: 0 ||
Username: partvija | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.82 | Public IP: 106.208.135.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:47:45 IST Wed Jun 10 2020 | Duration: 10h:42m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 56696767 | Bytes Rx: 27135421 | IP Addr: 10.149.232.82 | Public IP: 106.208.135.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:47:45 IST Wed Jun 10 2020 | Duration: 10h:42m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 56696767 | Bytes Rx: 27135421 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145468 | Audit Session ID: 0a95072a2383c0005ee107a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145468 | Audit Session ID: 0a95072a2383c0005ee107a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsubbura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.207 | Public IP: 115.97.229.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:02:46 IST Wed Jun 10 2020 | Duration: 10h:27m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 3763929527 | Bytes Rx: 569189065 | IP Addr: 10.149.233.207 | Public IP: 115.97.229.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:02:46 IST Wed Jun 10 2020 | Duration: 10h:27m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 3763929527 | Bytes Rx: 569189065 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145489 | Audit Session ID: 0a95072a238510005ee10b2e | Security Group Tag: none | EasyVPN: 0 |Session ID: 145489 | Audit Session ID: 0a95072a238510005ee10b2e | Security Group Tag: none | EasyVPN: 0 ||
Username: sives | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.216 | Public IP: 157.51.200.229 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 22:16:45 IST Wed Jun 10 2020 | Duration: 10h:13m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 6291984834 | Bytes Rx: 600655629 | IP Addr: 10.149.233.216 | Public IP: 157.51.200.229 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 22:16:45 IST Wed Jun 10 2020 | Duration: 10h:13m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 6291984834 | Bytes Rx: 600655629 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145505 | Audit Session ID: 0a95072a238610005ee10e75 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145505 | Audit Session ID: 0a95072a238610005ee10e75 | Security Group Tag: none | EasyVPN: 0 ||
Username: prabksin | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.216 | Public IP: 106.77.5.33 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 22:17:38 IST Wed Jun 10 2020 | Duration: 10h:12m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1969566205 | Bytes Rx: 195786890 | IP Addr: 10.149.232.216 | Public IP: 106.77.5.33 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 22:17:38 IST Wed Jun 10 2020 | Duration: 10h:12m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1969566205 | Bytes Rx: 195786890 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145506 | Audit Session ID: 0a95072a238620005ee10eaa | Security Group Tag: none | EasyVPN: 0 |Session ID: 145506 | Audit Session ID: 0a95072a238620005ee10eaa | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.107 | Public IP: 49.207.130.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:54:19 IST Thu Jun 11 2020 | Duration: 6h:36m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 60346073 | Bytes Rx: 14077178 | IP Addr: 10.149.233.107 | Public IP: 49.207.130.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:54:19 IST Thu Jun 11 2020 | Duration: 6h:36m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 60346073 | Bytes Rx: 14077178 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145596 | Audit Session ID: 0a95072a238bc0005ee14173 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145596 | Audit Session ID: 0a95072a238bc0005ee14173 | Security Group Tag: none | EasyVPN: 0 ||
Username: kanitkum | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.225 | Public IP: 106.220.112.255 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:26:34 IST Thu Jun 11 2020 | Duration: 2h:03m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 111200296 | Bytes Rx: 38843741 | IP Addr: 10.149.233.225 | Public IP: 106.220.112.255 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:26:34 IST Thu Jun 11 2020 | Duration: 2h:03m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 111200296 | Bytes Rx: 38843741 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145604 | Audit Session ID: 0a95072a238c40005ee18142 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145604 | Audit Session ID: 0a95072a238c40005ee18142 | Security Group Tag: none | EasyVPN: 0 ||
Username: arunt | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.80 | Public IP: 106.222.110.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:10 IST Thu Jun 11 2020 | Duration: 1h:52m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 16183576 | Bytes Rx: 8590821 | IP Addr: 10.149.232.80 | Public IP: 106.222.110.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:10 IST Thu Jun 11 2020 | Duration: 1h:52m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 16183576 | Bytes Rx: 8590821 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145605 | Audit Session ID: 0a95072a238c50005ee183fa | Security Group Tag: none | EasyVPN: 0 |Session ID: 145605 | Audit Session ID: 0a95072a238c50005ee183fa | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.81 | Public IP: 115.97.235.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:33 IST Thu Jun 11 2020 | Duration: 1h:50m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 287399593 | Bytes Rx: 44235877 | IP Addr: 10.149.232.81 | Public IP: 115.97.235.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:33 IST Thu Jun 11 2020 | Duration: 1h:50m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 287399593 | Bytes Rx: 44235877 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145607 | Audit Session ID: 0a95072a238c70005ee1844d | Security Group Tag: none | EasyVPN: 0 |Session ID: 145607 | Audit Session ID: 0a95072a238c70005ee1844d | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.84 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:12 IST Thu Jun 11 2020 | Duration: 1h:46m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 171921021 | Bytes Rx: 54880302 | IP Addr: 10.149.232.84 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:12 IST Thu Jun 11 2020 | Duration: 1h:46m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 171921021 | Bytes Rx: 54880302 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145608 | Audit Session ID: 0a95072a238c80005ee18564 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145608 | Audit Session ID: 0a95072a238c80005ee18564 | Security Group Tag: none | EasyVPN: 0 ||
