sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.2 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Mon Jun 8 2020 | Duration: 3d 4h:08m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 6457762861 | Bytes Rx: 955430958 | IP Addr: 10.149.235.2 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Mon Jun 8 2020 | Duration: 3d 4h:08m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 6457762861 | Bytes Rx: 955430958 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154966 | Audit Session ID: 0a95072b25d560005edd92c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 154966 | Audit Session ID: 0a95072b25d560005edd92c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 2d 0h:10m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 955322400 | Bytes Rx: 370560885 | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 2d 0h:10m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 955322400 | Bytes Rx: 370560885 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 ||
Username: dhykotha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.87 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:19 IST Wed Jun 10 2020 | Duration: 1d 2h:36m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 575030624 | Bytes Rx: 267200265 | IP Addr: 10.149.235.87 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:19 IST Wed Jun 10 2020 | Duration: 1d 2h:36m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 575030624 | Bytes Rx: 267200265 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160172 | Audit Session ID: 0a95072b271ac0005ee04b5b | Security Group Tag: none | EasyVPN: 0 |Session ID: 160172 | Audit Session ID: 0a95072b271ac0005ee04b5b | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.47 | Public IP: 49.206.126.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:43:12 IST Wed Jun 10 2020 | Duration: 1d 0h:17m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 538981487 | Bytes Rx: 284782177 | IP Addr: 10.149.234.47 | Public IP: 49.206.126.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:43:12 IST Wed Jun 10 2020 | Duration: 1d 0h:17m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 538981487 | Bytes Rx: 284782177 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160622 | Audit Session ID: 0a95072b2736e0005ee06be8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160622 | Audit Session ID: 0a95072b2736e0005ee06be8 | Security Group Tag: none | EasyVPN: 0 ||
Username: craghura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.82 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:51:59 IST Wed Jun 10 2020 | Duration: 16h:08m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 870734927 | Bytes Rx: 50197711 | IP Addr: 10.149.235.82 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:51:59 IST Wed Jun 10 2020 | Duration: 16h:08m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 870734927 | Bytes Rx: 50197711 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162105 | Audit Session ID: 0a95072b279390005ee0de77 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162105 | Audit Session ID: 0a95072b279390005ee0de77 | Security Group Tag: none | EasyVPN: 0 ||
Username: saikumbh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.173 | Public IP: 103.96.18.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:31:35 IST Thu Jun 11 2020 | Duration: 5h:28m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 91046713 | Bytes Rx: 21901590 | IP Addr: 10.149.234.173 | Public IP: 103.96.18.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:31:35 IST Thu Jun 11 2020 | Duration: 5h:28m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 91046713 | Bytes Rx: 21901590 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162479 | Audit Session ID: 0a95072b27aaf0005ee1745f | Security Group Tag: none | EasyVPN: 0 |Session ID: 162479 | Audit Session ID: 0a95072b27aaf0005ee1745f | Security Group Tag: none | EasyVPN: 0 ||
Username: nkumaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.141 | Public IP: 157.51.206.48 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:52:31 IST Thu Jun 11 2020 | Duration: 5h:07m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 165195369 | Bytes Rx: 45523087 | IP Addr: 10.149.235.141 | Public IP: 157.51.206.48 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:52:31 IST Thu Jun 11 2020 | Duration: 5h:07m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 165195369 | Bytes Rx: 45523087 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162482 | Audit Session ID: 0a95072b27ab20005ee17947 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162482 | Audit Session ID: 0a95072b27ab20005ee17947 | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.142 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:02 IST Thu Jun 11 2020 | Duration: 5h:02m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 367680820 | Bytes Rx: 108241010 | IP Addr: 10.149.235.142 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:02 IST Thu Jun 11 2020 | Duration: 5h:02m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 367680820 | Bytes Rx: 108241010 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162483 | Audit Session ID: 0a95072b27ab30005ee17a92 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162483 | Audit Session ID: 0a95072b27ab30005ee17a92 | Security Group Tag: none | EasyVPN: 0 ||
Username: jvedacha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.248 | Public IP: 202.61.120.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:47 IST Thu Jun 11 2020 | Duration: 4h:43m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 26891322 | Bytes Rx: 19497185 | IP Addr: 10.149.235.248 | Public IP: 202.61.120.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:47 IST Thu Jun 11 2020 | Duration: 4h:43m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 26891322 | Bytes Rx: 19497185 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162487 | Audit Session ID: 0a95072b27ab70005ee17ef7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162487 | Audit Session ID: 0a95072b27ab70005ee17ef7 | Security Group Tag: none | EasyVPN: 0 ||
Username: SSARANYA | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.24 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:25:20 IST Thu Jun 11 2020 | Duration: 4h:35m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 124873124 | Bytes Rx: 29011342 | IP Addr: 10.149.235.24 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:25:20 IST Thu Jun 11 2020 | Duration: 4h:35m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 124873124 | Bytes Rx: 29011342 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162489 | Audit Session ID: 0a95072b27ab90005ee180f8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162489 | Audit Session ID: 0a95072b27ab90005ee180f8 | Security Group Tag: none | EasyVPN: 0 ||
Username: somnath.datta | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.25 | Public IP: 223.191.3.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:25:23 IST Thu Jun 11 2020 | Duration: 4h:34m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 199823422 | Bytes Rx: 31710181 | IP Addr: 10.149.235.25 | Public IP: 223.191.3.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:25:23 IST Thu Jun 11 2020 | Duration: 4h:34m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 199823422 | Bytes Rx: 31710181 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162490 | Audit Session ID: 0a95072b27aba0005ee180fb | Security Group Tag: none | EasyVPN: 0 |Session ID: 162490 | Audit Session ID: 0a95072b27aba0005ee180fb | Security Group Tag: none | EasyVPN: 0 ||
