sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: smaniyan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.138 | Public IP: 157.51.115.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:18:47 IST Thu Jun 11 2020 | Duration: 22h:45m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1032199894 | Bytes Rx: 299555119 | IP Addr: 10.149.233.138 | Public IP: 157.51.115.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:18:47 IST Thu Jun 11 2020 | Duration: 22h:45m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1032199894 | Bytes Rx: 299555119 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 146433 | Audit Session ID: 0a95072a23c010005ee1d3cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 146433 | Audit Session ID: 0a95072a23c010005ee1d3cf | Security Group Tag: none | EasyVPN: 0 ||
Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 27.5.181.91 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:25:30 IST Thu Jun 11 2020 | Duration: 21h:38m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 428129203 | Bytes Rx: 280113140 | IP Addr: 10.149.233.14 | Public IP: 27.5.181.91 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:25:30 IST Thu Jun 11 2020 | Duration: 21h:38m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 428129203 | Bytes Rx: 280113140 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 146746 | Audit Session ID: 0a95072a23d3a0005ee1e372 | Security Group Tag: none | EasyVPN: 0 |Session ID: 146746 | Audit Session ID: 0a95072a23d3a0005ee1e372 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksubbiah | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.138 | Public IP: 49.207.131.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:59:49 IST Thu Jun 11 2020 | Duration: 17h:04m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 205668013 | Bytes Rx: 44345338 | IP Addr: 10.149.232.138 | Public IP: 49.207.131.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:59:49 IST Thu Jun 11 2020 | Duration: 17h:04m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 205668013 | Bytes Rx: 44345338 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147339 | Audit Session ID: 0a95072a23f8b0005ee223bd | Security Group Tag: none | EasyVPN: 0 |Session ID: 147339 | Audit Session ID: 0a95072a23f8b0005ee223bd | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.234 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:23:00 IST Thu Jun 11 2020 | Duration: 14h:41m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 380193373 | Bytes Rx: 183672910 | IP Addr: 10.149.232.234 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:23:00 IST Thu Jun 11 2020 | Duration: 14h:41m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 380193373 | Bytes Rx: 183672910 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147560 | Audit Session ID: 0a95072a240680005ee2454c | Security Group Tag: none | EasyVPN: 0 |Session ID: 147560 | Audit Session ID: 0a95072a240680005ee2454c | Security Group Tag: none | EasyVPN: 0 ||
Username: rajac | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.113 | Public IP: 182.65.73.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:31:51 IST Thu Jun 11 2020 | Duration: 13h:32m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1135700469 | Bytes Rx: 243470520 | IP Addr: 10.149.232.113 | Public IP: 182.65.73.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:31:51 IST Thu Jun 11 2020 | Duration: 13h:32m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1135700469 | Bytes Rx: 243470520 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147645 | Audit Session ID: 0a95072a240bd0005ee2556f | Security Group Tag: none | EasyVPN: 0 |Session ID: 147645 | Audit Session ID: 0a95072a240bd0005ee2556f | Security Group Tag: none | EasyVPN: 0 ||
Username: arunt | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.32 | Public IP: 106.222.98.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:39 IST Fri Jun 12 2020 | Duration: 4h:28m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 137132918 | Bytes Rx: 56466369 | IP Addr: 10.149.232.32 | Public IP: 106.222.98.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:39 IST Fri Jun 12 2020 | Duration: 4h:28m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 137132918 | Bytes Rx: 56466369 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147780 | Audit Session ID: 0a95072a241440005ee2d4e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147780 | Audit Session ID: 0a95072a241440005ee2d4e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: snallapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.166 | Public IP: 157.38.248.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:20 IST Fri Jun 12 2020 | Duration: 4h:21m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 240265884 | Bytes Rx: 79061002 | IP Addr: 10.149.233.166 | Public IP: 157.38.248.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:20 IST Fri Jun 12 2020 | Duration: 4h:21m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 240265884 | Bytes Rx: 79061002 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147781 | Audit Session ID: 0a95072a241450005ee2d674 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147781 | Audit Session ID: 0a95072a241450005ee2d674 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vmanis | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.167 | Public IP: 106.208.104.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:43 IST Fri Jun 12 2020 | Duration: 4h:21m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 66221102 | Bytes Rx: 34908548 | IP Addr: 10.149.233.167 | Public IP: 106.208.104.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:43 IST Fri Jun 12 2020 | Duration: 4h:21m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 66221102 | Bytes Rx: 34908548 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147782 | Audit Session ID: 0a95072a241460005ee2d68b | Security Group Tag: none | EasyVPN: 0 |Session ID: 147782 | Audit Session ID: 0a95072a241460005ee2d68b | Security Group Tag: none | EasyVPN: 0 ||
Username: sasif | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.58 | Public IP: 106.220.157.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:32 IST Fri Jun 12 2020 | Duration: 4h:13m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 336396855 | Bytes Rx: 180936991 | IP Addr: 10.149.232.58 | Public IP: 106.220.157.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:32 IST Fri Jun 12 2020 | Duration: 4h:13m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 336396855 | Bytes Rx: 180936991 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147784 | Audit Session ID: 0a95072a241480005ee2d860 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147784 | Audit Session ID: 0a95072a241480005ee2d860 | Security Group Tag: none | EasyVPN: 0 ||
Username: SJShinde | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.59 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:21 IST Fri Jun 12 2020 | Duration: 4h:12m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1027997728 | Bytes Rx: 132158848 | IP Addr: 10.149.232.59 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:21 IST Fri Jun 12 2020 | Duration: 4h:12m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1027997728 | Bytes Rx: 132158848 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147785 | Audit Session ID: 0a95072a241490005ee2d891 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147785 | Audit Session ID: 0a95072a241490005ee2d891 | Security Group Tag: none | EasyVPN: 0 ||
Username: svaithiy | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC8 | IP Addr: 10.149.248.104 | Public IP: 157.50.2.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:42 IST Fri Jun 12 2020 | Duration: 4h:10m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 375656776 | Bytes Rx: 128938037 | IP Addr: 10.149.248.104 | Public IP: 157.50.2.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:42 IST Fri Jun 12 2020 | Duration: 4h:10m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 375656776 | Bytes Rx: 128938037 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147786 | Audit Session ID: 0a95072a2414a0005ee2d91e | Security Group Tag: none | EasyVPN: 0 |Session ID: 147786 | Audit Session ID: 0a95072a2414a0005ee2d91e | Security Group Tag: none | EasyVPN: 0 ||
