sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 27.5.155.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:25:30 IST Thu Jun 11 2020 | Duration: 1d 2h:43m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 789998748 | Bytes Rx: 361704251 | IP Addr: 10.149.233.14 | Public IP: 27.5.155.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:25:30 IST Thu Jun 11 2020 | Duration: 1d 2h:43m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 789998748 | Bytes Rx: 361704251 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 146746 | Audit Session ID: 0a95072a23d3a0005ee1e372 | Security Group Tag: none | EasyVPN: 0 |Session ID: 146746 | Audit Session ID: 0a95072a23d3a0005ee1e372 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksubbiah | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.138 | Public IP: 49.207.131.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:59:49 IST Thu Jun 11 2020 | Duration: 22h:08m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 541901272 | Bytes Rx: 169624395 | IP Addr: 10.149.232.138 | Public IP: 49.207.131.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:59:49 IST Thu Jun 11 2020 | Duration: 22h:08m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 541901272 | Bytes Rx: 169624395 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147339 | Audit Session ID: 0a95072a23f8b0005ee223bd | Security Group Tag: none | EasyVPN: 0 |Session ID: 147339 | Audit Session ID: 0a95072a23f8b0005ee223bd | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.234 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:23:00 IST Thu Jun 11 2020 | Duration: 19h:45m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 663509943 | Bytes Rx: 386700514 | IP Addr: 10.149.232.234 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:23:00 IST Thu Jun 11 2020 | Duration: 19h:45m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 663509943 | Bytes Rx: 386700514 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147560 | Audit Session ID: 0a95072a240680005ee2454c | Security Group Tag: none | EasyVPN: 0 |Session ID: 147560 | Audit Session ID: 0a95072a240680005ee2454c | Security Group Tag: none | EasyVPN: 0 ||
Username: SJShinde | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.59 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:21 IST Fri Jun 12 2020 | Duration: 9h:17m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 2144615220 | Bytes Rx: 242027653 | IP Addr: 10.149.232.59 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:21 IST Fri Jun 12 2020 | Duration: 9h:17m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 2144615220 | Bytes Rx: 242027653 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147785 | Audit Session ID: 0a95072a241490005ee2d891 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147785 | Audit Session ID: 0a95072a241490005ee2d891 | Security Group Tag: none | EasyVPN: 0 ||
Username: shobmura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.60 | Public IP: 106.208.98.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:17 IST Fri Jun 12 2020 | Duration: 9h:13m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 103902231 | Bytes Rx: 57997222 | IP Addr: 10.149.232.60 | Public IP: 106.208.98.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:17 IST Fri Jun 12 2020 | Duration: 9h:13m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 103902231 | Bytes Rx: 57997222 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147788 | Audit Session ID: 0a95072a2414c0005ee2d97d | Security Group Tag: none | EasyVPN: 0 |Session ID: 147788 | Audit Session ID: 0a95072a2414c0005ee2d97d | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.63 | Public IP: 49.35.203.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:46 IST Fri Jun 12 2020 | Duration: 9h:12m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 313135000 | Bytes Rx: 134584903 | IP Addr: 10.149.232.63 | Public IP: 49.35.203.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:46 IST Fri Jun 12 2020 | Duration: 9h:12m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 313135000 | Bytes Rx: 134584903 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147790 | Audit Session ID: 0a95072a2414e0005ee2d99a | Security Group Tag: none | EasyVPN: 0 |Session ID: 147790 | Audit Session ID: 0a95072a2414e0005ee2d99a | Security Group Tag: none | EasyVPN: 0 ||
Username: cpugazhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.67 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:53 IST Fri Jun 12 2020 | Duration: 9h:08m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1197647887 | Bytes Rx: 1313514386 | IP Addr: 10.149.232.67 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:53 IST Fri Jun 12 2020 | Duration: 9h:08m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1197647887 | Bytes Rx: 1313514386 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147795 | Audit Session ID: 0a95072a241530005ee2da91 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147795 | Audit Session ID: 0a95072a241530005ee2da91 | Security Group Tag: none | EasyVPN: 0 ||
Username: mansoomo | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.69 | Public IP: 115.97.250.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:23 IST Fri Jun 12 2020 | Duration: 9h:06m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2504253784 | Bytes Rx: 816092356 | IP Addr: 10.149.232.69 | Public IP: 115.97.250.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:23 IST Fri Jun 12 2020 | Duration: 9h:06m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2504253784 | Bytes Rx: 816092356 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147797 | Audit Session ID: 0a95072a241550005ee2db27 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147797 | Audit Session ID: 0a95072a241550005ee2db27 | Security Group Tag: none | EasyVPN: 0 ||
Username: SDham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.80 | Public IP: 49.35.87.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:54 IST Fri Jun 12 2020 | Duration: 8h:14m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 1093790307 | Bytes Rx: 234116492 | IP Addr: 10.149.232.80 | Public IP: 49.35.87.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:54 IST Fri Jun 12 2020 | Duration: 8h:14m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 1093790307 | Bytes Rx: 234116492 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147821 | Audit Session ID: 0a95072a2416d0005ee2e73a | Security Group Tag: none | EasyVPN: 0 |Session ID: 147821 | Audit Session ID: 0a95072a2416d0005ee2e73a | Security Group Tag: none | EasyVPN: 0 ||
Username: Ntejeswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.1 | Public IP: 49.37.12.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:55:44 IST Fri Jun 12 2020 | Duration: 8h:13m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 151108557 | Bytes Rx: 60870458 | IP Addr: 10.149.233.1 | Public IP: 49.37.12.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:55:44 IST Fri Jun 12 2020 | Duration: 8h:13m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 151108557 | Bytes Rx: 60870458 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147822 | Audit Session ID: 0a95072a2416e0005ee2e7a8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147822 | Audit Session ID: 0a95072a2416e0005ee2e7a8 | Security Group Tag: none | EasyVPN: 0 ||
Username: ramakg | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.132 | Public IP: 27.62.43.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:03 IST Fri Jun 12 2020 | Duration: 8h:08m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 563792703 | Bytes Rx: 407040845 | IP Addr: 10.149.233.132 | Public IP: 27.62.43.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:03 IST Fri Jun 12 2020 | Duration: 8h:08m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 563792703 | Bytes Rx: 407040845 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147824 | Audit Session ID: 0a95072a241700005ee2e8ab | Security Group Tag: none | EasyVPN: 0 |Session ID: 147824 | Audit Session ID: 0a95072a241700005ee2e8ab | Security Group Tag: none | EasyVPN: 0 ||
