sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.67 | Public IP: 27.5.166.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:57:36 IST Sat Jun 13 2020 | Duration: 17h:06m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 267505020 | Bytes Rx: 215848909 | IP Addr: 10.149.233.67 | Public IP: 27.5.166.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:57:36 IST Sat Jun 13 2020 | Duration: 17h:06m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 267505020 | Bytes Rx: 215848909 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150604 | Audit Session ID: 0a95072a24c4c0005ee4b828 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150604 | Audit Session ID: 0a95072a24c4c0005ee4b828 | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.150 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:27:00 IST Sat Jun 13 2020 | Duration: 11h:37m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1556198469 | Bytes Rx: 249083936 | IP Addr: 10.149.233.150 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:27:00 IST Sat Jun 13 2020 | Duration: 11h:37m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1556198469 | Bytes Rx: 249083936 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150813 | Audit Session ID: 0a95072a24d1d0005ee5055c | Security Group Tag: none | EasyVPN: 0 |Session ID: 150813 | Audit Session ID: 0a95072a24d1d0005ee5055c | Security Group Tag: none | EasyVPN: 0 ||
Username: nkumaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.58 | Public IP: 157.46.16.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:40 IST Sun Jun 14 2020 | Duration: 4h:01m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 207381852 | Bytes Rx: 56375072 | IP Addr: 10.149.232.58 | Public IP: 157.46.16.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:40 IST Sun Jun 14 2020 | Duration: 4h:01m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 207381852 | Bytes Rx: 56375072 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150870 | Audit Session ID: 0a95072a24d560005ee57028 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150870 | Audit Session ID: 0a95072a24d560005ee57028 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrajakum | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.129 | Public IP: 157.50.168.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:07 IST Sun Jun 14 2020 | Duration: 3h:14m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 973860419 | Bytes Rx: 81603419 | IP Addr: 10.149.233.129 | Public IP: 157.50.168.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:07 IST Sun Jun 14 2020 | Duration: 3h:14m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 973860419 | Bytes Rx: 81603419 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150875 | Audit Session ID: 0a95072a24d5b0005ee57b47 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150875 | Audit Session ID: 0a95072a24d5b0005ee57b47 | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.132 | Public IP: 49.35.223.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:08 IST Sun Jun 14 2020 | Duration: 3h:12m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 112277313 | Bytes Rx: 37400001 | IP Addr: 10.149.233.132 | Public IP: 49.35.223.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:08 IST Sun Jun 14 2020 | Duration: 3h:12m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 112277313 | Bytes Rx: 37400001 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150876 | Audit Session ID: 0a95072a24d5c0005ee57bc0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150876 | Audit Session ID: 0a95072a24d5c0005ee57bc0 | Security Group Tag: none | EasyVPN: 0 ||
Username: vbandi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.135 | Public IP: 106.76.21.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:34 IST Sun Jun 14 2020 | Duration: 3h:08m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 132312101 | Bytes Rx: 28818109 | IP Addr: 10.149.233.135 | Public IP: 106.76.21.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:34 IST Sun Jun 14 2020 | Duration: 3h:08m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 132312101 | Bytes Rx: 28818109 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150880 | Audit Session ID: 0a95072a24d600005ee57c8e | Security Group Tag: none | EasyVPN: 0 |Session ID: 150880 | Audit Session ID: 0a95072a24d600005ee57c8e | Security Group Tag: none | EasyVPN: 0 ||
Username: SHASHETH | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.136 | Public IP: 103.252.5.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:43 IST Sun Jun 14 2020 | Duration: 3h:08m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 363691795 | Bytes Rx: 116445934 | IP Addr: 10.149.233.136 | Public IP: 103.252.5.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:43 IST Sun Jun 14 2020 | Duration: 3h:08m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 363691795 | Bytes Rx: 116445934 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150881 | Audit Session ID: 0a95072a24d610005ee57c97 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150881 | Audit Session ID: 0a95072a24d610005ee57c97 | Security Group Tag: none | EasyVPN: 0 ||
Username: svaithiy | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC8 | IP Addr: 10.149.248.104 | Public IP: 157.50.11.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:47 IST Sun Jun 14 2020 | Duration: 3h:08m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 179285672 | Bytes Rx: 93946151 | IP Addr: 10.149.248.104 | Public IP: 157.50.11.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:47 IST Sun Jun 14 2020 | Duration: 3h:08m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 179285672 | Bytes Rx: 93946151 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150882 | Audit Session ID: 0a95072a24d620005ee57c9b | Security Group Tag: none | EasyVPN: 0 |Session ID: 150882 | Audit Session ID: 0a95072a24d620005ee57c9b | Security Group Tag: none | EasyVPN: 0 ||
Username: brijpate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.137 | Public IP: 103.110.253.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:12 IST Sun Jun 14 2020 | Duration: 3h:08m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 121352805 | Bytes Rx: 77604489 | IP Addr: 10.149.233.137 | Public IP: 103.110.253.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:12 IST Sun Jun 14 2020 | Duration: 3h:08m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 121352805 | Bytes Rx: 77604489 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150883 | Audit Session ID: 0a95072a24d630005ee57cb4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150883 | Audit Session ID: 0a95072a24d630005ee57cb4 | Security Group Tag: none | EasyVPN: 0 ||
Username: SarRajen | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.138 | Public IP: 157.50.180.150 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:22 IST Sun Jun 14 2020 | Duration: 3h:08m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 153035972 | Bytes Rx: 30607017 | IP Addr: 10.149.233.138 | Public IP: 157.50.180.150 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:22 IST Sun Jun 14 2020 | Duration: 3h:08m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 153035972 | Bytes Rx: 30607017 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150884 | Audit Session ID: 0a95072a24d640005ee57cbe | Security Group Tag: none | EasyVPN: 0 |Session ID: 150884 | Audit Session ID: 0a95072a24d640005ee57cbe | Security Group Tag: none | EasyVPN: 0 ||
Username: chayan.saha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.139 | Public IP: 171.76.132.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:58 IST Sun Jun 14 2020 | Duration: 3h:07m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 238927638 | Bytes Rx: 73593515 | IP Addr: 10.149.233.139 | Public IP: 171.76.132.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:58 IST Sun Jun 14 2020 | Duration: 3h:07m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 238927638 | Bytes Rx: 73593515 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150885 | Audit Session ID: 0a95072a24d650005ee57ce2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150885 | Audit Session ID: 0a95072a24d650005ee57ce2 | Security Group Tag: none | EasyVPN: 0 ||
