sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.69 | Public IP: 182.57.220.219 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:45 IST Tue Jun 9 2020 | Duration: 4d 14h:55m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 6032306691 | Bytes Rx: 1668182671 | IP Addr: 10.150.236.69 | Public IP: 182.57.220.219 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:45 IST Tue Jun 9 2020 | Duration: 4d 14h:55m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 6032306691 | Bytes Rx: 1668182671 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7105 | Audit Session ID: 0a96cf6901bc10005edf90e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7105 | Audit Session ID: 0a96cf6901bc10005edf90e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: nisinha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.237 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:42:19 IST Thu Jun 11 2020 | Duration: 2d 21h:22m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1878072410 | Bytes Rx: 689126332 | IP Addr: 10.150.237.237 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:42:19 IST Thu Jun 11 2020 | Duration: 2d 21h:22m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1878072410 | Bytes Rx: 689126332 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 12642 | Audit Session ID: 0a96cf69031620005ee1d953 | Security Group Tag: none | EasyVPN: 0 |Session ID: 12642 | Audit Session ID: 0a96cf69031620005ee1d953 | Security Group Tag: none | EasyVPN: 0 ||
Username: Neerajkg | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.199 | Public IP: 122.170.142.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:29:54 IST Thu Jun 11 2020 | Duration: 2d 19h:34m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 3958304502 | Bytes Rx: 1107989429 | IP Addr: 10.150.244.199 | Public IP: 122.170.142.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:29:54 IST Thu Jun 11 2020 | Duration: 2d 19h:34m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 3958304502 | Bytes Rx: 1107989429 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13085 | Audit Session ID: 0a96cf690331d0005ee1f28a | Security Group Tag: none | EasyVPN: 0 |Session ID: 13085 | Audit Session ID: 0a96cf690331d0005ee1f28a | Security Group Tag: none | EasyVPN: 0 ||
Username: pphalle | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC15 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:24:03 IST Thu Jun 11 2020 | Duration: 2d 15h:40m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 14195664370 | Bytes Rx: 1225042998 | IP Addr: 10.150.245.240 | Public IP: 103.251.211.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:24:03 IST Thu Jun 11 2020 | Duration: 2d 15h:40m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 14195664370 | Bytes Rx: 1225042998 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13879 | Audit Session ID: 0a96cf69036370005ee2296b | Security Group Tag: none | EasyVPN: 0 |Session ID: 13879 | Audit Session ID: 0a96cf69036370005ee2296b | Security Group Tag: none | EasyVPN: 0 ||
Username: nitarya | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.115 | Public IP: 103.248.173.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:48:19 IST Sat Jun 13 2020 | Duration: 18h:16m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 80826618 | Bytes Rx: 30727982 | IP Addr: 10.150.236.115 | Public IP: 103.248.173.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:48:19 IST Sat Jun 13 2020 | Duration: 18h:16m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 80826618 | Bytes Rx: 30727982 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 19764 | Audit Session ID: 0a96cf6904d340005ee4a7eb | Security Group Tag: none | EasyVPN: 0 |Session ID: 19764 | Audit Session ID: 0a96cf6904d340005ee4a7eb | Security Group Tag: none | EasyVPN: 0 ||
Username: anupbhag | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.126 | Public IP: 103.120.251.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:57:38 IST Sat Jun 13 2020 | Duration: 14h:06m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 218678519 | Bytes Rx: 117051635 | IP Addr: 10.150.236.126 | Public IP: 103.120.251.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:57:38 IST Sat Jun 13 2020 | Duration: 14h:06m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 218678519 | Bytes Rx: 117051635 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20229 | Audit Session ID: 0a96cf6904f050005ee4e25a | Security Group Tag: none | EasyVPN: 0 |Session ID: 20229 | Audit Session ID: 0a96cf6904f050005ee4e25a | Security Group Tag: none | EasyVPN: 0 ||
Username: kishoreb | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC16 | IP Addr: 10.150.245.25 | Public IP: 49.207.195.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:21:25 IST Sun Jun 14 2020 | Duration: 6h:42m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 92926911 | Bytes Rx: 1339382791 | IP Addr: 10.150.245.25 | Public IP: 49.207.195.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:21:25 IST Sun Jun 14 2020 | Duration: 6h:42m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 92926911 | Bytes Rx: 1339382791 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20750 | Audit Session ID: 0a96cf690510e0005ee54a5d | Security Group Tag: none | EasyVPN: 0 |Session ID: 20750 | Audit Session ID: 0a96cf690510e0005ee54a5d | Security Group Tag: none | EasyVPN: 0 ||
Username: PRIKHADE | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.196 | Public IP: 49.35.84.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:10:11 IST Sun Jun 14 2020 | Duration: 4h:54m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 394596769 | Bytes Rx: 73557796 | IP Addr: 10.150.237.196 | Public IP: 49.35.84.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:10:11 IST Sun Jun 14 2020 | Duration: 4h:54m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 394596769 | Bytes Rx: 73557796 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20811 | Audit Session ID: 0a96cf690514b0005ee563db | Security Group Tag: none | EasyVPN: 0 |Session ID: 20811 | Audit Session ID: 0a96cf690514b0005ee563db | Security Group Tag: none | EasyVPN: 0 ||
Username: kavyjosh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.146 | Public IP: 49.36.53.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:43 IST Sun Jun 14 2020 | Duration: 3h:27m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 627941901 | Bytes Rx: 174222078 | IP Addr: 10.150.236.146 | Public IP: 49.36.53.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:43 IST Sun Jun 14 2020 | Duration: 3h:27m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 627941901 | Bytes Rx: 174222078 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20861 | Audit Session ID: 0a96cf690517d0005ee57823 | Security Group Tag: none | EasyVPN: 0 |Session ID: 20861 | Audit Session ID: 0a96cf690517d0005ee57823 | Security Group Tag: none | EasyVPN: 0 ||
Username: DiSankhe | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC71 | IP Addr: 10.150.245.49 | Public IP: 150.107.20.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:39 IST Sun Jun 14 2020 | Duration: 3h:26m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 114542578 | Bytes Rx: 22058493 | IP Addr: 10.150.245.49 | Public IP: 150.107.20.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:39 IST Sun Jun 14 2020 | Duration: 3h:26m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 114542578 | Bytes Rx: 22058493 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20862 | Audit Session ID: 0a96cf690517e0005ee5785b | Security Group Tag: none | EasyVPN: 0 |Session ID: 20862 | Audit Session ID: 0a96cf690517e0005ee5785b | Security Group Tag: none | EasyVPN: 0 ||
Username: albhorne | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC8 | IP Addr: 10.150.245.247 | Public IP: 120.138.124.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:22 IST Sun Jun 14 2020 | Duration: 3h:21m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 99313430 | Bytes Rx: 15078778 | IP Addr: 10.150.245.247 | Public IP: 120.138.124.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:22 IST Sun Jun 14 2020 | Duration: 3h:21m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 99313430 | Bytes Rx: 15078778 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20865 | Audit Session ID: 0a96cf69051810005ee579b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 20865 | Audit Session ID: 0a96cf69051810005ee579b2 | Security Group Tag: none | EasyVPN: 0 ||
