sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.67 | Public IP: 27.5.169.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:57:36 IST Sat Jun 13 2020 | Duration: 1d 1h:07m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 434139905 | Bytes Rx: 323614673 | IP Addr: 10.149.233.67 | Public IP: 27.5.169.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:57:36 IST Sat Jun 13 2020 | Duration: 1d 1h:07m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 434139905 | Bytes Rx: 323614673 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150604 | Audit Session ID: 0a95072a24c4c0005ee4b828 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150604 | Audit Session ID: 0a95072a24c4c0005ee4b828 | Security Group Tag: none | EasyVPN: 0 ||
Username: SarRajen | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.138 | Public IP: 157.50.180.150 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:22 IST Sun Jun 14 2020 | Duration: 11h:08m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 277454543 | Bytes Rx: 93757155 | IP Addr: 10.149.233.138 | Public IP: 157.50.180.150 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:22 IST Sun Jun 14 2020 | Duration: 11h:08m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 277454543 | Bytes Rx: 93757155 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150884 | Audit Session ID: 0a95072a24d640005ee57cbe | Security Group Tag: none | EasyVPN: 0 |Session ID: 150884 | Audit Session ID: 0a95072a24d640005ee57cbe | Security Group Tag: none | EasyVPN: 0 ||
Username: durai.raj | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.173 | Public IP: 157.50.57.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:41 IST Sun Jun 14 2020 | Duration: 9h:39m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 194916825 | Bytes Rx: 117821127 | IP Addr: 10.149.233.173 | Public IP: 157.50.57.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:41 IST Sun Jun 14 2020 | Duration: 9h:39m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 194916825 | Bytes Rx: 117821127 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150916 | Audit Session ID: 0a95072a24d840005ee59171 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150916 | Audit Session ID: 0a95072a24d840005ee59171 | Security Group Tag: none | EasyVPN: 0 ||
Username: suppu | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.170 | Public IP: 112.79.89.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:29:58 IST Sun Jun 14 2020 | Duration: 9h:34m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 766282009 | Bytes Rx: 255007071 | IP Addr: 10.149.233.170 | Public IP: 112.79.89.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:29:58 IST Sun Jun 14 2020 | Duration: 9h:34m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 766282009 | Bytes Rx: 255007071 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150926 | Audit Session ID: 0a95072a24d8e0005ee592ae | Security Group Tag: none | EasyVPN: 0 |Session ID: 150926 | Audit Session ID: 0a95072a24d8e0005ee592ae | Security Group Tag: none | EasyVPN: 0 ||
Username: vasukris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.165 | Public IP: 49.37.192.109 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:58:25 IST Sun Jun 14 2020 | Duration: 9h:06m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 412669097 | Bytes Rx: 62572415 | IP Addr: 10.149.233.165 | Public IP: 49.37.192.109 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:58:25 IST Sun Jun 14 2020 | Duration: 9h:06m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 412669097 | Bytes Rx: 62572415 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150936 | Audit Session ID: 0a95072a24d980005ee59959 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150936 | Audit Session ID: 0a95072a24d980005ee59959 | Security Group Tag: none | EasyVPN: 0 ||
Username: gudeanka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.120 | Public IP: 27.59.170.73 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:41:04 IST Sun Jun 14 2020 | Duration: 8h:23m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 124105641 | Bytes Rx: 62772562 | IP Addr: 10.149.233.120 | Public IP: 27.59.170.73 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:41:04 IST Sun Jun 14 2020 | Duration: 8h:23m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 124105641 | Bytes Rx: 62772562 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150947 | Audit Session ID: 0a95072a24da30005ee5a358 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150947 | Audit Session ID: 0a95072a24da30005ee5a358 | Security Group Tag: none | EasyVPN: 0 ||
Username: tejdeshm | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.122 | Public IP: 103.110.255.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:42:28 IST Sun Jun 14 2020 | Duration: 8h:22m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 197619465 | Bytes Rx: 143474108 | IP Addr: 10.149.233.122 | Public IP: 103.110.255.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:42:28 IST Sun Jun 14 2020 | Duration: 8h:22m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 197619465 | Bytes Rx: 143474108 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150950 | Audit Session ID: 0a95072a24da60005ee5a3ac | Security Group Tag: none | EasyVPN: 0 |Session ID: 150950 | Audit Session ID: 0a95072a24da60005ee5a3ac | Security Group Tag: none | EasyVPN: 0 ||
Username: TGanguly | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.131 | Public IP: 106.211.156.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:49 IST Sun Jun 14 2020 | Duration: 8h:13m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 282759131 | Bytes Rx: 142872750 | IP Addr: 10.149.233.131 | Public IP: 106.211.156.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:49 IST Sun Jun 14 2020 | Duration: 8h:13m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 282759131 | Bytes Rx: 142872750 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150964 | Audit Session ID: 0a95072a24db40005ee5a5a1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150964 | Audit Session ID: 0a95072a24db40005ee5a5a1 | Security Group Tag: none | EasyVPN: 0 ||
Username: RoSakpal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.152 | Public IP: 157.33.175.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:12 IST Sun Jun 14 2020 | Duration: 8h:10m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 301118368 | Bytes Rx: 110622690 | IP Addr: 10.149.233.152 | Public IP: 157.33.175.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:12 IST Sun Jun 14 2020 | Duration: 8h:10m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 301118368 | Bytes Rx: 110622690 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150967 | Audit Session ID: 0a95072a24db70005ee5a66c | Security Group Tag: none | EasyVPN: 0 |Session ID: 150967 | Audit Session ID: 0a95072a24db70005ee5a66c | Security Group Tag: none | EasyVPN: 0 ||
Username: salsonaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.116 | Public IP: 45.127.45.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:33:35 IST Sun Jun 14 2020 | Duration: 7h:31m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 703470076 | Bytes Rx: 251452129 | IP Addr: 10.149.233.116 | Public IP: 45.127.45.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:33:35 IST Sun Jun 14 2020 | Duration: 7h:31m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 703470076 | Bytes Rx: 251452129 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150981 | Audit Session ID: 0a95072a24dc50005ee5afa7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150981 | Audit Session ID: 0a95072a24dc50005ee5afa7 | Security Group Tag: none | EasyVPN: 0 ||
Username: gvadivel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.117 | Public IP: 157.46.1.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:34:20 IST Sun Jun 14 2020 | Duration: 7h:30m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 95349060 | Bytes Rx: 39866774 | IP Addr: 10.149.233.117 | Public IP: 157.46.1.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:34:20 IST Sun Jun 14 2020 | Duration: 7h:30m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 95349060 | Bytes Rx: 39866774 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150983 | Audit Session ID: 0a95072a24dc70005ee5afd4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150983 | Audit Session ID: 0a95072a24dc70005ee5afd4 | Security Group Tag: none | EasyVPN: 0 ||
Username: sumukher | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.119 | Public IP: 42.106.197.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:34:59 IST Sun Jun 14 2020 | Duration: 7h:29m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 224642911 | Bytes Rx: 56309364 | IP Addr: 10.149.233.119 | Public IP: 42.106.197.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:34:59 IST Sun Jun 14 2020 | Duration: 7h:29m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 224642911 | Bytes Rx: 56309364 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150984 | Audit Session ID: 0a95072a24dc80005ee5affb | Security Group Tag: none | EasyVPN: 0 |Session ID: 150984 | Audit Session ID: 0a95072a24dc80005ee5affb | Security Group Tag: none | EasyVPN: 0 ||
Username: ajini.paul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.167 | Public IP: 157.46.216.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:03 IST Sun Jun 14 2020 | Duration: 7h:06m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 100726672 | Bytes Rx: 57692533 | IP Addr: 10.149.233.167 | Public IP: 157.46.216.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:03 IST Sun Jun 14 2020 | Duration: 7h:06m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 100726672 | Bytes Rx: 57692533 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151001 | Audit Session ID: 0a95072a24dd90005ee5b563 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151001 | Audit Session ID: 0a95072a24dd90005ee5b563 | Security Group Tag: none | EasyVPN: 0 ||
Username: rohitbp | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.172 | Public IP: 103.51.153.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:25:17 IST Sun Jun 14 2020 | Duration: 6h:39m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 152456719 | Bytes Rx: 165620226 | IP Addr: 10.149.233.172 | Public IP: 103.51.153.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:25:17 IST Sun Jun 14 2020 | Duration: 6h:39m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 152456719 | Bytes Rx: 165620226 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151020 | Audit Session ID: 0a95072a24dec0005ee5bbc5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151020 | Audit Session ID: 0a95072a24dec0005ee5bbc5 | Security Group Tag: none | EasyVPN: 0 ||
Username: SoumeeR | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.176 | Public IP: 182.76.215.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:26:16 IST Sun Jun 14 2020 | Duration: 6h:38m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 125727862 | Bytes Rx: 183036144 | IP Addr: 10.149.233.176 | Public IP: 182.76.215.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:26:16 IST Sun Jun 14 2020 | Duration: 6h:38m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 125727862 | Bytes Rx: 183036144 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151022 | Audit Session ID: 0a95072a24dee0005ee5bc00 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151022 | Audit Session ID: 0a95072a24dee0005ee5bc00 | Security Group Tag: none | EasyVPN: 0 ||
Username: Jsheeba | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.181 | Public IP: 157.50.149.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:42 IST Sun Jun 14 2020 | Duration: 6h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 260923415 | Bytes Rx: 68900309 | IP Addr: 10.149.233.181 | Public IP: 157.50.149.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:42 IST Sun Jun 14 2020 | Duration: 6h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 260923415 | Bytes Rx: 68900309 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151028 | Audit Session ID: 0a95072a24df40005ee5bcce | Security Group Tag: none | EasyVPN: 0 |Session ID: 151028 | Audit Session ID: 0a95072a24df40005ee5bcce | Security Group Tag: none | EasyVPN: 0 ||
Username: shivakrs | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.187 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:32:36 IST Sun Jun 14 2020 | Duration: 6h:32m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 2659226246 | Bytes Rx: 151988244 | IP Addr: 10.149.233.187 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:32:36 IST Sun Jun 14 2020 | Duration: 6h:32m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 2659226246 | Bytes Rx: 151988244 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151035 | Audit Session ID: 0a95072a24dfb0005ee5bd7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 151035 | Audit Session ID: 0a95072a24dfb0005ee5bd7c | Security Group Tag: none | EasyVPN: 0 ||
