sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: JinsonA | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.2 | Public IP: 122.169.79.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:05:54 IST Sun Jun 14 2020 | Duration: 12h:54m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 277150589 | Bytes Rx: 145720250 | IP Addr: 10.149.232.2 | Public IP: 122.169.79.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:05:54 IST Sun Jun 14 2020 | Duration: 12h:54m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 277150589 | Bytes Rx: 145720250 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151394 | Audit Session ID: 0a95072a24f620005ee643da | Security Group Tag: none | EasyVPN: 0 |Session ID: 151394 | Audit Session ID: 0a95072a24f620005ee643da | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.163 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:09:48 IST Sun Jun 14 2020 | Duration: 10h:50m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 817770946 | Bytes Rx: 288586588 | IP Addr: 10.149.233.163 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:09:48 IST Sun Jun 14 2020 | Duration: 10h:50m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 817770946 | Bytes Rx: 288586588 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151471 | Audit Session ID: 0a95072a24faf0005ee660e4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151471 | Audit Session ID: 0a95072a24faf0005ee660e4 | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.207 | Public IP: 124.123.166.78 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:46:24 IST Mon Jun 15 2020 | Duration: 4h:13m:57s | Inactivity:  0h:02m:30s | Bytes Tx: 237896066 | Bytes Rx: 149092338 | IP Addr: 10.149.233.207 | Public IP: 124.123.166.78 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:46:24 IST Mon Jun 15 2020 | Duration: 4h:13m:57s | Inactivity:  0h:02m:30s | Bytes Tx: 237896066 | Bytes Rx: 149092338 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151489 | Audit Session ID: 0a95072a24fc10005ee6bdd8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151489 | Audit Session ID: 0a95072a24fc10005ee6bdd8 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunShel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.179 | Public IP: 157.47.31.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:10 IST Mon Jun 15 2020 | Duration: 3h:19m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 350856182 | Bytes Rx: 69180989 | IP Addr: 10.149.233.179 | Public IP: 157.47.31.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:10 IST Mon Jun 15 2020 | Duration: 3h:19m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 350856182 | Bytes Rx: 69180989 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151492 | Audit Session ID: 0a95072a24fc40005ee6caae | Security Group Tag: none | EasyVPN: 0 |Session ID: 151492 | Audit Session ID: 0a95072a24fc40005ee6caae | Security Group Tag: none | EasyVPN: 0 ||
Username: MBagwan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.180 | Public IP: 103.195.83.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:24 IST Mon Jun 15 2020 | Duration: 3h:18m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 546187463 | Bytes Rx: 116742912 | IP Addr: 10.149.233.180 | Public IP: 103.195.83.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:24 IST Mon Jun 15 2020 | Duration: 3h:18m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 546187463 | Bytes Rx: 116742912 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151493 | Audit Session ID: 0a95072a24fc50005ee6cabc | Security Group Tag: none | EasyVPN: 0 |Session ID: 151493 | Audit Session ID: 0a95072a24fc50005ee6cabc | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.181 | Public IP: 115.97.0.40 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:13 IST Mon Jun 15 2020 | Duration: 3h:18m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 569652635 | Bytes Rx: 99464688 | IP Addr: 10.149.233.181 | Public IP: 115.97.0.40 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:13 IST Mon Jun 15 2020 | Duration: 3h:18m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 569652635 | Bytes Rx: 99464688 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151494 | Audit Session ID: 0a95072a24fc60005ee6caed | Security Group Tag: none | EasyVPN: 0 |Session ID: 151494 | Audit Session ID: 0a95072a24fc60005ee6caed | Security Group Tag: none | EasyVPN: 0 ||
Username: askamara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.184 | Public IP: 27.5.132.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:06 IST Mon Jun 15 2020 | Duration: 3h:12m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 222705521 | Bytes Rx: 44575482 | IP Addr: 10.149.233.184 | Public IP: 27.5.132.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:06 IST Mon Jun 15 2020 | Duration: 3h:12m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 222705521 | Bytes Rx: 44575482 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151496 | Audit Session ID: 0a95072a24fc80005ee6cc4e | Security Group Tag: none | EasyVPN: 0 |Session ID: 151496 | Audit Session ID: 0a95072a24fc80005ee6cc4e | Security Group Tag: none | EasyVPN: 0 ||
Username: sasif | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.186 | Public IP: 106.220.165.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:22 IST Mon Jun 15 2020 | Duration: 3h:10m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 177405320 | Bytes Rx: 79156541 | IP Addr: 10.149.233.186 | Public IP: 106.220.165.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:22 IST Mon Jun 15 2020 | Duration: 3h:10m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 177405320 | Bytes Rx: 79156541 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151497 | Audit Session ID: 0a95072a24fc90005ee6cc9a | Security Group Tag: none | EasyVPN: 0 |Session ID: 151497 | Audit Session ID: 0a95072a24fc90005ee6cc9a | Security Group Tag: none | EasyVPN: 0 ||
Username: BhagGaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.188 | Public IP: 106.220.174.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:15 IST Mon Jun 15 2020 | Duration: 3h:10m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 85144931 | Bytes Rx: 82249925 | IP Addr: 10.149.233.188 | Public IP: 106.220.174.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:15 IST Mon Jun 15 2020 | Duration: 3h:10m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 85144931 | Bytes Rx: 82249925 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151498 | Audit Session ID: 0a95072a24fca0005ee6cccf | Security Group Tag: none | EasyVPN: 0 |Session ID: 151498 | Audit Session ID: 0a95072a24fca0005ee6cccf | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.189 | Public IP: 157.33.236.77 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:01 IST Mon Jun 15 2020 | Duration: 3h:09m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 122068127 | Bytes Rx: 37621592 | IP Addr: 10.149.233.189 | Public IP: 157.33.236.77 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:01 IST Mon Jun 15 2020 | Duration: 3h:09m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 122068127 | Bytes Rx: 37621592 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151499 | Audit Session ID: 0a95072a24fcb0005ee6ccfd | Security Group Tag: none | EasyVPN: 0 |Session ID: 151499 | Audit Session ID: 0a95072a24fcb0005ee6ccfd | Security Group Tag: none | EasyVPN: 0 ||
Username: SJShinde | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.191 | Public IP: 103.139.242.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:39 IST Mon Jun 15 2020 | Duration: 3h:06m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 608381840 | Bytes Rx: 75922389 | IP Addr: 10.149.233.191 | Public IP: 103.139.242.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:39 IST Mon Jun 15 2020 | Duration: 3h:06m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 608381840 | Bytes Rx: 75922389 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151501 | Audit Session ID: 0a95072a24fcd0005ee6cd9b | Security Group Tag: none | EasyVPN: 0 |Session ID: 151501 | Audit Session ID: 0a95072a24fcd0005ee6cd9b | Security Group Tag: none | EasyVPN: 0 ||
