sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: craghura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.117 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:39 IST Mon Jun 15 2020 | Duration: 1d 5h:05m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 191523571 | Bytes Rx: 61465489 | IP Addr: 10.149.233.117 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:39 IST Mon Jun 15 2020 | Duration: 1d 5h:05m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 191523571 | Bytes Rx: 61465489 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 152229 | Audit Session ID: 0a95072a252a50005ee70d1f | Security Group Tag: none | EasyVPN: 0 |Session ID: 152229 | Audit Session ID: 0a95072a252a50005ee70d1f | Security Group Tag: none | EasyVPN: 0 ||
Username: dharmaur | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.166 | Public IP: 43.231.58.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:15:29 IST Mon Jun 15 2020 | Duration: 19h:14m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1293149538 | Bytes Rx: 354983877 | IP Addr: 10.149.232.166 | Public IP: 43.231.58.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:15:29 IST Mon Jun 15 2020 | Duration: 19h:14m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1293149538 | Bytes Rx: 354983877 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153807 | Audit Session ID: 0a95072a258cf0005ee79799 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153807 | Audit Session ID: 0a95072a258cf0005ee79799 | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.170 | Public IP: 124.123.178.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:06:36 IST Tue Jun 16 2020 | Duration: 10h:23m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 188148427 | Bytes Rx: 164044278 | IP Addr: 10.149.233.170 | Public IP: 124.123.178.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:06:36 IST Tue Jun 16 2020 | Duration: 10h:23m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 188148427 | Bytes Rx: 164044278 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153945 | Audit Session ID: 0a95072a259590005ee81414 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153945 | Audit Session ID: 0a95072a259590005ee81414 | Security Group Tag: none | EasyVPN: 0 ||
Username: ganeshrv | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.239 | Public IP: 171.76.52.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:54 IST Tue Jun 16 2020 | Duration: 9h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 701251594 | Bytes Rx: 508879250 | IP Addr: 10.149.233.239 | Public IP: 171.76.52.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:54 IST Tue Jun 16 2020 | Duration: 9h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 701251594 | Bytes Rx: 508879250 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153949 | Audit Session ID: 0a95072a2595d0005ee81ba6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153949 | Audit Session ID: 0a95072a2595d0005ee81ba6 | Security Group Tag: none | EasyVPN: 0 ||
Username: askamara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.216 | Public IP: 27.5.217.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:08 IST Tue Jun 16 2020 | Duration: 9h:36m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 782821700 | Bytes Rx: 425615111 | IP Addr: 10.149.232.216 | Public IP: 27.5.217.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:08 IST Tue Jun 16 2020 | Duration: 9h:36m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 782821700 | Bytes Rx: 425615111 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153962 | Audit Session ID: 0a95072a2596a0005ee81f38 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153962 | Audit Session ID: 0a95072a2596a0005ee81f38 | Security Group Tag: none | EasyVPN: 0 ||
Username: hemdutta | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.251 | Public IP: 106.200.150.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:29:13 IST Tue Jun 16 2020 | Duration: 9h:01m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 308236533 | Bytes Rx: 244788557 | IP Addr: 10.149.232.251 | Public IP: 106.200.150.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:29:13 IST Tue Jun 16 2020 | Duration: 9h:01m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 308236533 | Bytes Rx: 244788557 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153981 | Audit Session ID: 0a95072a2597d0005ee82771 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153981 | Audit Session ID: 0a95072a2597d0005ee82771 | Security Group Tag: none | EasyVPN: 0 ||
Username: BGanesan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.252 | Public IP: 106.201.133.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:33:40 IST Tue Jun 16 2020 | Duration: 8h:56m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 797488127 | Bytes Rx: 143674808 | IP Addr: 10.149.232.252 | Public IP: 106.201.133.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:33:40 IST Tue Jun 16 2020 | Duration: 8h:56m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 797488127 | Bytes Rx: 143674808 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153982 | Audit Session ID: 0a95072a2597e0005ee8287c | Security Group Tag: none | EasyVPN: 0 |Session ID: 153982 | Audit Session ID: 0a95072a2597e0005ee8287c | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 8h:34m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 506358582 | Bytes Rx: 152668125 | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 8h:34m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 506358582 | Bytes Rx: 152668125 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 ||
Username: kirgiri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.10 | Public IP: 182.65.62.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:28 IST Tue Jun 16 2020 | Duration: 8h:29m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 453531784 | Bytes Rx: 208875381 | IP Addr: 10.149.233.10 | Public IP: 182.65.62.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:28 IST Tue Jun 16 2020 | Duration: 8h:29m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 453531784 | Bytes Rx: 208875381 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154002 | Audit Session ID: 0a95072a259920005ee82ec4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 154002 | Audit Session ID: 0a95072a259920005ee82ec4 | Security Group Tag: none | EasyVPN: 0 ||
Username: absamuel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.13 | Public IP: 122.164.139.159 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:30 IST Tue Jun 16 2020 | Duration: 8h:27m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 968367208 | Bytes Rx: 354978635 | IP Addr: 10.149.233.13 | Public IP: 122.164.139.159 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:30 IST Tue Jun 16 2020 | Duration: 8h:27m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 968367208 | Bytes Rx: 354978635 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154005 | Audit Session ID: 0a95072a259950005ee82f3e | Security Group Tag: none | EasyVPN: 0 |Session ID: 154005 | Audit Session ID: 0a95072a259950005ee82f3e | Security Group Tag: none | EasyVPN: 0 ||
Username: Rvinoth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 157.50.149.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:59 IST Tue Jun 16 2020 | Duration: 8h:26m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 470904963 | Bytes Rx: 64386789 | IP Addr: 10.149.233.14 | Public IP: 157.50.149.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:59 IST Tue Jun 16 2020 | Duration: 8h:26m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 470904963 | Bytes Rx: 64386789 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154008 | Audit Session ID: 0a95072a259980005ee82f97 | Security Group Tag: none | EasyVPN: 0 |Session ID: 154008 | Audit Session ID: 0a95072a259980005ee82f97 | Security Group Tag: none | EasyVPN: 0 ||
