sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rupameht | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 5h:50m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2065329786 | Bytes Rx: 635464827 | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 5h:50m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2065329786 | Bytes Rx: 635464827 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.175 | Public IP: 182.57.224.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 1d 1h:57m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 975121656 | Bytes Rx: 386413171 | IP Addr: 10.147.96.175 | Public IP: 182.57.224.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 1d 1h:57m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 975121656 | Bytes Rx: 386413171 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 |Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 23h:50m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 936665341 | Bytes Rx: 157454307 | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 23h:50m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 936665341 | Bytes Rx: 157454307 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: martiner | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.195 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:20 IST Mon Jun 15 2020 | Duration: 19h:24m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 286073483 | Bytes Rx: 133350232 | IP Addr: 10.150.236.195 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:20 IST Mon Jun 15 2020 | Duration: 19h:24m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 286073483 | Bytes Rx: 133350232 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25983 | Audit Session ID: 0a96cf690657f0005ee79574 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25983 | Audit Session ID: 0a96cf690657f0005ee79574 | Security Group Tag: none | EasyVPN: 0 ||
Username: Nrkollam | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.83 | Public IP: 27.59.163.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 10h:03m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1193474717 | Bytes Rx: 137513583 | IP Addr: 10.150.237.83 | Public IP: 27.59.163.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 10h:03m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1193474717 | Bytes Rx: 137513583 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: aguramac | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 10h:00m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1512249630 | Bytes Rx: 883940190 | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 10h:00m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1512249630 | Bytes Rx: 883940190 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 ||
Username: SachJag | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.103 | Public IP: 157.33.254.83 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:43:34 IST Tue Jun 16 2020 | Duration: 9h:46m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1910460637 | Bytes Rx: 497281195 | IP Addr: 10.150.236.103 | Public IP: 157.33.254.83 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:43:34 IST Tue Jun 16 2020 | Duration: 9h:46m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1910460637 | Bytes Rx: 497281195 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26543 | Audit Session ID: 0a96cf69067af0005ee81cbe | Security Group Tag: none | EasyVPN: 0 |Session ID: 26543 | Audit Session ID: 0a96cf69067af0005ee81cbe | Security Group Tag: none | EasyVPN: 0 ||
Username: anamika.ranade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.109 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:24 IST Tue Jun 16 2020 | Duration: 9h:43m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 349235970 | Bytes Rx: 135159859 | IP Addr: 10.150.236.109 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:24 IST Tue Jun 16 2020 | Duration: 9h:43m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 349235970 | Bytes Rx: 135159859 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26549 | Audit Session ID: 0a96cf69067b50005ee81da4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26549 | Audit Session ID: 0a96cf69067b50005ee81da4 | Security Group Tag: none | EasyVPN: 0 ||
Username: vkhavale | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.111 | Public IP: 103.203.62.83 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:48:12 IST Tue Jun 16 2020 | Duration: 9h:42m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 731663901 | Bytes Rx: 252849884 | IP Addr: 10.150.236.111 | Public IP: 103.203.62.83 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:48:12 IST Tue Jun 16 2020 | Duration: 9h:42m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 731663901 | Bytes Rx: 252849884 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26552 | Audit Session ID: 0a96cf69067b80005ee81dd4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26552 | Audit Session ID: 0a96cf69067b80005ee81dd4 | Security Group Tag: none | EasyVPN: 0 ||
Username: HVasoya | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.116 | Public IP: 110.227.198.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:04 IST Tue Jun 16 2020 | Duration: 9h:32m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 516339254 | Bytes Rx: 233581608 | IP Addr: 10.150.236.116 | Public IP: 110.227.198.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:04 IST Tue Jun 16 2020 | Duration: 9h:32m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 516339254 | Bytes Rx: 233581608 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26566 | Audit Session ID: 0a96cf69067c60005ee82024 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26566 | Audit Session ID: 0a96cf69067c60005ee82024 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vinitku | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.195 | Public IP: 42.108.1.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:49 IST Tue Jun 16 2020 | Duration: 9h:30m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 1851001719 | Bytes Rx: 156241958 | IP Addr: 10.150.237.195 | Public IP: 42.108.1.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:49 IST Tue Jun 16 2020 | Duration: 9h:30m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 1851001719 | Bytes Rx: 156241958 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26577 | Audit Session ID: 0a96cf69067d10005ee8208d | Security Group Tag: none | EasyVPN: 0 |Session ID: 26577 | Audit Session ID: 0a96cf69067d10005ee8208d | Security Group Tag: none | EasyVPN: 0 ||
