sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: kvkrishn | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.191 | Public IP: 106.209.178.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 3d 0h:07m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1588793243 | Bytes Rx: 703856923 | IP Addr: 10.149.234.191 | Public IP: 106.209.178.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 3d 0h:07m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1588793243 | Bytes Rx: 703856923 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 2d 23h:59m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 4666085087 | Bytes Rx: 2664624185 | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 2d 23h:59m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 4666085087 | Bytes Rx: 2664624185 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 |Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 ||
Username: ganemuth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.101 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:57 IST Wed Jun 17 2020 | Duration: 1d 6h:49m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 135542958 | Bytes Rx: 215423332 | IP Addr: 10.149.234.101 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:57 IST Wed Jun 17 2020 | Duration: 1d 6h:49m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 135542958 | Bytes Rx: 215423332 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174069 | Audit Session ID: 0a95072b2a7f50005ee93c69 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174069 | Audit Session ID: 0a95072b2a7f50005ee93c69 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.163 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:33:50 IST Wed Jun 17 2020 | Duration: 23h:26m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 871346819 | Bytes Rx: 254523786 | IP Addr: 10.149.234.163 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:33:50 IST Wed Jun 17 2020 | Duration: 23h:26m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 871346819 | Bytes Rx: 254523786 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174617 | Audit Session ID: 0a95072b2aa190005ee9a436 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174617 | Audit Session ID: 0a95072b2aa190005ee9a436 | Security Group Tag: none | EasyVPN: 0 ||
Username: psukesan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.218 | Public IP: 112.133.236.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:19 IST Wed Jun 17 2020 | Duration: 23h:10m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1125183496 | Bytes Rx: 234792237 | IP Addr: 10.149.235.218 | Public IP: 112.133.236.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:19 IST Wed Jun 17 2020 | Duration: 23h:10m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1125183496 | Bytes Rx: 234792237 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174673 | Audit Session ID: 0a95072b2aa510005ee9a813 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174673 | Audit Session ID: 0a95072b2aa510005ee9a813 | Security Group Tag: none | EasyVPN: 0 ||
Username: Babuponn | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.155 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:21:40 IST Wed Jun 17 2020 | Duration: 21h:38m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 27046271927 | Bytes Rx: 1052047064 | IP Addr: 10.149.234.155 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:21:40 IST Wed Jun 17 2020 | Duration: 21h:38m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 27046271927 | Bytes Rx: 1052047064 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174968 | Audit Session ID: 0a95072b2ab780005ee9bd7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 174968 | Audit Session ID: 0a95072b2ab780005ee9bd7c | Security Group Tag: none | EasyVPN: 0 ||
Username: dhykotha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.79 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:29:39 IST Wed Jun 17 2020 | Duration: 13h:30m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 116961912 | Bytes Rx: 61129348 | IP Addr: 10.149.235.79 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:29:39 IST Wed Jun 17 2020 | Duration: 13h:30m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 116961912 | Bytes Rx: 61129348 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 176187 | Audit Session ID: 0a95072b2b03b0005eea2fdb | Security Group Tag: none | EasyVPN: 0 |Session ID: 176187 | Audit Session ID: 0a95072b2b03b0005eea2fdb | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.18 | Public IP: 117.197.189.153 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 22:11:26 IST Wed Jun 17 2020 | Duration: 11h:48m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 4804521637 | Bytes Rx: 4057052774 | IP Addr: 10.149.235.18 | Public IP: 117.197.189.153 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 22:11:26 IST Wed Jun 17 2020 | Duration: 11h:48m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 4804521637 | Bytes Rx: 4057052774 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 176347 | Audit Session ID: 0a95072b2b0db0005eea47b6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 176347 | Audit Session ID: 0a95072b2b0db0005eea47b6 | Security Group Tag: none | EasyVPN: 0 ||
Username: svemu | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.119 | Public IP: 183.83.139.51 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 22:18:57 IST Wed Jun 17 2020 | Duration: 11h:41m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 3668595391 | Bytes Rx: 169812164 | IP Addr: 10.149.235.119 | Public IP: 183.83.139.51 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 22:18:57 IST Wed Jun 17 2020 | Duration: 11h:41m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 3668595391 | Bytes Rx: 169812164 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 176353 | Audit Session ID: 0a95072b2b0e10005eea4979 | Security Group Tag: none | EasyVPN: 0 |Session ID: 176353 | Audit Session ID: 0a95072b2b0e10005eea4979 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksubbiah | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.244 | Public IP: 49.206.125.9 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 00:00:58 IST Thu Jun 18 2020 | Duration: 9h:59m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 112348813 | Bytes Rx: 63089394 | IP Addr: 10.149.235.244 | Public IP: 49.206.125.9 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 00:00:58 IST Thu Jun 18 2020 | Duration: 9h:59m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 112348813 | Bytes Rx: 63089394 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 176432 | Audit Session ID: 0a95072b2b1300005eea6162 | Security Group Tag: none | EasyVPN: 0 |Session ID: 176432 | Audit Session ID: 0a95072b2b1300005eea6162 | Security Group Tag: none | EasyVPN: 0 ||
Username: LeziaR | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.247 | Public IP: 122.164.90.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:35:43 IST Thu Jun 18 2020 | Duration: 7h:24m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 63785007 | Bytes Rx: 23841235 | IP Addr: 10.149.235.247 | Public IP: 122.164.90.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:35:43 IST Thu Jun 18 2020 | Duration: 7h:24m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 63785007 | Bytes Rx: 23841235 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 176481 | Audit Session ID: 0a95072b2b1610005eea85a7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 176481 | Audit Session ID: 0a95072b2b1610005eea85a7 | Security Group Tag: none | EasyVPN: 0 ||
