sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 3d 9h:30m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 51291770289 | Bytes Rx: 2943437570 | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 3d 9h:30m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 51291770289 | Bytes Rx: 2943437570 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 1d 20h:28m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 407131120 | Bytes Rx: 616974265 | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 1d 20h:28m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 407131120 | Bytes Rx: 616974265 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 ||
Username: ADe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 1d 19h:35m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 812407916 | Bytes Rx: 815476960 | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 1d 19h:35m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 812407916 | Bytes Rx: 815476960 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: ayshanka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.200 | Public IP: 203.81.240.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:39 IST Fri Jun 19 2020 | Duration: 21h:10m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 263443054 | Bytes Rx: 130995290 | IP Addr: 10.149.232.200 | Public IP: 203.81.240.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:39 IST Fri Jun 19 2020 | Duration: 21h:10m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 263443054 | Bytes Rx: 130995290 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 161002 | Audit Session ID: 0a95072a274ea0005eec3cdb | Security Group Tag: none | EasyVPN: 0 |Session ID: 161002 | Audit Session ID: 0a95072a274ea0005eec3cdb | Security Group Tag: none | EasyVPN: 0 ||
Username: sathkuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.240.37 | Public IP: 49.37.198.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:25 IST Fri Jun 19 2020 | Duration: 15h:53m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1024680867 | Bytes Rx: 1176576928 | IP Addr: 10.149.240.37 | Public IP: 49.37.198.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:25 IST Fri Jun 19 2020 | Duration: 15h:53m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1024680867 | Bytes Rx: 1176576928 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162277 | Audit Session ID: 0a95072a279e50005eec8719 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162277 | Audit Session ID: 0a95072a279e50005eec8719 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajac | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.102 | Public IP: 182.65.202.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:15:03 IST Fri Jun 19 2020 | Duration: 11h:45m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1175276784 | Bytes Rx: 257782595 | IP Addr: 10.149.232.102 | Public IP: 182.65.202.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:15:03 IST Fri Jun 19 2020 | Duration: 11h:45m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1175276784 | Bytes Rx: 257782595 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162726 | Audit Session ID: 0a95072a27ba60005eecc15f | Security Group Tag: none | EasyVPN: 0 |Session ID: 162726 | Audit Session ID: 0a95072a27ba60005eecc15f | Security Group Tag: none | EasyVPN: 0 ||
Username: suresman | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.140 | Public IP: 157.50.134.69 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 19:47:59 IST Fri Jun 19 2020 | Duration: 11h:12m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1390233123 | Bytes Rx: 430246366 | IP Addr: 10.149.232.140 | Public IP: 157.50.134.69 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 19:47:59 IST Fri Jun 19 2020 | Duration: 11h:12m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1390233123 | Bytes Rx: 430246366 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162779 | Audit Session ID: 0a95072a27bdb0005eecc917 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162779 | Audit Session ID: 0a95072a27bdb0005eecc917 | Security Group Tag: none | EasyVPN: 0 ||
Username: SUddansi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.101 | Public IP: 106.193.251.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:58 IST Fri Jun 19 2020 | Duration: 10h:11m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 441143678 | Bytes Rx: 132835051 | IP Addr: 10.149.233.101 | Public IP: 106.193.251.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:58 IST Fri Jun 19 2020 | Duration: 10h:11m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 441143678 | Bytes Rx: 132835051 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162827 | Audit Session ID: 0a95072a27c0b0005eecd762 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162827 | Audit Session ID: 0a95072a27c0b0005eecd762 | Security Group Tag: none | EasyVPN: 0 ||
Username: SuryTrip | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.198 | Public IP: 106.210.133.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:52:54 IST Fri Jun 19 2020 | Duration: 10h:07m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 738099575 | Bytes Rx: 218485766 | IP Addr: 10.149.232.198 | Public IP: 106.210.133.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:52:54 IST Fri Jun 19 2020 | Duration: 10h:07m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 738099575 | Bytes Rx: 218485766 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162836 | Audit Session ID: 0a95072a27c140005eecd84e | Security Group Tag: none | EasyVPN: 0 |Session ID: 162836 | Audit Session ID: 0a95072a27c140005eecd84e | Security Group Tag: none | EasyVPN: 0 ||
Username: kachandr | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.156 | Public IP: 42.106.177.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:32 IST Fri Jun 19 2020 | Duration: 9h:47m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 3592331686 | Bytes Rx: 277299568 | IP Addr: 10.149.232.156 | Public IP: 42.106.177.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:32 IST Fri Jun 19 2020 | Duration: 9h:47m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 3592331686 | Bytes Rx: 277299568 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162861 | Audit Session ID: 0a95072a27c2d0005eecdce8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162861 | Audit Session ID: 0a95072a27c2d0005eecdce8 | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.205 | Public IP: 124.123.162.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:43 IST Fri Jun 19 2020 | Duration: 8h:49m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 441596007 | Bytes Rx: 85426241 | IP Addr: 10.149.232.205 | Public IP: 124.123.162.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:43 IST Fri Jun 19 2020 | Duration: 8h:49m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 441596007 | Bytes Rx: 85426241 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162923 | Audit Session ID: 0a95072a27c6b0005eecea8b | Security Group Tag: none | EasyVPN: 0 |Session ID: 162923 | Audit Session ID: 0a95072a27c6b0005eecea8b | Security Group Tag: none | EasyVPN: 0 ||
