sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdarpall | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 1d 16h:37m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 818616067 | Bytes Rx: 377160506 | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 1d 16h:37m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 818616067 | Bytes Rx: 377160506 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 |Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 1d 13h:35m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 2398844007 | Bytes Rx: 1362603958 | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 1d 13h:35m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 2398844007 | Bytes Rx: 1362603958 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 1d 10h:53m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 306173532 | Bytes Rx: 490856360 | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 1d 10h:53m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 306173532 | Bytes Rx: 490856360 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.80 | Public IP: 103.85.11.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:09:42 IST Thu Jun 18 2020 | Duration: 1d 9h:50m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 708027978 | Bytes Rx: 161540920 | IP Addr: 10.150.236.80 | Public IP: 103.85.11.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:09:42 IST Thu Jun 18 2020 | Duration: 1d 9h:50m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 708027978 | Bytes Rx: 161540920 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37247 | Audit Session ID: 0a96cf690917f0005eeb8abe | Security Group Tag: none | EasyVPN: 0 |Session ID: 37247 | Audit Session ID: 0a96cf690917f0005eeb8abe | Security Group Tag: none | EasyVPN: 0 ||
Username: SamruSal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.115 | Public IP: 103.110.253.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:51:10 IST Fri Jun 19 2020 | Duration: 16h:09m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 520316020 | Bytes Rx: 445864664 | IP Addr: 10.150.244.115 | Public IP: 103.110.253.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:51:10 IST Fri Jun 19 2020 | Duration: 16h:09m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 520316020 | Bytes Rx: 445864664 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 39772 | Audit Session ID: 0a96cf6909b5c0005eec8386 | Security Group Tag: none | EasyVPN: 0 |Session ID: 39772 | Audit Session ID: 0a96cf6909b5c0005eec8386 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.227 | Public IP: 182.68.127.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 15h:54m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 84463748 | Bytes Rx: 46581538 | IP Addr: 10.147.96.227 | Public IP: 182.68.127.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 15h:54m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 84463748 | Bytes Rx: 46581538 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 |Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.155 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:12:17 IST Fri Jun 19 2020 | Duration: 14h:47m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 260814716 | Bytes Rx: 123589618 | IP Addr: 10.150.237.155 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:12:17 IST Fri Jun 19 2020 | Duration: 14h:47m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 260814716 | Bytes Rx: 123589618 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40074 | Audit Session ID: 0a96cf6909c8a0005eec9689 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40074 | Audit Session ID: 0a96cf6909c8a0005eec9689 | Security Group Tag: none | EasyVPN: 0 ||
Username: nisinha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.246 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:32:55 IST Fri Jun 19 2020 | Duration: 12h:27m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 223153493 | Bytes Rx: 70050754 | IP Addr: 10.150.237.246 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:32:55 IST Fri Jun 19 2020 | Duration: 12h:27m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 223153493 | Bytes Rx: 70050754 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40553 | Audit Session ID: 0a96cf6909e690005eecb77f | Security Group Tag: none | EasyVPN: 0 |Session ID: 40553 | Audit Session ID: 0a96cf6909e690005eecb77f | Security Group Tag: none | EasyVPN: 0 ||
Username: RuchTale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.150 | Public IP: 42.106.198.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:15:48 IST Fri Jun 19 2020 | Duration: 10h:44m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 2205760365 | Bytes Rx: 205265897 | IP Addr: 10.150.237.150 | Public IP: 42.106.198.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:15:48 IST Fri Jun 19 2020 | Duration: 10h:44m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 2205760365 | Bytes Rx: 205265897 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40775 | Audit Session ID: 0a96cf6909f470005eeccf9c | Security Group Tag: none | EasyVPN: 0 |Session ID: 40775 | Audit Session ID: 0a96cf6909f470005eeccf9c | Security Group Tag: none | EasyVPN: 0 ||
Username: anildond | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.37 | Public IP: 49.35.105.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:26:35 IST Fri Jun 19 2020 | Duration: 10h:33m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 332148422 | Bytes Rx: 161145101 | IP Addr: 10.150.237.37 | Public IP: 49.35.105.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:26:35 IST Fri Jun 19 2020 | Duration: 10h:33m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 332148422 | Bytes Rx: 161145101 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40799 | Audit Session ID: 0a96cf6909f5f0005eecd223 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40799 | Audit Session ID: 0a96cf6909f5f0005eecd223 | Security Group Tag: none | EasyVPN: 0 ||
Username: BNangare | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.146 | Public IP: 183.87.152.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:36:27 IST Fri Jun 19 2020 | Duration: 10h:23m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 762761525 | Bytes Rx: 260266303 | IP Addr: 10.150.237.146 | Public IP: 183.87.152.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:36:27 IST Fri Jun 19 2020 | Duration: 10h:23m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 762761525 | Bytes Rx: 260266303 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40827 | Audit Session ID: 0a96cf6909f7b0005eecd473 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40827 | Audit Session ID: 0a96cf6909f7b0005eecd473 | Security Group Tag: none | EasyVPN: 0 ||
