sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 106.208.24.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 3d 15h:00m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 55926688231 | Bytes Rx: 3159854350 | IP Addr: 10.149.232.154 | Public IP: 106.208.24.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 3d 15h:00m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 55926688231 | Bytes Rx: 3159854350 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 2d 1h:58m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 419784349 | Bytes Rx: 629403758 | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 2d 1h:58m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 419784349 | Bytes Rx: 629403758 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 ||
Username: ADe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 2d 1h:05m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 848859690 | Bytes Rx: 829169459 | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 2d 1h:05m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 848859690 | Bytes Rx: 829169459 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: sathkuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.240.37 | Public IP: 49.37.198.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:25 IST Fri Jun 19 2020 | Duration: 21h:23m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1056936747 | Bytes Rx: 1204741254 | IP Addr: 10.149.240.37 | Public IP: 49.37.198.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:25 IST Fri Jun 19 2020 | Duration: 21h:23m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1056936747 | Bytes Rx: 1204741254 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162277 | Audit Session ID: 0a95072a279e50005eec8719 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162277 | Audit Session ID: 0a95072a279e50005eec8719 | Security Group Tag: none | EasyVPN: 0 ||
Username: kupawan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.15 | Public IP: 123.201.36.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:07:14 IST Sat Jun 20 2020 | Duration: 12h:23m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 309909911 | Bytes Rx: 69685282 | IP Addr: 10.149.233.15 | Public IP: 123.201.36.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:07:14 IST Sat Jun 20 2020 | Duration: 12h:23m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 309909911 | Bytes Rx: 69685282 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163011 | Audit Session ID: 0a95072a27cc30005eed05da | Security Group Tag: none | EasyVPN: 0 |Session ID: 163011 | Audit Session ID: 0a95072a27cc30005eed05da | Security Group Tag: none | EasyVPN: 0 ||
Username: ganeshrv | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.141 | Public IP: 106.201.189.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:38 IST Sat Jun 20 2020 | Duration: 6h:01m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 707480273 | Bytes Rx: 222835825 | IP Addr: 10.149.232.141 | Public IP: 106.201.189.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:38 IST Sat Jun 20 2020 | Duration: 6h:01m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 707480273 | Bytes Rx: 222835825 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163029 | Audit Session ID: 0a95072a27cd50005eed5f3e | Security Group Tag: none | EasyVPN: 0 |Session ID: 163029 | Audit Session ID: 0a95072a27cd50005eed5f3e | Security Group Tag: none | EasyVPN: 0 ||
Username: nikivaid | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.239 | Public IP: 122.169.8.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:34:32 IST Sat Jun 20 2020 | Duration: 4h:55m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 153597926 | Bytes Rx: 59996858 | IP Addr: 10.149.233.239 | Public IP: 122.169.8.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:34:32 IST Sat Jun 20 2020 | Duration: 4h:55m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 153597926 | Bytes Rx: 59996858 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163520 | Audit Session ID: 0a95072a27ec00005eed6eb0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 163520 | Audit Session ID: 0a95072a27ec00005eed6eb0 | Security Group Tag: none | EasyVPN: 0 ||
Username: srinivaa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC5 | IP Addr: 10.149.248.101 | Public IP: 157.50.186.84 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:34:46 IST Sat Jun 20 2020 | Duration: 4h:55m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 638741823 | Bytes Rx: 343372335 | IP Addr: 10.149.248.101 | Public IP: 157.50.186.84 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:34:46 IST Sat Jun 20 2020 | Duration: 4h:55m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 638741823 | Bytes Rx: 343372335 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163523 | Audit Session ID: 0a95072a27ec30005eed6ebe | Security Group Tag: none | EasyVPN: 0 |Session ID: 163523 | Audit Session ID: 0a95072a27ec30005eed6ebe | Security Group Tag: none | EasyVPN: 0 ||
Username: ckhivesa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.200 | Public IP: 117.223.131.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:34 IST Sat Jun 20 2020 | Duration: 4h:37m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 313157955 | Bytes Rx: 97349793 | IP Addr: 10.149.232.200 | Public IP: 117.223.131.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:34 IST Sat Jun 20 2020 | Duration: 4h:37m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 313157955 | Bytes Rx: 97349793 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163531 | Audit Session ID: 0a95072a27ecb0005eed72ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 163531 | Audit Session ID: 0a95072a27ecb0005eed72ea | Security Group Tag: none | EasyVPN: 0 ||
Username: hasrat.jamal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.236 | Public IP: 47.15.10.242 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:57:40 IST Sat Jun 20 2020 | Duration: 4h:32m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 186842830 | Bytes Rx: 36880170 | IP Addr: 10.149.233.236 | Public IP: 47.15.10.242 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:57:40 IST Sat Jun 20 2020 | Duration: 4h:32m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 186842830 | Bytes Rx: 36880170 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163536 | Audit Session ID: 0a95072a27ed00005eed741c | Security Group Tag: none | EasyVPN: 0 |Session ID: 163536 | Audit Session ID: 0a95072a27ed00005eed741c | Security Group Tag: none | EasyVPN: 0 ||
Username: jpingani | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.55 | Public IP: 117.249.169.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:11 IST Sat Jun 20 2020 | Duration: 4h:25m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 119064087 | Bytes Rx: 61991082 | IP Addr: 10.149.233.55 | Public IP: 117.249.169.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:11 IST Sat Jun 20 2020 | Duration: 4h:25m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 119064087 | Bytes Rx: 61991082 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163540 | Audit Session ID: 0a95072a27ed40005eed75df | Security Group Tag: none | EasyVPN: 0 |Session ID: 163540 | Audit Session ID: 0a95072a27ed40005eed75df | Security Group Tag: none | EasyVPN: 0 ||
