sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 2d 13h:07m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 3178518727 | Bytes Rx: 2304451930 | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 2d 13h:07m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 3178518727 | Bytes Rx: 2304451930 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 2d 10h:24m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 722968708 | Bytes Rx: 1564312898 | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 2d 10h:24m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 722968708 | Bytes Rx: 1564312898 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.80 | Public IP: 103.85.11.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:09:42 IST Thu Jun 18 2020 | Duration: 2d 9h:22m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1025081236 | Bytes Rx: 231939354 | IP Addr: 10.150.236.80 | Public IP: 103.85.11.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:09:42 IST Thu Jun 18 2020 | Duration: 2d 9h:22m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1025081236 | Bytes Rx: 231939354 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37247 | Audit Session ID: 0a96cf690917f0005eeb8abe | Security Group Tag: none | EasyVPN: 0 |Session ID: 37247 | Audit Session ID: 0a96cf690917f0005eeb8abe | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.227 | Public IP: 182.68.127.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 1d 15h:25m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 509326008 | Bytes Rx: 193991024 | IP Addr: 10.147.96.227 | Public IP: 182.68.127.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 1d 15h:25m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 509326008 | Bytes Rx: 193991024 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 |Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 ||
Username: nisinha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.246 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:32:55 IST Fri Jun 19 2020 | Duration: 1d 11h:58m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 417537710 | Bytes Rx: 324203086 | IP Addr: 10.150.237.246 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:32:55 IST Fri Jun 19 2020 | Duration: 1d 11h:58m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 417537710 | Bytes Rx: 324203086 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40553 | Audit Session ID: 0a96cf6909e690005eecb77f | Security Group Tag: none | EasyVPN: 0 |Session ID: 40553 | Audit Session ID: 0a96cf6909e690005eecb77f | Security Group Tag: none | EasyVPN: 0 ||
Username: manishma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.253 | Public IP: 103.86.182.9 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:06:50 IST Sat Jun 20 2020 | Duration: 21h:24m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1497933823 | Bytes Rx: 281943051 | IP Addr: 10.150.237.253 | Public IP: 103.86.182.9 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:06:50 IST Sat Jun 20 2020 | Duration: 21h:24m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1497933823 | Bytes Rx: 281943051 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 42855 | Audit Session ID: 0a96cf690a7670005eed8452 | Security Group Tag: none | EasyVPN: 0 |Session ID: 42855 | Audit Session ID: 0a96cf690a7670005eed8452 | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.190 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:03 IST Sat Jun 20 2020 | Duration: 19h:30m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1104978997 | Bytes Rx: 233110798 | IP Addr: 10.150.237.190 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:03 IST Sat Jun 20 2020 | Duration: 19h:30m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1104978997 | Bytes Rx: 233110798 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43196 | Audit Session ID: 0a96cf690a8bc0005eed9f17 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43196 | Audit Session ID: 0a96cf690a8bc0005eed9f17 | Security Group Tag: none | EasyVPN: 0 ||
Username: vdubay | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.228 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:15:23 IST Sat Jun 20 2020 | Duration: 16h:16m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 501508386 | Bytes Rx: 4899563891 | IP Addr: 10.150.237.228 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:15:23 IST Sat Jun 20 2020 | Duration: 16h:16m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 501508386 | Bytes Rx: 4899563891 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43753 | Audit Session ID: 0a96cf690aae90005eedcca3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43753 | Audit Session ID: 0a96cf690aae90005eedcca3 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.44 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:44:33 IST Sat Jun 20 2020 | Duration: 15h:47m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 130580341 | Bytes Rx: 33798536 | IP Addr: 10.150.236.44 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:44:33 IST Sat Jun 20 2020 | Duration: 15h:47m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 130580341 | Bytes Rx: 33798536 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43862 | Audit Session ID: 0a96cf690ab560005eedd379 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43862 | Audit Session ID: 0a96cf690ab560005eedd379 | Security Group Tag: none | EasyVPN: 0 ||
Username: sanjeev.wagh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.29 | Public IP: 68.100.234.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:03:28 IST Sat Jun 20 2020 | Duration: 11h:28m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 271667428 | Bytes Rx: 128596330 | IP Addr: 10.150.237.29 | Public IP: 68.100.234.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:03:28 IST Sat Jun 20 2020 | Duration: 11h:28m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 271667428 | Bytes Rx: 128596330 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44388 | Audit Session ID: 0a96cf690ad640005eee1028 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44388 | Audit Session ID: 0a96cf690ad640005eee1028 | Security Group Tag: none | EasyVPN: 0 ||
Username: AGarai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.72 | Public IP: 59.90.39.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:11:15 IST Sat Jun 20 2020 | Duration: 11h:20m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1221873344 | Bytes Rx: 704473883 | IP Addr: 10.150.236.72 | Public IP: 59.90.39.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:11:15 IST Sat Jun 20 2020 | Duration: 11h:20m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1221873344 | Bytes Rx: 704473883 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44410 | Audit Session ID: 0a96cf690ad7a0005eee11fb | Security Group Tag: none | EasyVPN: 0 |Session ID: 44410 | Audit Session ID: 0a96cf690ad7a0005eee11fb | Security Group Tag: none | EasyVPN: 0 ||
