sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 3d 16h:23m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1727830914 | Bytes Rx: 2588297336 | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 3d 16h:23m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1727830914 | Bytes Rx: 2588297336 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.227 | Public IP: 182.68.127.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 2d 21h:24m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 653350519 | Bytes Rx: 259673294 | IP Addr: 10.147.96.227 | Public IP: 182.68.127.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 2d 21h:24m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 653350519 | Bytes Rx: 259673294 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 |Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 ||
Username: nisinha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.246 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:32:55 IST Fri Jun 19 2020 | Duration: 2d 17h:57m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 556216467 | Bytes Rx: 399382669 | IP Addr: 10.150.237.246 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:32:55 IST Fri Jun 19 2020 | Duration: 2d 17h:57m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 556216467 | Bytes Rx: 399382669 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40553 | Audit Session ID: 0a96cf6909e690005eecb77f | Security Group Tag: none | EasyVPN: 0 |Session ID: 40553 | Audit Session ID: 0a96cf6909e690005eecb77f | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.190 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:03 IST Sat Jun 20 2020 | Duration: 2d 1h:29m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 5436475565 | Bytes Rx: 395368717 | IP Addr: 10.150.237.190 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:03 IST Sat Jun 20 2020 | Duration: 2d 1h:29m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 5436475565 | Bytes Rx: 395368717 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43196 | Audit Session ID: 0a96cf690a8bc0005eed9f17 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43196 | Audit Session ID: 0a96cf690a8bc0005eed9f17 | Security Group Tag: none | EasyVPN: 0 ||
Username: vdubay | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.228 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:15:23 IST Sat Jun 20 2020 | Duration: 1d 22h:14m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 518937757 | Bytes Rx: 4911279427 | IP Addr: 10.150.237.228 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:15:23 IST Sat Jun 20 2020 | Duration: 1d 22h:14m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 518937757 | Bytes Rx: 4911279427 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43753 | Audit Session ID: 0a96cf690aae90005eedcca3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43753 | Audit Session ID: 0a96cf690aae90005eedcca3 | Security Group Tag: none | EasyVPN: 0 ||
Username: AArulsel | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.150 | Public IP: 49.37.203.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:26 IST Sun Jun 21 2020 | Duration: 14h:28m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 201109345 | Bytes Rx: 51030961 | IP Addr: 10.150.237.150 | Public IP: 49.37.203.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:26 IST Sun Jun 21 2020 | Duration: 14h:28m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 201109345 | Bytes Rx: 51030961 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46559 | Audit Session ID: 0a96cf690b5df0005eef8b5e | Security Group Tag: none | EasyVPN: 0 |Session ID: 46559 | Audit Session ID: 0a96cf690b5df0005eef8b5e | Security Group Tag: none | EasyVPN: 0 ||
Username: ADe | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.53 | Public IP: 223.191.63.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:06:35 IST Mon Jun 22 2020 | Duration: 9h:23m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 107284149 | Bytes Rx: 44649560 | IP Addr: 10.150.236.53 | Public IP: 223.191.63.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:06:35 IST Mon Jun 22 2020 | Duration: 9h:23m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 107284149 | Bytes Rx: 44649560 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46814 | Audit Session ID: 0a96cf690b6de0005eefd2e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 46814 | Audit Session ID: 0a96cf690b6de0005eefd2e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: DiSankhe | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC71 | IP Addr: 10.150.245.49 | Public IP: 103.29.119.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:40 IST Mon Jun 22 2020 | Duration: 5h:46m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 420012103 | Bytes Rx: 45970300 | IP Addr: 10.150.245.49 | Public IP: 103.29.119.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:40 IST Mon Jun 22 2020 | Duration: 5h:46m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 420012103 | Bytes Rx: 45970300 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46922 | Audit Session ID: 0a96cf690b74a0005ef005c4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 46922 | Audit Session ID: 0a96cf690b74a0005ef005c4 | Security Group Tag: none | EasyVPN: 0 ||
Username: zdsayed | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.254 | Public IP: 183.87.234.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:44 IST Mon Jun 22 2020 | Duration: 5h:46m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 437188594 | Bytes Rx: 206115783 | IP Addr: 10.150.237.254 | Public IP: 183.87.234.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:44 IST Mon Jun 22 2020 | Duration: 5h:46m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 437188594 | Bytes Rx: 206115783 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46923 | Audit Session ID: 0a96cf690b74b0005ef005c8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 46923 | Audit Session ID: 0a96cf690b74b0005ef005c8 | Security Group Tag: none | EasyVPN: 0 ||
Username: shatak | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.247 | Public IP: 103.97.104.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:10 IST Mon Jun 22 2020 | Duration: 5h:45m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 742140259 | Bytes Rx: 195690178 | IP Addr: 10.150.237.247 | Public IP: 103.97.104.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:10 IST Mon Jun 22 2020 | Duration: 5h:45m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 742140259 | Bytes Rx: 195690178 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46925 | Audit Session ID: 0a96cf690b74d0005ef0061e | Security Group Tag: none | EasyVPN: 0 |Session ID: 46925 | Audit Session ID: 0a96cf690b74d0005ef0061e | Security Group Tag: none | EasyVPN: 0 ||
Username: Sparate | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.1 | Public IP: 106.200.96.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:40 IST Mon Jun 22 2020 | Duration: 5h:43m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 145531277 | Bytes Rx: 70091511 | IP Addr: 10.150.236.1 | Public IP: 106.200.96.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:40 IST Mon Jun 22 2020 | Duration: 5h:43m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 145531277 | Bytes Rx: 70091511 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46931 | Audit Session ID: 0a96cf690b7530005ef00678 | Security Group Tag: none | EasyVPN: 0 |Session ID: 46931 | Audit Session ID: 0a96cf690b7530005ef00678 | Security Group Tag: none | EasyVPN: 0 ||
