sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 4d 7h:28m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 530303203 | Bytes Rx: 971756654 | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 4d 7h:28m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 530303203 | Bytes Rx: 971756654 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 ||
Username: GayatSri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.144 | Public IP: 49.207.141.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:19:46 IST Sun Jun 21 2020 | Duration: 1d 5h:40m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 207097548 | Bytes Rx: 63169782 | IP Addr: 10.149.233.144 | Public IP: 49.207.141.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:19:46 IST Sun Jun 21 2020 | Duration: 1d 5h:40m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 207097548 | Bytes Rx: 63169782 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164681 | Audit Session ID: 0a95072a283490005eef030a | Security Group Tag: none | EasyVPN: 0 |Session ID: 164681 | Audit Session ID: 0a95072a283490005eef030a | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.159 | Public IP: 124.123.167.227 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:09:09 IST Mon Jun 22 2020 | Duration: 11h:51m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 653383371 | Bytes Rx: 354780058 | IP Addr: 10.149.233.159 | Public IP: 124.123.167.227 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:09:09 IST Mon Jun 22 2020 | Duration: 11h:51m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 653383371 | Bytes Rx: 354780058 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165166 | Audit Session ID: 0a95072a2852e0005eeffdad | Security Group Tag: none | EasyVPN: 0 |Session ID: 165166 | Audit Session ID: 0a95072a2852e0005eeffdad | Security Group Tag: none | EasyVPN: 0 ||
Username: kumarpan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.169 | Public IP: 106.207.21.160 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:54 IST Mon Jun 22 2020 | Duration: 11h:02m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 839941026 | Bytes Rx: 245063540 | IP Addr: 10.149.233.169 | Public IP: 106.207.21.160 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:54 IST Mon Jun 22 2020 | Duration: 11h:02m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 839941026 | Bytes Rx: 245063540 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165189 | Audit Session ID: 0a95072a285450005ef0091a | Security Group Tag: none | EasyVPN: 0 |Session ID: 165189 | Audit Session ID: 0a95072a285450005ef0091a | Security Group Tag: none | EasyVPN: 0 ||
Username: hravva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.175 | Public IP: 223.238.55.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:25 IST Mon Jun 22 2020 | Duration: 10h:57m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 701943991 | Bytes Rx: 423874296 | IP Addr: 10.149.233.175 | Public IP: 223.238.55.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:25 IST Mon Jun 22 2020 | Duration: 10h:57m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 701943991 | Bytes Rx: 423874296 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165195 | Audit Session ID: 0a95072a2854b0005ef00a65 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165195 | Audit Session ID: 0a95072a2854b0005ef00a65 | Security Group Tag: none | EasyVPN: 0 ||
Username: cpugazhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.178 | Public IP: 183.83.155.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:27 IST Mon Jun 22 2020 | Duration: 10h:55m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 798978721 | Bytes Rx: 144426335 | IP Addr: 10.149.233.178 | Public IP: 183.83.155.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:27 IST Mon Jun 22 2020 | Duration: 10h:55m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 798978721 | Bytes Rx: 144426335 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165198 | Audit Session ID: 0a95072a2854e0005ef00aa3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165198 | Audit Session ID: 0a95072a2854e0005ef00aa3 | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.182 | Public IP: 157.45.184.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:39:45 IST Mon Jun 22 2020 | Duration: 10h:20m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 205553702 | Bytes Rx: 96678964 | IP Addr: 10.149.233.182 | Public IP: 157.45.184.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:39:45 IST Mon Jun 22 2020 | Duration: 10h:20m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 205553702 | Bytes Rx: 96678964 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165209 | Audit Session ID: 0a95072a285590005ef012e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165209 | Audit Session ID: 0a95072a285590005ef012e9 | Security Group Tag: none | EasyVPN: 0 ||
Username: tethomas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.183 | Public IP: 45.127.45.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:59 IST Mon Jun 22 2020 | Duration: 10h:09m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 4900186447 | Bytes Rx: 266396471 | IP Addr: 10.149.233.183 | Public IP: 45.127.45.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:59 IST Mon Jun 22 2020 | Duration: 10h:09m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 4900186447 | Bytes Rx: 266396471 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165214 | Audit Session ID: 0a95072a2855e0005ef0158b | Security Group Tag: none | EasyVPN: 0 |Session ID: 165214 | Audit Session ID: 0a95072a2855e0005ef0158b | Security Group Tag: none | EasyVPN: 0 ||
Username: srinivas.p | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.78 | Public IP: 171.78.137.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:16 IST Mon Jun 22 2020 | Duration: 10h:01m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 665802135 | Bytes Rx: 233839437 | IP Addr: 10.149.233.78 | Public IP: 171.78.137.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:16 IST Mon Jun 22 2020 | Duration: 10h:01m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 665802135 | Bytes Rx: 233839437 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165219 | Audit Session ID: 0a95072a285630005ef0177c | Security Group Tag: none | EasyVPN: 0 |Session ID: 165219 | Audit Session ID: 0a95072a285630005ef0177c | Security Group Tag: none | EasyVPN: 0 ||
Username: rajasekaran.m | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.79 | Public IP: 171.60.199.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:20 IST Mon Jun 22 2020 | Duration: 10h:01m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 668257540 | Bytes Rx: 359898463 | IP Addr: 10.149.233.79 | Public IP: 171.60.199.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:20 IST Mon Jun 22 2020 | Duration: 10h:01m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 668257540 | Bytes Rx: 359898463 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165220 | Audit Session ID: 0a95072a285640005ef01780 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165220 | Audit Session ID: 0a95072a285640005ef01780 | Security Group Tag: none | EasyVPN: 0 ||
Username: svemu | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.158 | Public IP: 183.83.139.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:59 IST Mon Jun 22 2020 | Duration: 10h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 4461096146 | Bytes Rx: 313593087 | IP Addr: 10.149.233.158 | Public IP: 183.83.139.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:59 IST Mon Jun 22 2020 | Duration: 10h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 4461096146 | Bytes Rx: 313593087 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165221 | Audit Session ID: 0a95072a285650005ef017a7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165221 | Audit Session ID: 0a95072a285650005ef017a7 | Security Group Tag: none | EasyVPN: 0 ||
Username: hmuruges | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.190 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:09 IST Mon Jun 22 2020 | Duration: 9h:55m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 307021490 | Bytes Rx: 232312839 | IP Addr: 10.149.233.190 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:09 IST Mon Jun 22 2020 | Duration: 9h:55m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 307021490 | Bytes Rx: 232312839 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165229 | Audit Session ID: 0a95072a2856d0005ef018dd | Security Group Tag: none | EasyVPN: 0 |Session ID: 165229 | Audit Session ID: 0a95072a2856d0005ef018dd | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.191 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:12 IST Mon Jun 22 2020 | Duration: 9h:55m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 534041596 | Bytes Rx: 207418587 | IP Addr: 10.149.233.191 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:12 IST Mon Jun 22 2020 | Duration: 9h:55m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 534041596 | Bytes Rx: 207418587 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165230 | Audit Session ID: 0a95072a2856e0005ef018e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165230 | Audit Session ID: 0a95072a2856e0005ef018e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: JYarassi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.131 | Public IP: 124.123.28.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:30 IST Mon Jun 22 2020 | Duration: 9h:51m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 496887544 | Bytes Rx: 151318796 | IP Addr: 10.149.233.131 | Public IP: 124.123.28.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:30 IST Mon Jun 22 2020 | Duration: 9h:51m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 496887544 | Bytes Rx: 151318796 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165233 | Audit Session ID: 0a95072a285710005ef019a6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165233 | Audit Session ID: 0a95072a285710005ef019a6 | Security Group Tag: none | EasyVPN: 0 ||
