sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ayshanka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.49 | Public IP: 203.81.240.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:00 IST Mon Jun 22 2020 | Duration: 1d 22h:53m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 658135521 | Bytes Rx: 167088784 | IP Addr: 10.149.232.49 | Public IP: 203.81.240.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:00 IST Mon Jun 22 2020 | Duration: 1d 22h:53m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 658135521 | Bytes Rx: 167088784 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165421 | Audit Session ID: 0a95072a2862d0005ef02f18 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165421 | Audit Session ID: 0a95072a2862d0005ef02f18 | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 19h:42m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 568461784 | Bytes Rx: 258739419 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 19h:42m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 568461784 | Bytes Rx: 258739419 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: ChetanP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.23 | Public IP: 103.140.27.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:34 IST Tue Jun 23 2020 | Duration: 12h:47m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 18039090333 | Bytes Rx: 757286046 | IP Addr: 10.149.232.23 | Public IP: 103.140.27.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:34 IST Tue Jun 23 2020 | Duration: 12h:47m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 18039090333 | Bytes Rx: 757286046 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169555 | Audit Session ID: 0a95072a296530005ef20e86 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169555 | Audit Session ID: 0a95072a296530005ef20e86 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.196 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:51:52 IST Tue Jun 23 2020 | Duration: 12h:41m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 154590590 | Bytes Rx: 90898252 | IP Addr: 10.149.233.196 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:51:52 IST Tue Jun 23 2020 | Duration: 12h:41m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 154590590 | Bytes Rx: 90898252 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169559 | Audit Session ID: 0a95072a296570005ef21000 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169559 | Audit Session ID: 0a95072a296570005ef21000 | Security Group Tag: none | EasyVPN: 0 ||
Username: Ishkalas | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.35 | Public IP: 49.35.192.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:45:33 IST Tue Jun 23 2020 | Duration: 11h:47m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 522062812 | Bytes Rx: 308531897 | IP Addr: 10.149.232.35 | Public IP: 49.35.192.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:45:33 IST Tue Jun 23 2020 | Duration: 11h:47m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 522062812 | Bytes Rx: 308531897 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169616 | Audit Session ID: 0a95072a296900005ef21c95 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169616 | Audit Session ID: 0a95072a296900005ef21c95 | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.194 | Public IP: 103.117.219.251 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:18:12 IST Tue Jun 23 2020 | Duration: 9h:15m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1058481749 | Bytes Rx: 70568666 | IP Addr: 10.149.233.194 | Public IP: 103.117.219.251 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:18:12 IST Tue Jun 23 2020 | Duration: 9h:15m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1058481749 | Bytes Rx: 70568666 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169790 | Audit Session ID: 0a95072a2973e0005ef2405c | Security Group Tag: none | EasyVPN: 0 |Session ID: 169790 | Audit Session ID: 0a95072a2973e0005ef2405c | Security Group Tag: none | EasyVPN: 0 ||
Username: hmani | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 2h:32m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 192425418 | Bytes Rx: 55382736 | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 2h:32m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 192425418 | Bytes Rx: 55382736 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 |Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.155 | Public IP: 157.48.41.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:59 IST Wed Jun 24 2020 | Duration: 2h:19m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 13401953 | Bytes Rx: 5124858 | IP Addr: 10.149.232.155 | Public IP: 157.48.41.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:59 IST Wed Jun 24 2020 | Duration: 2h:19m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 13401953 | Bytes Rx: 5124858 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169844 | Audit Session ID: 0a95072a297740005ef2a1cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 169844 | Audit Session ID: 0a95072a297740005ef2a1cf | Security Group Tag: none | EasyVPN: 0 ||
Username: Perumal.k | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.159 | Public IP: 49.207.137.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:26:43 IST Wed Jun 24 2020 | Duration: 2h:06m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 96643519 | Bytes Rx: 34667015 | IP Addr: 10.149.232.159 | Public IP: 49.207.137.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:26:43 IST Wed Jun 24 2020 | Duration: 2h:06m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 96643519 | Bytes Rx: 34667015 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169851 | Audit Session ID: 0a95072a2977b0005ef2a4cb | Security Group Tag: none | EasyVPN: 0 |Session ID: 169851 | Audit Session ID: 0a95072a2977b0005ef2a4cb | Security Group Tag: none | EasyVPN: 0 ||
Username: RAnandan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 2h:03m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 38454473 | Bytes Rx: 24626180 | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 2h:03m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 38454473 | Bytes Rx: 24626180 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mgarade1 | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 2h:02m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 99792660 | Bytes Rx: 19942127 | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 2h:02m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 99792660 | Bytes Rx: 19942127 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 ||
