sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.227 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 4d 17h:27m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1913951551 | Bytes Rx: 1358565734 | IP Addr: 10.147.96.227 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:06 IST Fri Jun 19 2020 | Duration: 4d 17h:27m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1913951551 | Bytes Rx: 1358565734 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 |Session ID: 39831 | Audit Session ID: 0a96cf6909b970005eec8706 | Security Group Tag: none | EasyVPN: 0 ||
Username: vdubay | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.228 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:15:23 IST Sat Jun 20 2020 | Duration: 3d 18h:17m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 550843386 | Bytes Rx: 4928886253 | IP Addr: 10.150.237.228 | Public IP: 115.114.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:15:23 IST Sat Jun 20 2020 | Duration: 3d 18h:17m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 550843386 | Bytes Rx: 4928886253 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43753 | Audit Session ID: 0a96cf690aae90005eedcca3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43753 | Audit Session ID: 0a96cf690aae90005eedcca3 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgusain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.229 | Public IP: 122.169.90.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:11 IST Mon Jun 22 2020 | Duration: 2d 1h:39m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1788682432 | Bytes Rx: 1008306702 | IP Addr: 10.150.237.229 | Public IP: 122.169.90.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:11 IST Mon Jun 22 2020 | Duration: 2d 1h:39m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1788682432 | Bytes Rx: 1008306702 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46960 | Audit Session ID: 0a96cf690b7700005ef0083b | Security Group Tag: none | EasyVPN: 0 |Session ID: 46960 | Audit Session ID: 0a96cf690b7700005ef0083b | Security Group Tag: none | EasyVPN: 0 ||
Username: risharma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.173 | Public IP: 219.91.248.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:27:23 IST Mon Jun 22 2020 | Duration: 1d 22h:05m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 2216105542 | Bytes Rx: 969674516 | IP Addr: 10.150.244.173 | Public IP: 219.91.248.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:27:23 IST Mon Jun 22 2020 | Duration: 1d 22h:05m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 2216105542 | Bytes Rx: 969674516 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 47851 | Audit Session ID: 0a96cf690baeb0005ef03a33 | Security Group Tag: none | EasyVPN: 0 |Session ID: 47851 | Audit Session ID: 0a96cf690baeb0005ef03a33 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.97.73 | Public IP: 103.85.10.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:46 IST Mon Jun 22 2020 | Duration: 1d 17h:26m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 908469344 | Bytes Rx: 224405494 | IP Addr: 10.147.97.73 | Public IP: 103.85.10.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:46 IST Mon Jun 22 2020 | Duration: 1d 17h:26m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 908469344 | Bytes Rx: 224405494 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 49489 | Audit Session ID: 0a96cf690c1510005ef07bae | Security Group Tag: none | EasyVPN: 0 |Session ID: 49489 | Audit Session ID: 0a96cf690c1510005ef07bae | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.205 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:59:51 IST Mon Jun 22 2020 | Duration: 1d 8h:33m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1979590482 | Bytes Rx: 216804649 | IP Addr: 10.150.236.205 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:59:51 IST Mon Jun 22 2020 | Duration: 1d 8h:33m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1979590482 | Bytes Rx: 216804649 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 50946 | Audit Session ID: 0a96cf690c7020005ef0f89f | Security Group Tag: none | EasyVPN: 0 |Session ID: 50946 | Audit Session ID: 0a96cf690c7020005ef0f89f | Security Group Tag: none | EasyVPN: 0 ||
Username: rahulmar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.121 | Public IP: 103.26.57.211 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:10:39 IST Tue Jun 23 2020 | Duration: 22h:22m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 3796413839 | Bytes Rx: 184329952 | IP Addr: 10.150.236.121 | Public IP: 103.26.57.211 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:10:39 IST Tue Jun 23 2020 | Duration: 22h:22m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 3796413839 | Bytes Rx: 184329952 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 51982 | Audit Session ID: 0a96cf690cb0e0005ef187c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 51982 | Audit Session ID: 0a96cf690cb0e0005ef187c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: Neerajkg | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.97.103 | Public IP: 122.169.69.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:52:22 IST Tue Jun 23 2020 | Duration: 20h:40m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1287517032 | Bytes Rx: 271058572 | IP Addr: 10.147.97.103 | Public IP: 122.169.69.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:52:22 IST Tue Jun 23 2020 | Duration: 20h:40m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1287517032 | Bytes Rx: 271058572 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 52536 | Audit Session ID: 0a96cf690cd380005ef19f9e | Security Group Tag: none | EasyVPN: 0 |Session ID: 52536 | Audit Session ID: 0a96cf690cd380005ef19f9e | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.97.141 | Public IP: 122.177.26.90 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:39:42 IST Tue Jun 23 2020 | Duration: 19h:53m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 190326108 | Bytes Rx: 51940971 | IP Addr: 10.147.97.141 | Public IP: 122.177.26.90 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:39:42 IST Tue Jun 23 2020 | Duration: 19h:53m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 190326108 | Bytes Rx: 51940971 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 52720 | Audit Session ID: 0a96cf690cdf00005ef1aab6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 52720 | Audit Session ID: 0a96cf690cdf00005ef1aab6 | Security Group Tag: none | EasyVPN: 0 ||
Username: vineet.pathak | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.152 | Public IP: 103.86.180.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:21:45 IST Tue Jun 23 2020 | Duration: 14h:11m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 393487166 | Bytes Rx: 137619551 | IP Addr: 10.150.237.152 | Public IP: 103.86.180.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:21:45 IST Tue Jun 23 2020 | Duration: 14h:11m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 393487166 | Bytes Rx: 137619551 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54186 | Audit Session ID: 0a96cf690d3aa0005ef1fae1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 54186 | Audit Session ID: 0a96cf690d3aa0005ef1fae1 | Security Group Tag: none | EasyVPN: 0 ||
Username: lkurra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.61 | Public IP: 49.207.126.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:52:07 IST Tue Jun 23 2020 | Duration: 13h:41m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 326799818 | Bytes Rx: 80093539 | IP Addr: 10.150.237.61 | Public IP: 49.207.126.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:52:07 IST Tue Jun 23 2020 | Duration: 13h:41m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 326799818 | Bytes Rx: 80093539 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54288 | Audit Session ID: 0a96cf690d4100005ef201ff | Security Group Tag: none | EasyVPN: 0 |Session ID: 54288 | Audit Session ID: 0a96cf690d4100005ef201ff | Security Group Tag: none | EasyVPN: 0 ||
