sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ypilon | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.192 | Public IP: 96.21.204.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:34:07 GMT Sat Jun 6 2020 | Duration: 17d 15h:29m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 16969659424 | Bytes Rx: 3656873977 | IP Addr: 10.144.233.192 | Public IP: 96.21.204.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:34:07 GMT Sat Jun 6 2020 | Duration: 17d 15h:29m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 16969659424 | Bytes Rx: 3656873977 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 66955 | Audit Session ID: 0a90076b1058b0005edb7f2f | Security Group Tag: none | EasyVPN: 0 |Session ID: 66955 | Audit Session ID: 0a90076b1058b0005edb7f2f | Security Group Tag: none | EasyVPN: 0 ||
Username: tmo | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.139 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:04:26 GMT Fri Jun 12 2020 | Duration: 11d 15h:58m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 2070628284 | Bytes Rx: 839810995 | IP Addr: 10.144.232.139 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:04:26 GMT Fri Jun 12 2020 | Duration: 11d 15h:58m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 2070628284 | Bytes Rx: 839810995 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 69056 | Audit Session ID: 0a90076b10dc00005ee3613a | Security Group Tag: none | EasyVPN: 0 |Session ID: 69056 | Audit Session ID: 0a90076b10dc00005ee3613a | Security Group Tag: none | EasyVPN: 0 ||
Username: ckurmin | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.240 | Public IP: 68.83.81.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:15:59 GMT Mon Jun 15 2020 | Duration: 8d 9h:47m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 5829346456 | Bytes Rx: 2325446510 | IP Addr: 10.144.232.240 | Public IP: 68.83.81.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:15:59 GMT Mon Jun 15 2020 | Duration: 8d 9h:47m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 5829346456 | Bytes Rx: 2325446510 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 69854 | Audit Session ID: 0a90076b110de0005ee7accf | Security Group Tag: none | EasyVPN: 0 |Session ID: 69854 | Audit Session ID: 0a90076b110de0005ee7accf | Security Group Tag: none | EasyVPN: 0 ||
Username: mcarbone | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.185 | Public IP: 74.102.106.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 02:53:21 GMT Tue Jun 16 2020 | Duration: 8d 0h:10m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 6719286506 | Bytes Rx: 6345676823 | IP Addr: 10.144.230.185 | Public IP: 74.102.106.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 02:53:21 GMT Tue Jun 16 2020 | Duration: 8d 0h:10m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 6719286506 | Bytes Rx: 6345676823 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 69944 | Audit Session ID: 0a90076b111380005ee83421 | Security Group Tag: none | EasyVPN: 0 |Session ID: 69944 | Audit Session ID: 0a90076b111380005ee83421 | Security Group Tag: none | EasyVPN: 0 ||
Username: p.wilkinson | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.177 | Public IP: 81.158.88.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 05:48:51 GMT Wed Jun 17 2020 | Duration: 6d 21h:14m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 2956133624 | Bytes Rx: 993064881 | IP Addr: 10.144.230.177 | Public IP: 81.158.88.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 05:48:51 GMT Wed Jun 17 2020 | Duration: 6d 21h:14m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 2956133624 | Bytes Rx: 993064881 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 70389 | Audit Session ID: 0a90076b112f50005ee9aec3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 70389 | Audit Session ID: 0a90076b112f50005ee9aec3 | Security Group Tag: none | EasyVPN: 0 ||
Username: npoirier | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.78 | Public IP: 184.160.149.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 19:13:51 GMT Wed Jun 17 2020 | Duration: 6d 7h:49m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 41984717511 | Bytes Rx: 1937172266 | IP Addr: 10.144.233.78 | Public IP: 184.160.149.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 19:13:51 GMT Wed Jun 17 2020 | Duration: 6d 7h:49m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 41984717511 | Bytes Rx: 1937172266 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 70647 | Audit Session ID: 0a90076b113f70005eea6b6f | Security Group Tag: none | EasyVPN: 0 |Session ID: 70647 | Audit Session ID: 0a90076b113f70005eea6b6f | Security Group Tag: none | EasyVPN: 0 ||
Username: tmo | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.190 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 05:54:40 GMT Thu Jun 18 2020 | Duration: 5d 21h:08m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1515274163 | Bytes Rx: 728758799 | IP Addr: 10.144.230.190 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 05:54:40 GMT Thu Jun 18 2020 | Duration: 5d 21h:08m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1515274163 | Bytes Rx: 728758799 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 70751 | Audit Session ID: 0a90076b1145f0005eeb01a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 70751 | Audit Session ID: 0a90076b1145f0005eeb01a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: johnclou | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.124 | Public IP: 100.35.205.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:42:18 GMT Thu Jun 18 2020 | Duration: 5d 15h:21m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 9008883476 | Bytes Rx: 3467195994 | IP Addr: 10.144.233.124 | Public IP: 100.35.205.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:42:18 GMT Thu Jun 18 2020 | Duration: 5d 15h:21m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 9008883476 | Bytes Rx: 3467195994 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 70878 | Audit Session ID: 0a90076b114de0005eeb531a | Security Group Tag: none | EasyVPN: 0 |Session ID: 70878 | Audit Session ID: 0a90076b114de0005eeb531a | Security Group Tag: none | EasyVPN: 0 ||
Username: bdoherty | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.103 | Public IP: 24.186.17.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:37:32 GMT Fri Jun 19 2020 | Duration: 4d 14h:25m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 2279771199 | Bytes Rx: 602534113 | IP Addr: 10.144.233.103 | Public IP: 24.186.17.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:37:32 GMT Fri Jun 19 2020 | Duration: 4d 14h:25m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 2279771199 | Bytes Rx: 602534113 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 71367 | Audit Session ID: 0a90076b116c70005eecb18c | Security Group Tag: none | EasyVPN: 0 |Session ID: 71367 | Audit Session ID: 0a90076b116c70005eecb18c | Security Group Tag: none | EasyVPN: 0 ||
Username: finverna | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.27 | Public IP: 67.87.20.247 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 18:12:00 GMT Fri Jun 19 2020 | Duration: 4d 8h:51m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2376138675 | Bytes Rx: 884095284 | IP Addr: 10.144.232.27 | Public IP: 67.87.20.247 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 18:12:00 GMT Fri Jun 19 2020 | Duration: 4d 8h:51m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2376138675 | Bytes Rx: 884095284 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 71519 | Audit Session ID: 0a90076b1175f0005eecfff0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 71519 | Audit Session ID: 0a90076b1175f0005eecfff0 | Security Group Tag: none | EasyVPN: 0 ||
Username: carlosb | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.15 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:40:11 GMT Sun Jun 21 2020 | Duration: 2d 20h:23m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2064602284 | Bytes Rx: 1149911858 | IP Addr: 10.144.232.15 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:40:11 GMT Sun Jun 21 2020 | Duration: 2d 20h:23m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2064602284 | Bytes Rx: 1149911858 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 71712 | Audit Session ID: 0a90076b118200005eef00cb | Security Group Tag: none | EasyVPN: 0 |Session ID: 71712 | Audit Session ID: 0a90076b118200005eef00cb | Security Group Tag: none | EasyVPN: 0 ||
