sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 23h:09m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 629429311 | Bytes Rx: 284265125 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 23h:09m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 629429311 | Bytes Rx: 284265125 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: hmani | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 5h:59m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 709106741 | Bytes Rx: 175455849 | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 5h:59m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 709106741 | Bytes Rx: 175455849 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 |Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.155 | Public IP: 157.48.41.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:59 IST Wed Jun 24 2020 | Duration: 5h:46m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 18814603 | Bytes Rx: 8913802 | IP Addr: 10.149.232.155 | Public IP: 157.48.41.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:59 IST Wed Jun 24 2020 | Duration: 5h:46m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 18814603 | Bytes Rx: 8913802 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169844 | Audit Session ID: 0a95072a297740005ef2a1cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 169844 | Audit Session ID: 0a95072a297740005ef2a1cf | Security Group Tag: none | EasyVPN: 0 ||
Username: RAnandan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 5h:30m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 74141268 | Bytes Rx: 58013446 | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 5h:30m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 74141268 | Bytes Rx: 58013446 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mgarade1 | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 5h:29m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 287068888 | Bytes Rx: 73934884 | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 5h:29m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 287068888 | Bytes Rx: 73934884 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: damodSR | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 5h:25m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 129031525 | Bytes Rx: 171012600 | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 5h:25m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 129031525 | Bytes Rx: 171012600 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 ||
Username: yamunat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.164 | Public IP: 27.62.57.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:08 IST Wed Jun 24 2020 | Duration: 5h:23m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2300333321 | Bytes Rx: 118629965 | IP Addr: 10.149.232.164 | Public IP: 27.62.57.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:08 IST Wed Jun 24 2020 | Duration: 5h:23m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2300333321 | Bytes Rx: 118629965 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169859 | Audit Session ID: 0a95072a297830005ef2a73c | Security Group Tag: none | EasyVPN: 0 |Session ID: 169859 | Audit Session ID: 0a95072a297830005ef2a73c | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 5h:22m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 1121776447 | Bytes Rx: 1031700860 | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 5h:22m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 1121776447 | Bytes Rx: 1031700860 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 115.97.14.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:31 IST Wed Jun 24 2020 | Duration: 5h:15m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 576068987 | Bytes Rx: 146334876 | IP Addr: 10.149.233.14 | Public IP: 115.97.14.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:31 IST Wed Jun 24 2020 | Duration: 5h:15m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 576068987 | Bytes Rx: 146334876 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169863 | Audit Session ID: 0a95072a297870005ef2a8f7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169863 | Audit Session ID: 0a95072a297870005ef2a8f7 | Security Group Tag: none | EasyVPN: 0 ||
Username: aadikhan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.15 | Public IP: 219.91.250.15 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:02 IST Wed Jun 24 2020 | Duration: 5h:15m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 553135607 | Bytes Rx: 131990123 | IP Addr: 10.149.233.15 | Public IP: 219.91.250.15 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:02 IST Wed Jun 24 2020 | Duration: 5h:15m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 553135607 | Bytes Rx: 131990123 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169864 | Audit Session ID: 0a95072a297880005ef2a916 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169864 | Audit Session ID: 0a95072a297880005ef2a916 | Security Group Tag: none | EasyVPN: 0 ||
Username: ramakodi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.16 | Public IP: 49.37.198.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:25 IST Wed Jun 24 2020 | Duration: 5h:14m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 501023436 | Bytes Rx: 93346585 | IP Addr: 10.149.233.16 | Public IP: 49.37.198.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:25 IST Wed Jun 24 2020 | Duration: 5h:14m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 501023436 | Bytes Rx: 93346585 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169865 | Audit Session ID: 0a95072a297890005ef2a92d | Security Group Tag: none | EasyVPN: 0 |Session ID: 169865 | Audit Session ID: 0a95072a297890005ef2a92d | Security Group Tag: none | EasyVPN: 0 ||
