sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 4h:10m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1738790611 | Bytes Rx: 386366609 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 4h:10m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1738790611 | Bytes Rx: 386366609 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: damodSR | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 10h:26m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 241322883 | Bytes Rx: 279251912 | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 10h:26m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 241322883 | Bytes Rx: 279251912 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 10h:22m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 2097332211 | Bytes Rx: 1543419689 | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 10h:22m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 2097332211 | Bytes Rx: 1543419689 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 ||
Username: Spuri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.17 | Public IP: 103.114.224.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:53 IST Wed Jun 24 2020 | Duration: 10h:15m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 4171562153 | Bytes Rx: 507707639 | IP Addr: 10.149.233.17 | Public IP: 103.114.224.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:53 IST Wed Jun 24 2020 | Duration: 10h:15m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 4171562153 | Bytes Rx: 507707639 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169866 | Audit Session ID: 0a95072a2978a0005ef2a949 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169866 | Audit Session ID: 0a95072a2978a0005ef2a949 | Security Group Tag: none | EasyVPN: 0 ||
Username: JulieT | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.24 | Public IP: 157.47.34.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:06 IST Wed Jun 24 2020 | Duration: 10h:04m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 196836561 | Bytes Rx: 67965269 | IP Addr: 10.149.233.24 | Public IP: 157.47.34.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:06 IST Wed Jun 24 2020 | Duration: 10h:04m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 196836561 | Bytes Rx: 67965269 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169874 | Audit Session ID: 0a95072a297920005ef2abae | Security Group Tag: none | EasyVPN: 0 |Session ID: 169874 | Audit Session ID: 0a95072a297920005ef2abae | Security Group Tag: none | EasyVPN: 0 ||
Username: sives | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.156 | Public IP: 157.50.129.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:19 IST Wed Jun 24 2020 | Duration: 9h:49m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 929161498 | Bytes Rx: 283650330 | IP Addr: 10.149.232.156 | Public IP: 157.50.129.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:19 IST Wed Jun 24 2020 | Duration: 9h:49m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 929161498 | Bytes Rx: 283650330 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169875 | Audit Session ID: 0a95072a297930005ef2af3f | Security Group Tag: none | EasyVPN: 0 |Session ID: 169875 | Audit Session ID: 0a95072a297930005ef2af3f | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.184 | Public IP: 157.49.172.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:12 IST Wed Jun 24 2020 | Duration: 9h:13m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 370518415 | Bytes Rx: 84517998 | IP Addr: 10.149.232.184 | Public IP: 157.49.172.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:12 IST Wed Jun 24 2020 | Duration: 9h:13m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 370518415 | Bytes Rx: 84517998 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169904 | Audit Session ID: 0a95072a297b00005ef2b7a8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169904 | Audit Session ID: 0a95072a297b00005ef2b7a8 | Security Group Tag: none | EasyVPN: 0 ||
Username: amit.singhal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.185 | Public IP: 42.106.195.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:41 IST Wed Jun 24 2020 | Duration: 9h:13m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 513901185 | Bytes Rx: 672398676 | IP Addr: 10.149.232.185 | Public IP: 42.106.195.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:41 IST Wed Jun 24 2020 | Duration: 9h:13m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 513901185 | Bytes Rx: 672398676 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169905 | Audit Session ID: 0a95072a297b10005ef2b7c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169905 | Audit Session ID: 0a95072a297b10005ef2b7c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: BPatel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.190 | Public IP: 157.32.76.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:53 IST Wed Jun 24 2020 | Duration: 9h:10m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 274298708 | Bytes Rx: 36554030 | IP Addr: 10.149.232.190 | Public IP: 157.32.76.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:53 IST Wed Jun 24 2020 | Duration: 9h:10m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 274298708 | Bytes Rx: 36554030 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169910 | Audit Session ID: 0a95072a297b60005ef2b885 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169910 | Audit Session ID: 0a95072a297b60005ef2b885 | Security Group Tag: none | EasyVPN: 0 ||
Username: shivaji.m | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.176 | Public IP: 183.83.95.111 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:58:04 IST Wed Jun 24 2020 | Duration: 9h:02m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 512790290 | Bytes Rx: 698431120 | IP Addr: 10.149.232.176 | Public IP: 183.83.95.111 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:58:04 IST Wed Jun 24 2020 | Duration: 9h:02m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 512790290 | Bytes Rx: 698431120 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169914 | Audit Session ID: 0a95072a297ba0005ef2ba34 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169914 | Audit Session ID: 0a95072a297ba0005ef2ba34 | Security Group Tag: none | EasyVPN: 0 ||
Username: JYarassi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.193 | Public IP: 124.123.28.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:10 IST Wed Jun 24 2020 | Duration: 9h:02m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 361613012 | Bytes Rx: 137908032 | IP Addr: 10.149.232.193 | Public IP: 124.123.28.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:10 IST Wed Jun 24 2020 | Duration: 9h:02m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 361613012 | Bytes Rx: 137908032 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169915 | Audit Session ID: 0a95072a297bb0005ef2ba3a | Security Group Tag: none | EasyVPN: 0 |Session ID: 169915 | Audit Session ID: 0a95072a297bb0005ef2ba3a | Security Group Tag: none | EasyVPN: 0 ||
