sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 13d 22h:37m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 3592881480 | Bytes Rx: 1363996777 | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 13d 22h:37m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 3592881480 | Bytes Rx: 1363996777 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajib.debnath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.8 | Public IP: 103.100.37.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:42 IST Mon Jun 22 2020 | Duration: 2d 16h:33m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2335887307 | Bytes Rx: 1267802986 | IP Addr: 10.150.239.8 | Public IP: 103.100.37.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:42 IST Mon Jun 22 2020 | Duration: 2d 16h:33m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2335887307 | Bytes Rx: 1267802986 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 45498 | Audit Session ID: 0a96cf6a0b1ba0005ef06b42 | Security Group Tag: none | EasyVPN: 0 |Session ID: 45498 | Audit Session ID: 0a96cf6a0b1ba0005ef06b42 | Security Group Tag: none | EasyVPN: 0 ||
Username: sduvva | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.161 | Public IP: 103.20.125.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 16:33:41 IST Mon Jun 22 2020 | Duration: 2d 13h:56m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 62002147 | Bytes Rx: 7314929 | IP Addr: 10.150.239.161 | Public IP: 103.20.125.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 16:33:41 IST Mon Jun 22 2020 | Duration: 2d 13h:56m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 62002147 | Bytes Rx: 7314929 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 46221 | Audit Session ID: 0a96cf6a0b48d0005ef0900d | Security Group Tag: none | EasyVPN: 0 |Session ID: 46221 | Audit Session ID: 0a96cf6a0b48d0005ef0900d | Security Group Tag: none | EasyVPN: 0 ||
Username: AArulsel | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.168 | Public IP: 49.37.203.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:11:11 IST Tue Jun 23 2020 | Duration: 1d 12h:19m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1780281855 | Bytes Rx: 384485513 | IP Addr: 10.150.239.168 | Public IP: 49.37.203.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:11:11 IST Tue Jun 23 2020 | Duration: 1d 12h:19m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1780281855 | Bytes Rx: 384485513 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 50325 | Audit Session ID: 0a96cf6a0c4950005ef1f867 | Security Group Tag: none | EasyVPN: 0 |Session ID: 50325 | Audit Session ID: 0a96cf6a0c4950005ef1f867 | Security Group Tag: none | EasyVPN: 0 ||
Username: SandeepP | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC55 | IP Addr: 10.150.247.33 | Public IP: 103.105.109.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:48:12 IST Wed Jun 24 2020 | Duration: 18h:42m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 1310773164 | Bytes Rx: 352735859 | IP Addr: 10.150.247.33 | Public IP: 103.105.109.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:48:12 IST Wed Jun 24 2020 | Duration: 18h:42m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 1310773164 | Bytes Rx: 352735859 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 52401 | Audit Session ID: 0a96cf6a0ccb10005ef2f024 | Security Group Tag: none | EasyVPN: 0 |Session ID: 52401 | Audit Session ID: 0a96cf6a0ccb10005ef2f024 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.240 | Public IP: 103.78.165.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:05:34 IST Wed Jun 24 2020 | Duration: 17h:24m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 125422908 | Bytes Rx: 1207797555 | IP Addr: 10.150.249.240 | Public IP: 103.78.165.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:05:34 IST Wed Jun 24 2020 | Duration: 17h:24m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 125422908 | Bytes Rx: 1207797555 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 52742 | Audit Session ID: 0a96cf6a0ce060005ef30246 | Security Group Tag: none | EasyVPN: 0 |Session ID: 52742 | Audit Session ID: 0a96cf6a0ce060005ef30246 | Security Group Tag: none | EasyVPN: 0 ||
Username: PBommina | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.174 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:49:32 IST Wed Jun 24 2020 | Duration: 16h:40m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 132630493 | Bytes Rx: 55920422 | IP Addr: 10.150.238.174 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:49:32 IST Wed Jun 24 2020 | Duration: 16h:40m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 132630493 | Bytes Rx: 55920422 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 52896 | Audit Session ID: 0a96cf6a0cea00005ef30c94 | Security Group Tag: none | EasyVPN: 0 |Session ID: 52896 | Audit Session ID: 0a96cf6a0cea00005ef30c94 | Security Group Tag: none | EasyVPN: 0 ||
Username: ARupanaw | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.153 | Public IP: 157.33.222.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:27:13 IST Wed Jun 24 2020 | Duration: 16h:03m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 833274888 | Bytes Rx: 183569872 | IP Addr: 10.150.239.153 | Public IP: 157.33.222.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:27:13 IST Wed Jun 24 2020 | Duration: 16h:03m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 833274888 | Bytes Rx: 183569872 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 53073 | Audit Session ID: 0a96cf6a0cf510005ef31569 | Security Group Tag: none | EasyVPN: 0 |Session ID: 53073 | Audit Session ID: 0a96cf6a0cf510005ef31569 | Security Group Tag: none | EasyVPN: 0 ||
Username: vineet.pathak | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.110 | Public IP: 103.86.180.216 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 18:52:35 IST Wed Jun 24 2020 | Duration: 11h:37m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 426480191 | Bytes Rx: 204550581 | IP Addr: 10.150.239.110 | Public IP: 103.86.180.216 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 18:52:35 IST Wed Jun 24 2020 | Duration: 11h:37m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 426480191 | Bytes Rx: 204550581 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 53961 | Audit Session ID: 0a96cf6a0d2c90005ef3539b | Security Group Tag: none | EasyVPN: 0 |Session ID: 53961 | Audit Session ID: 0a96cf6a0d2c90005ef3539b | Security Group Tag: none | EasyVPN: 0 ||
Username: svavhal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.23 | Public IP: 103.252.55.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:22:10 IST Wed Jun 24 2020 | Duration: 10h:08m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1372999415 | Bytes Rx: 279199039 | IP Addr: 10.150.239.23 | Public IP: 103.252.55.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:22:10 IST Wed Jun 24 2020 | Duration: 10h:08m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1372999415 | Bytes Rx: 279199039 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54157 | Audit Session ID: 0a96cf6a0d38d0005ef3689a | Security Group Tag: none | EasyVPN: 0 |Session ID: 54157 | Audit Session ID: 0a96cf6a0d38d0005ef3689a | Security Group Tag: none | EasyVPN: 0 ||
Username: AKawale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.235 | Public IP: 106.193.138.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:25:27 IST Wed Jun 24 2020 | Duration: 10h:04m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 5051250580 | Bytes Rx: 246489629 | IP Addr: 10.150.238.235 | Public IP: 106.193.138.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:25:27 IST Wed Jun 24 2020 | Duration: 10h:04m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 5051250580 | Bytes Rx: 246489629 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54175 | Audit Session ID: 0a96cf6a0d39f0005ef3695f | Security Group Tag: none | EasyVPN: 0 |Session ID: 54175 | Audit Session ID: 0a96cf6a0d39f0005ef3695f | Security Group Tag: none | EasyVPN: 0 ||
