sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: risharma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.173 | Public IP: 219.91.250.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:27:23 IST Mon Jun 22 2020 | Duration: 3d 2h:32m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 3719469090 | Bytes Rx: 1810827525 | IP Addr: 10.150.244.173 | Public IP: 219.91.250.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:27:23 IST Mon Jun 22 2020 | Duration: 3d 2h:32m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 3719469090 | Bytes Rx: 1810827525 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 47851 | Audit Session ID: 0a96cf690baeb0005ef03a33 | Security Group Tag: none | EasyVPN: 0 |Session ID: 47851 | Audit Session ID: 0a96cf690baeb0005ef03a33 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.97.73 | Public IP: 103.85.10.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:46 IST Mon Jun 22 2020 | Duration: 2d 21h:53m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1607564113 | Bytes Rx: 743706549 | IP Addr: 10.147.97.73 | Public IP: 103.85.10.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:46 IST Mon Jun 22 2020 | Duration: 2d 21h:53m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1607564113 | Bytes Rx: 743706549 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 49489 | Audit Session ID: 0a96cf690c1510005ef07bae | Security Group Tag: none | EasyVPN: 0 |Session ID: 49489 | Audit Session ID: 0a96cf690c1510005ef07bae | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.205 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:59:51 IST Mon Jun 22 2020 | Duration: 2d 13h:00m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 5115002589 | Bytes Rx: 1184251511 | IP Addr: 10.150.236.205 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:59:51 IST Mon Jun 22 2020 | Duration: 2d 13h:00m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 5115002589 | Bytes Rx: 1184251511 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 50946 | Audit Session ID: 0a96cf690c7020005ef0f89f | Security Group Tag: none | EasyVPN: 0 |Session ID: 50946 | Audit Session ID: 0a96cf690c7020005ef0f89f | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.155 | Public IP: 183.83.131.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:22:30 IST Tue Jun 23 2020 | Duration: 1d 15h:37m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 809395282 | Bytes Rx: 185106311 | IP Addr: 10.150.236.155 | Public IP: 183.83.131.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:22:30 IST Tue Jun 23 2020 | Duration: 1d 15h:37m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 809395282 | Bytes Rx: 185106311 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54675 | Audit Session ID: 0a96cf690d5930005ef2253e | Security Group Tag: none | EasyVPN: 0 |Session ID: 54675 | Audit Session ID: 0a96cf690d5930005ef2253e | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.58 | Public IP: 182.57.174.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 1d 14h:45m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 4537499414 | Bytes Rx: 900003256 | IP Addr: 10.150.237.58 | Public IP: 182.57.174.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 1d 14h:45m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 4537499414 | Bytes Rx: 900003256 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 |Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 ||
Username: sipandit | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.14 | Public IP: 103.252.52.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:16:23 IST Wed Jun 24 2020 | Duration: 1d 4h:43m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 798569805 | Bytes Rx: 1194665765 | IP Addr: 10.150.236.14 | Public IP: 103.252.52.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:16:23 IST Wed Jun 24 2020 | Duration: 1d 4h:43m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 798569805 | Bytes Rx: 1194665765 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 55367 | Audit Session ID: 0a96cf690d8470005ef2be7f | Security Group Tag: none | EasyVPN: 0 |Session ID: 55367 | Audit Session ID: 0a96cf690d8470005ef2be7f | Security Group Tag: none | EasyVPN: 0 ||
Username: RaviJais | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.135 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:30:34 IST Wed Jun 24 2020 | Duration: 1d 2h:29m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 2393472492 | Bytes Rx: 4810895409 | IP Addr: 10.150.244.135 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:30:34 IST Wed Jun 24 2020 | Duration: 1d 2h:29m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 2393472492 | Bytes Rx: 4810895409 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 56063 | Audit Session ID: 0a96cf690daff0005ef2ddf2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 56063 | Audit Session ID: 0a96cf690daff0005ef2ddf2 | Security Group Tag: none | EasyVPN: 0 ||
Username: khusaini | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.230 | Public IP: 182.64.220.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:49:00 IST Wed Jun 24 2020 | Duration: 1d 0h:11m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1468098810 | Bytes Rx: 1560034634 | IP Addr: 10.150.236.230 | Public IP: 182.64.220.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:49:00 IST Wed Jun 24 2020 | Duration: 1d 0h:11m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1468098810 | Bytes Rx: 1560034634 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 56742 | Audit Session ID: 0a96cf690dda60005ef2fe64 | Security Group Tag: none | EasyVPN: 0 |Session ID: 56742 | Audit Session ID: 0a96cf690dda60005ef2fe64 | Security Group Tag: none | EasyVPN: 0 ||
Username: Gbarman | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.65 | Public IP: 103.229.247.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:16 IST Thu Jun 25 2020 | Duration: 7h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1323802094 | Bytes Rx: 116514825 | IP Addr: 10.150.237.65 | Public IP: 103.229.247.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:16 IST Thu Jun 25 2020 | Duration: 7h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1323802094 | Bytes Rx: 116514825 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 58958 | Audit Session ID: 0a96cf690e64e0005ef3e85c | Security Group Tag: none | EasyVPN: 0 |Session ID: 58958 | Audit Session ID: 0a96cf690e64e0005ef3e85c | Security Group Tag: none | EasyVPN: 0 ||
Username: brijpate | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.164 | Public IP: 203.192.244.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:55 IST Thu Jun 25 2020 | Duration: 7h:06m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 532518663 | Bytes Rx: 196964736 | IP Addr: 10.150.237.164 | Public IP: 203.192.244.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:55 IST Thu Jun 25 2020 | Duration: 7h:06m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 532518663 | Bytes Rx: 196964736 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 58975 | Audit Session ID: 0a96cf690e65f0005ef3ee9b | Security Group Tag: none | EasyVPN: 0 |Session ID: 58975 | Audit Session ID: 0a96cf690e65f0005ef3ee9b | Security Group Tag: none | EasyVPN: 0 ||
Username: swsukale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.86 | Public IP: 49.35.66.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:12:17 IST Thu Jun 25 2020 | Duration: 6h:48m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 2854349899 | Bytes Rx: 409196484 | IP Addr: 10.150.236.86 | Public IP: 49.35.66.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:12:17 IST Thu Jun 25 2020 | Duration: 6h:48m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 2854349899 | Bytes Rx: 409196484 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 58986 | Audit Session ID: 0a96cf690e66a0005ef3f2e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 58986 | Audit Session ID: 0a96cf690e66a0005ef3f2e9 | Security Group Tag: none | EasyVPN: 0 ||
