sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mayankp | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.115 | Public IP: 43.241.24.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:28:00 UTC Thu Jun 25 2020 | Duration: 2h:02m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 184134970 | Bytes Rx: 101445139 | IP Addr: 10.145.232.115 | Public IP: 43.241.24.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:28:00 UTC Thu Jun 25 2020 | Duration: 2h:02m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 184134970 | Bytes Rx: 101445139 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2 | Audit Session ID: 0a910728000020005ef435e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2 | Audit Session ID: 0a910728000020005ef435e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: pramodku | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.94 | Public IP: 42.111.25.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:32:28 UTC Thu Jun 25 2020 | Duration: 1h:57m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 52633810 | Bytes Rx: 49130327 | IP Addr: 10.145.232.94 | Public IP: 42.111.25.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:32:28 UTC Thu Jun 25 2020 | Duration: 1h:57m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 52633810 | Bytes Rx: 49130327 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3 | Audit Session ID: 0a910728000030005ef436ec | Security Group Tag: none | EasyVPN: 0 |Session ID: 3 | Audit Session ID: 0a910728000030005ef436ec | Security Group Tag: none | EasyVPN: 0 ||
Username: pawarast | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.116 | Public IP: 42.111.24.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:36:36 UTC Thu Jun 25 2020 | Duration: 1h:53m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 26620274 | Bytes Rx: 13618158 | IP Addr: 10.145.232.116 | Public IP: 42.111.24.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:36:36 UTC Thu Jun 25 2020 | Duration: 1h:53m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 26620274 | Bytes Rx: 13618158 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5 | Audit Session ID: 0a910728000050005ef437e4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5 | Audit Session ID: 0a910728000050005ef437e4 | Security Group Tag: none | EasyVPN: 0 ||
Username: ssaplaic | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.118 | Public IP: 87.116.183.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:15 UTC Thu Jun 25 2020 | Duration: 1h:43m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 345887355 | Bytes Rx: 26349853 | IP Addr: 10.145.232.118 | Public IP: 87.116.183.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:15 UTC Thu Jun 25 2020 | Duration: 1h:43m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 345887355 | Bytes Rx: 26349853 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 8 | Audit Session ID: 0a910728000080005ef43a63 | Security Group Tag: none | EasyVPN: 0 |Session ID: 8 | Audit Session ID: 0a910728000080005ef43a63 | Security Group Tag: none | EasyVPN: 0 ||
Username: abenzare | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.119 | Public IP: 5.107.204.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:49:15 UTC Thu Jun 25 2020 | Duration: 1h:41m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 78173070 | Bytes Rx: 62697229 | IP Addr: 10.145.232.119 | Public IP: 5.107.204.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:49:15 UTC Thu Jun 25 2020 | Duration: 1h:41m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 78173070 | Bytes Rx: 62697229 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9 | Audit Session ID: 0a910728000090005ef43adb | Security Group Tag: none | EasyVPN: 0 |Session ID: 9 | Audit Session ID: 0a910728000090005ef43adb | Security Group Tag: none | EasyVPN: 0 ||
Username: yvomaspa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.77 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:56 UTC Thu Jun 25 2020 | Duration: 1h:39m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 537696975 | Bytes Rx: 462612060 | IP Addr: 10.145.232.77 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:56 UTC Thu Jun 25 2020 | Duration: 1h:39m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 537696975 | Bytes Rx: 462612060 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 10 | Audit Session ID: 0a9107280000a0005ef43b40 | Security Group Tag: none | EasyVPN: 0 |Session ID: 10 | Audit Session ID: 0a9107280000a0005ef43b40 | Security Group Tag: none | EasyVPN: 0 ||
Username: sankshin | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.84 | Public IP: 103.210.200.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:31 UTC Thu Jun 25 2020 | Duration: 1h:38m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 87792656 | Bytes Rx: 40277467 | IP Addr: 10.145.232.84 | Public IP: 103.210.200.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:31 UTC Thu Jun 25 2020 | Duration: 1h:38m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 87792656 | Bytes Rx: 40277467 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 12 | Audit Session ID: 0a9107280000c0005ef43b63 | Security Group Tag: none | EasyVPN: 0 |Session ID: 12 | Audit Session ID: 0a9107280000c0005ef43b63 | Security Group Tag: none | EasyVPN: 0 ||
Username: APrakash | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.86 | Public IP: 157.50.4.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:50 UTC Thu Jun 25 2020 | Duration: 1h:38m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 22688760 | Bytes Rx: 8394137 | IP Addr: 10.145.232.86 | Public IP: 157.50.4.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:50 UTC Thu Jun 25 2020 | Duration: 1h:38m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 22688760 | Bytes Rx: 8394137 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13 | Audit Session ID: 0a9107280000d0005ef43b76 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13 | Audit Session ID: 0a9107280000d0005ef43b76 | Security Group Tag: none | EasyVPN: 0 ||
Username: szalmijn | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.121 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:13 UTC Thu Jun 25 2020 | Duration: 1h:37m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 388368651 | Bytes Rx: 326725325 | IP Addr: 10.145.232.121 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:13 UTC Thu Jun 25 2020 | Duration: 1h:37m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 388368651 | Bytes Rx: 326725325 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15 | Audit Session ID: 0a9107280000f0005ef43bc9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15 | Audit Session ID: 0a9107280000f0005ef43bc9 | Security Group Tag: none | EasyVPN: 0 ||
Username: vmaturi | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.125 | Public IP: 14.192.2.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:55:29 UTC Thu Jun 25 2020 | Duration: 1h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 333750523 | Bytes Rx: 65424439 | IP Addr: 10.145.232.125 | Public IP: 14.192.2.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:55:29 UTC Thu Jun 25 2020 | Duration: 1h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 333750523 | Bytes Rx: 65424439 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20 | Audit Session ID: 0a910728000140005ef43c51 | Security Group Tag: none | EasyVPN: 0 |Session ID: 20 | Audit Session ID: 0a910728000140005ef43c51 | Security Group Tag: none | EasyVPN: 0 ||
Username: navneetk | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.114 | Public IP: 42.109.204.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:30 UTC Thu Jun 25 2020 | Duration: 1h:32m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 266187173 | Bytes Rx: 18197880 | IP Addr: 10.145.232.114 | Public IP: 42.109.204.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:30 UTC Thu Jun 25 2020 | Duration: 1h:32m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 266187173 | Bytes Rx: 18197880 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 21 | Audit Session ID: 0a910728000150005ef43cca | Security Group Tag: none | EasyVPN: 0 |Session ID: 21 | Audit Session ID: 0a910728000150005ef43cca | Security Group Tag: none | EasyVPN: 0 ||
