sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: pawarast | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.116 | Public IP: 42.111.24.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:36:36 UTC Thu Jun 25 2020 | Duration: 4h:53m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 93742931 | Bytes Rx: 47397689 | IP Addr: 10.145.232.116 | Public IP: 42.111.24.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:36:36 UTC Thu Jun 25 2020 | Duration: 4h:53m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 93742931 | Bytes Rx: 47397689 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5 | Audit Session ID: 0a910728000050005ef437e4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5 | Audit Session ID: 0a910728000050005ef437e4 | Security Group Tag: none | EasyVPN: 0 ||
Username: abenzare | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.119 | Public IP: 5.107.204.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:49:15 UTC Thu Jun 25 2020 | Duration: 4h:41m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 161983867 | Bytes Rx: 119770623 | IP Addr: 10.145.232.119 | Public IP: 5.107.204.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:49:15 UTC Thu Jun 25 2020 | Duration: 4h:41m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 161983867 | Bytes Rx: 119770623 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9 | Audit Session ID: 0a910728000090005ef43adb | Security Group Tag: none | EasyVPN: 0 |Session ID: 9 | Audit Session ID: 0a910728000090005ef43adb | Security Group Tag: none | EasyVPN: 0 ||
Username: yvomaspa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.77 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:56 UTC Thu Jun 25 2020 | Duration: 4h:39m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1610670434 | Bytes Rx: 746190322 | IP Addr: 10.145.232.77 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:56 UTC Thu Jun 25 2020 | Duration: 4h:39m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1610670434 | Bytes Rx: 746190322 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 10 | Audit Session ID: 0a9107280000a0005ef43b40 | Security Group Tag: none | EasyVPN: 0 |Session ID: 10 | Audit Session ID: 0a9107280000a0005ef43b40 | Security Group Tag: none | EasyVPN: 0 ||
Username: szalmijn | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.121 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:13 UTC Thu Jun 25 2020 | Duration: 4h:37m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1259568729 | Bytes Rx: 1171425947 | IP Addr: 10.145.232.121 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:13 UTC Thu Jun 25 2020 | Duration: 4h:37m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1259568729 | Bytes Rx: 1171425947 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15 | Audit Session ID: 0a9107280000f0005ef43bc9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15 | Audit Session ID: 0a9107280000f0005ef43bc9 | Security Group Tag: none | EasyVPN: 0 ||
Username: navneetk | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.114 | Public IP: 42.109.204.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:30 UTC Thu Jun 25 2020 | Duration: 4h:32m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 599194358 | Bytes Rx: 35377217 | IP Addr: 10.145.232.114 | Public IP: 42.109.204.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:30 UTC Thu Jun 25 2020 | Duration: 4h:32m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 599194358 | Bytes Rx: 35377217 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 21 | Audit Session ID: 0a910728000150005ef43cca | Security Group Tag: none | EasyVPN: 0 |Session ID: 21 | Audit Session ID: 0a910728000150005ef43cca | Security Group Tag: none | EasyVPN: 0 ||
Username: jitesh.patil | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.126 | Public IP: 2.123.41.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:15 UTC Thu Jun 25 2020 | Duration: 4h:30m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 534301217 | Bytes Rx: 104432735 | IP Addr: 10.145.232.126 | Public IP: 2.123.41.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:15 UTC Thu Jun 25 2020 | Duration: 4h:30m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 534301217 | Bytes Rx: 104432735 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22 | Audit Session ID: 0a910728000160005ef43d6f | Security Group Tag: none | EasyVPN: 0 |Session ID: 22 | Audit Session ID: 0a910728000160005ef43d6f | Security Group Tag: none | EasyVPN: 0 ||
Username: ngorboto | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.89 | Public IP: 62.105.140.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:24 UTC Thu Jun 25 2020 | Duration: 4h:28m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 440188855 | Bytes Rx: 112001524 | IP Addr: 10.145.232.89 | Public IP: 62.105.140.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:24 UTC Thu Jun 25 2020 | Duration: 4h:28m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 440188855 | Bytes Rx: 112001524 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 23 | Audit Session ID: 0a910728000170005ef43df0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 23 | Audit Session ID: 0a910728000170005ef43df0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mgaus | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.110 | Public IP: 49.35.20.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:55 UTC Thu Jun 25 2020 | Duration: 4h:21m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 364373618 | Bytes Rx: 52555321 | IP Addr: 10.145.232.110 | Public IP: 49.35.20.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:55 UTC Thu Jun 25 2020 | Duration: 4h:21m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 364373618 | Bytes Rx: 52555321 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26 | Audit Session ID: 0a9107280001a0005ef43f77 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26 | Audit Session ID: 0a9107280001a0005ef43f77 | Security Group Tag: none | EasyVPN: 0 ||
Username: wschutt | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.128 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:33 UTC Thu Jun 25 2020 | Duration: 4h:18m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 149637482 | Bytes Rx: 76298792 | IP Addr: 10.145.232.128 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:33 UTC Thu Jun 25 2020 | Duration: 4h:18m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 149637482 | Bytes Rx: 76298792 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31 | Audit Session ID: 0a9107280001f0005ef44015 | Security Group Tag: none | EasyVPN: 0 |Session ID: 31 | Audit Session ID: 0a9107280001f0005ef44015 | Security Group Tag: none | EasyVPN: 0 ||
Username: rpawar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.92 | Public IP: 171.60.132.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:12:13 UTC Thu Jun 25 2020 | Duration: 4h:18m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 570429543 | Bytes Rx: 158755984 | IP Addr: 10.145.232.92 | Public IP: 171.60.132.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:12:13 UTC Thu Jun 25 2020 | Duration: 4h:18m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 570429543 | Bytes Rx: 158755984 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33 | Audit Session ID: 0a910728000210005ef4403d | Security Group Tag: none | EasyVPN: 0 |Session ID: 33 | Audit Session ID: 0a910728000210005ef4403d | Security Group Tag: none | EasyVPN: 0 ||
Username: narmstro | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.96 | Public IP: 82.46.1.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:36 UTC Thu Jun 25 2020 | Duration: 4h:14m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 73101008 | Bytes Rx: 34320303 | IP Addr: 10.145.232.96 | Public IP: 82.46.1.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:36 UTC Thu Jun 25 2020 | Duration: 4h:14m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 73101008 | Bytes Rx: 34320303 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 34 | Audit Session ID: 0a910728000220005ef44108 | Security Group Tag: none | EasyVPN: 0 |Session ID: 34 | Audit Session ID: 0a910728000220005ef44108 | Security Group Tag: none | EasyVPN: 0 ||
Username: stmacmah | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.105 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:32 UTC Thu Jun 25 2020 | Duration: 4h:13m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 643728404 | Bytes Rx: 477120914 | IP Addr: 10.145.232.105 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:32 UTC Thu Jun 25 2020 | Duration: 4h:13m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 643728404 | Bytes Rx: 477120914 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37 | Audit Session ID: 0a910728000250005ef44140 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37 | Audit Session ID: 0a910728000250005ef44140 | Security Group Tag: none | EasyVPN: 0 ||
Username: mwainwri | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.131 | Public IP: 85.255.236.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 UTC Thu Jun 25 2020 | Duration: 3h:52m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 377088690 | Bytes Rx: 63897415 | IP Addr: 10.145.232.131 | Public IP: 85.255.236.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 UTC Thu Jun 25 2020 | Duration: 3h:52m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 377088690 | Bytes Rx: 63897415 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43 | Audit Session ID: 0a9107280002b0005ef44650 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43 | Audit Session ID: 0a9107280002b0005ef44650 | Security Group Tag: none | EasyVPN: 0 ||
