sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: vvelu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 11h:51m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 630940389 | Bytes Rx: 342783550 | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 11h:51m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 630940389 | Bytes Rx: 342783550 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.229 | Public IP: 157.48.217.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:09 IST Thu Jun 25 2020 | Duration: 11h:39m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 606322869 | Bytes Rx: 88175792 | IP Addr: 10.149.232.229 | Public IP: 157.48.217.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:09 IST Thu Jun 25 2020 | Duration: 11h:39m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 606322869 | Bytes Rx: 88175792 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172178 | Audit Session ID: 0a95072a2a0920005ef3f4fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 172178 | Audit Session ID: 0a95072a2a0920005ef3f4fd | Security Group Tag: none | EasyVPN: 0 ||
Username: faizal.karim | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.54 | Public IP: 182.77.4.178 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:28 IST Thu Jun 25 2020 | Duration: 10h:09m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1113225874 | Bytes Rx: 344997142 | IP Addr: 10.149.232.54 | Public IP: 182.77.4.178 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:28 IST Thu Jun 25 2020 | Duration: 10h:09m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1113225874 | Bytes Rx: 344997142 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172211 | Audit Session ID: 0a95072a2a0b30005ef409ec | Security Group Tag: none | EasyVPN: 0 |Session ID: 172211 | Audit Session ID: 0a95072a2a0b30005ef409ec | Security Group Tag: none | EasyVPN: 0 ||
Username: sarmurug | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.60 | Public IP: 106.208.74.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:57:21 IST Thu Jun 25 2020 | Duration: 10h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 114534594 | Bytes Rx: 98692057 | IP Addr: 10.149.232.60 | Public IP: 106.208.74.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:57:21 IST Thu Jun 25 2020 | Duration: 10h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 114534594 | Bytes Rx: 98692057 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172218 | Audit Session ID: 0a95072a2a0ba0005ef40b89 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172218 | Audit Session ID: 0a95072a2a0ba0005ef40b89 | Security Group Tag: none | EasyVPN: 0 ||
Username: gvadivel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.77 | Public IP: 157.50.74.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:40 IST Thu Jun 25 2020 | Duration: 9h:54m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 249259383 | Bytes Rx: 161373734 | IP Addr: 10.149.233.77 | Public IP: 157.50.74.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:40 IST Thu Jun 25 2020 | Duration: 9h:54m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 249259383 | Bytes Rx: 161373734 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172223 | Audit Session ID: 0a95072a2a0bf0005ef40d7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 172223 | Audit Session ID: 0a95072a2a0bf0005ef40d7c | Security Group Tag: none | EasyVPN: 0 ||
Username: ramakg | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.80 | Public IP: 106.208.141.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:18 IST Thu Jun 25 2020 | Duration: 9h:45m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 2721116965 | Bytes Rx: 386803589 | IP Addr: 10.149.233.80 | Public IP: 106.208.141.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:18 IST Thu Jun 25 2020 | Duration: 9h:45m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 2721116965 | Bytes Rx: 386803589 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172237 | Audit Session ID: 0a95072a2a0cd0005ef40fbe | Security Group Tag: none | EasyVPN: 0 |Session ID: 172237 | Audit Session ID: 0a95072a2a0cd0005ef40fbe | Security Group Tag: none | EasyVPN: 0 ||
Username: vramakri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.116 | Public IP: 157.50.68.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:51 IST Thu Jun 25 2020 | Duration: 9h:40m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 1233567722 | Bytes Rx: 160090060 | IP Addr: 10.149.232.116 | Public IP: 157.50.68.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:51 IST Thu Jun 25 2020 | Duration: 9h:40m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 1233567722 | Bytes Rx: 160090060 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172243 | Audit Session ID: 0a95072a2a0d30005ef410cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 172243 | Audit Session ID: 0a95072a2a0d30005ef410cf | Security Group Tag: none | EasyVPN: 0 ||
Username: ramuruge | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.119 | Public IP: 106.198.111.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:20:24 IST Thu Jun 25 2020 | Duration: 9h:39m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 176476718 | Bytes Rx: 67742947 | IP Addr: 10.149.232.119 | Public IP: 106.198.111.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:20:24 IST Thu Jun 25 2020 | Duration: 9h:39m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 176476718 | Bytes Rx: 67742947 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172246 | Audit Session ID: 0a95072a2a0d60005ef410f0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172246 | Audit Session ID: 0a95072a2a0d60005ef410f0 | Security Group Tag: none | EasyVPN: 0 ||
Username: JVENKATE | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.120 | Public IP: 157.46.16.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:20:50 IST Thu Jun 25 2020 | Duration: 9h:39m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 230560502 | Bytes Rx: 127045277 | IP Addr: 10.149.232.120 | Public IP: 157.46.16.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:20:50 IST Thu Jun 25 2020 | Duration: 9h:39m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 230560502 | Bytes Rx: 127045277 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172247 | Audit Session ID: 0a95072a2a0d70005ef4110a | Security Group Tag: none | EasyVPN: 0 |Session ID: 172247 | Audit Session ID: 0a95072a2a0d70005ef4110a | Security Group Tag: none | EasyVPN: 0 ||
Username: raghulne | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.124 | Public IP: 1.22.46.221 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:38:43 IST Thu Jun 25 2020 | Duration: 9h:21m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 415801738 | Bytes Rx: 247550976 | IP Addr: 10.149.232.124 | Public IP: 1.22.46.221 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:38:43 IST Thu Jun 25 2020 | Duration: 9h:21m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 415801738 | Bytes Rx: 247550976 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172252 | Audit Session ID: 0a95072a2a0dc0005ef4153b | Security Group Tag: none | EasyVPN: 0 |Session ID: 172252 | Audit Session ID: 0a95072a2a0dc0005ef4153b | Security Group Tag: none | EasyVPN: 0 ||
Username: Ntejeswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.126 | Public IP: 49.37.8.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:44 IST Thu Jun 25 2020 | Duration: 9h:20m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 192071144 | Bytes Rx: 80464965 | IP Addr: 10.149.232.126 | Public IP: 49.37.8.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:44 IST Thu Jun 25 2020 | Duration: 9h:20m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 192071144 | Bytes Rx: 80464965 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172254 | Audit Session ID: 0a95072a2a0de0005ef41578 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172254 | Audit Session ID: 0a95072a2a0de0005ef41578 | Security Group Tag: none | EasyVPN: 0 ||
