sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: abenzare | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.119 | Public IP: 5.107.204.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:49:15 UTC Thu Jun 25 2020 | Duration: 6h:41m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 313203367 | Bytes Rx: 160232909 | IP Addr: 10.145.232.119 | Public IP: 5.107.204.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:49:15 UTC Thu Jun 25 2020 | Duration: 6h:41m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 313203367 | Bytes Rx: 160232909 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9 | Audit Session ID: 0a910728000090005ef43adb | Security Group Tag: none | EasyVPN: 0 |Session ID: 9 | Audit Session ID: 0a910728000090005ef43adb | Security Group Tag: none | EasyVPN: 0 ||
Username: yvomaspa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.77 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:56 UTC Thu Jun 25 2020 | Duration: 6h:39m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 1994266337 | Bytes Rx: 780226096 | IP Addr: 10.145.232.77 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:56 UTC Thu Jun 25 2020 | Duration: 6h:39m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 1994266337 | Bytes Rx: 780226096 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 10 | Audit Session ID: 0a9107280000a0005ef43b40 | Security Group Tag: none | EasyVPN: 0 |Session ID: 10 | Audit Session ID: 0a9107280000a0005ef43b40 | Security Group Tag: none | EasyVPN: 0 ||
Username: szalmijn | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.121 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:13 UTC Thu Jun 25 2020 | Duration: 6h:37m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1564613013 | Bytes Rx: 1229546918 | IP Addr: 10.145.232.121 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:53:13 UTC Thu Jun 25 2020 | Duration: 6h:37m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1564613013 | Bytes Rx: 1229546918 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15 | Audit Session ID: 0a9107280000f0005ef43bc9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15 | Audit Session ID: 0a9107280000f0005ef43bc9 | Security Group Tag: none | EasyVPN: 0 ||
Username: navneetk | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.114 | Public IP: 157.36.172.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:30 UTC Thu Jun 25 2020 | Duration: 6h:32m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 639853484 | Bytes Rx: 41869328 | IP Addr: 10.145.232.114 | Public IP: 157.36.172.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:30 UTC Thu Jun 25 2020 | Duration: 6h:32m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 639853484 | Bytes Rx: 41869328 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 21 | Audit Session ID: 0a910728000150005ef43cca | Security Group Tag: none | EasyVPN: 0 |Session ID: 21 | Audit Session ID: 0a910728000150005ef43cca | Security Group Tag: none | EasyVPN: 0 ||
Username: jitesh.patil | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.126 | Public IP: 2.123.41.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:15 UTC Thu Jun 25 2020 | Duration: 6h:30m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 715747987 | Bytes Rx: 167494380 | IP Addr: 10.145.232.126 | Public IP: 2.123.41.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:15 UTC Thu Jun 25 2020 | Duration: 6h:30m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 715747987 | Bytes Rx: 167494380 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22 | Audit Session ID: 0a910728000160005ef43d6f | Security Group Tag: none | EasyVPN: 0 |Session ID: 22 | Audit Session ID: 0a910728000160005ef43d6f | Security Group Tag: none | EasyVPN: 0 ||
Username: mgaus | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.110 | Public IP: 49.35.20.134 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:08:55 UTC Thu Jun 25 2020 | Duration: 6h:21m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 635836517 | Bytes Rx: 83994933 | IP Addr: 10.145.232.110 | Public IP: 49.35.20.134 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:08:55 UTC Thu Jun 25 2020 | Duration: 6h:21m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 635836517 | Bytes Rx: 83994933 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26 | Audit Session ID: 0a9107280001a0005ef43f77 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26 | Audit Session ID: 0a9107280001a0005ef43f77 | Security Group Tag: none | EasyVPN: 0 ||
Username: wschutt | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.128 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:33 UTC Thu Jun 25 2020 | Duration: 6h:18m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 224946687 | Bytes Rx: 112330392 | IP Addr: 10.145.232.128 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:33 UTC Thu Jun 25 2020 | Duration: 6h:18m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 224946687 | Bytes Rx: 112330392 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31 | Audit Session ID: 0a9107280001f0005ef44015 | Security Group Tag: none | EasyVPN: 0 |Session ID: 31 | Audit Session ID: 0a9107280001f0005ef44015 | Security Group Tag: none | EasyVPN: 0 ||
Username: stmacmah | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.105 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:32 UTC Thu Jun 25 2020 | Duration: 6h:13m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1632531717 | Bytes Rx: 1014692246 | IP Addr: 10.145.232.105 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:32 UTC Thu Jun 25 2020 | Duration: 6h:13m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1632531717 | Bytes Rx: 1014692246 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37 | Audit Session ID: 0a910728000250005ef44140 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37 | Audit Session ID: 0a910728000250005ef44140 | Security Group Tag: none | EasyVPN: 0 ||
Username: mwainwri | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.131 | Public IP: 148.252.129.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 UTC Thu Jun 25 2020 | Duration: 5h:52m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 541664486 | Bytes Rx: 116241375 | IP Addr: 10.145.232.131 | Public IP: 148.252.129.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 UTC Thu Jun 25 2020 | Duration: 5h:52m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 541664486 | Bytes Rx: 116241375 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 43 | Audit Session ID: 0a9107280002b0005ef44650 | Security Group Tag: none | EasyVPN: 0 |Session ID: 43 | Audit Session ID: 0a9107280002b0005ef44650 | Security Group Tag: none | EasyVPN: 0 ||
Username: prmondal | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.81 | Public IP: 47.11.228.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:08 UTC Thu Jun 25 2020 | Duration: 5h:44m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 836937078 | Bytes Rx: 39777108 | IP Addr: 10.145.232.81 | Public IP: 47.11.228.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:08 UTC Thu Jun 25 2020 | Duration: 5h:44m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 836937078 | Bytes Rx: 39777108 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 47 | Audit Session ID: 0a9107280002f0005ef44830 | Security Group Tag: none | EasyVPN: 0 |Session ID: 47 | Audit Session ID: 0a9107280002f0005ef44830 | Security Group Tag: none | EasyVPN: 0 ||
Username: ahamadac | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.93 | Public IP: 46.208.217.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:53 UTC Thu Jun 25 2020 | Duration: 5h:40m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 698405591 | Bytes Rx: 284254336 | IP Addr: 10.145.232.93 | Public IP: 46.208.217.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:53 UTC Thu Jun 25 2020 | Duration: 5h:40m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 698405591 | Bytes Rx: 284254336 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 51 | Audit Session ID: 0a910728000330005ef44911 | Security Group Tag: none | EasyVPN: 0 |Session ID: 51 | Audit Session ID: 0a910728000330005ef44911 | Security Group Tag: none | EasyVPN: 0 ||
