sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: prangasa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.62 | Public IP: 157.46.28.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:55 IST Thu Jun 25 2020 | Duration: 20h:31m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 924517949 | Bytes Rx: 352641212 | IP Addr: 10.149.232.62 | Public IP: 157.46.28.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:55 IST Thu Jun 25 2020 | Duration: 20h:31m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 924517949 | Bytes Rx: 352641212 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172425 | Audit Session ID: 0a95072a2a1890005ef42627 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172425 | Audit Session ID: 0a95072a2a1890005ef42627 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksubbiah | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.44 | Public IP: 49.207.132.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:11 IST Thu Jun 25 2020 | Duration: 19h:23m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 712295879 | Bytes Rx: 241452584 | IP Addr: 10.149.233.44 | Public IP: 49.207.132.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:11 IST Thu Jun 25 2020 | Duration: 19h:23m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 712295879 | Bytes Rx: 241452584 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172728 | Audit Session ID: 0a95072a2a2b80005ef435eb | Security Group Tag: none | EasyVPN: 0 |Session ID: 172728 | Audit Session ID: 0a95072a2a2b80005ef435eb | Security Group Tag: none | EasyVPN: 0 ||
Username: soumygho | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.177 | Public IP: 115.99.245.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:44:06 IST Thu Jun 25 2020 | Duration: 18h:37m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 262050575 | Bytes Rx: 84492295 | IP Addr: 10.149.232.177 | Public IP: 115.99.245.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:44:06 IST Thu Jun 25 2020 | Duration: 18h:37m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 262050575 | Bytes Rx: 84492295 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172898 | Audit Session ID: 0a95072a2a3620005ef440ae | Security Group Tag: none | EasyVPN: 0 |Session ID: 172898 | Audit Session ID: 0a95072a2a3620005ef440ae | Security Group Tag: none | EasyVPN: 0 ||
Username: robins.kurian | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.90 | Public IP: 137.97.138.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:22:39 IST Thu Jun 25 2020 | Duration: 17h:59m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 3456193011 | Bytes Rx: 789976757 | IP Addr: 10.149.232.90 | Public IP: 137.97.138.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:22:39 IST Thu Jun 25 2020 | Duration: 17h:59m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 3456193011 | Bytes Rx: 789976757 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173040 | Audit Session ID: 0a95072a2a3f00005ef449b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173040 | Audit Session ID: 0a95072a2a3f00005ef449b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: dhykotha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.45 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:58 IST Thu Jun 25 2020 | Duration: 17h:12m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 826074802 | Bytes Rx: 497777659 | IP Addr: 10.149.233.45 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:58 IST Thu Jun 25 2020 | Duration: 17h:12m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 826074802 | Bytes Rx: 497777659 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173326 | Audit Session ID: 0a95072a2a50e0005ef454ce | Security Group Tag: none | EasyVPN: 0 |Session ID: 173326 | Audit Session ID: 0a95072a2a50e0005ef454ce | Security Group Tag: none | EasyVPN: 0 ||
Username: rrangana | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.241.114 | Public IP: 49.205.78.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:21:49 IST Thu Jun 25 2020 | Duration: 17h:00m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2256210057 | Bytes Rx: 251699239 | IP Addr: 10.149.241.114 | Public IP: 49.205.78.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:21:49 IST Thu Jun 25 2020 | Duration: 17h:00m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2256210057 | Bytes Rx: 251699239 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173395 | Audit Session ID: 0a95072a2a5530005ef45795 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173395 | Audit Session ID: 0a95072a2a5530005ef45795 | Security Group Tag: none | EasyVPN: 0 ||
Username: npasupul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.240.25 | Public IP: 60.243.182.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:45 IST Thu Jun 25 2020 | Duration: 12h:57m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 303043902 | Bytes Rx: 103327087 | IP Addr: 10.149.240.25 | Public IP: 60.243.182.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:45 IST Thu Jun 25 2020 | Duration: 12h:57m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 303043902 | Bytes Rx: 103327087 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173977 | Audit Session ID: 0a95072a2a7990005ef49085 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173977 | Audit Session ID: 0a95072a2a7990005ef49085 | Security Group Tag: none | EasyVPN: 0 ||
Username: satviswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.145 | Public IP: 157.46.42.185 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:31:37 IST Thu Jun 25 2020 | Duration: 12h:50m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 541147637 | Bytes Rx: 193109872 | IP Addr: 10.149.232.145 | Public IP: 157.46.42.185 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:31:37 IST Thu Jun 25 2020 | Duration: 12h:50m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 541147637 | Bytes Rx: 193109872 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173990 | Audit Session ID: 0a95072a2a7a60005ef49221 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173990 | Audit Session ID: 0a95072a2a7a60005ef49221 | Security Group Tag: none | EasyVPN: 0 ||
Username: sendhil.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.193 | Public IP: 27.6.187.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:29:40 IST Thu Jun 25 2020 | Duration: 11h:52m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 466325186 | Bytes Rx: 201121846 | IP Addr: 10.149.232.193 | Public IP: 27.6.187.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:29:40 IST Thu Jun 25 2020 | Duration: 11h:52m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 466325186 | Bytes Rx: 201121846 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174103 | Audit Session ID: 0a95072a2a8170005ef49fbc | Security Group Tag: none | EasyVPN: 0 |Session ID: 174103 | Audit Session ID: 0a95072a2a8170005ef49fbc | Security Group Tag: none | EasyVPN: 0 ||
Username: swadmare | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.46 | Public IP: 59.88.8.128 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:11 IST Thu Jun 25 2020 | Duration: 9h:11m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 498207568 | Bytes Rx: 47468447 | IP Addr: 10.149.232.46 | Public IP: 59.88.8.128 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:11 IST Thu Jun 25 2020 | Duration: 9h:11m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 498207568 | Bytes Rx: 47468447 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174300 | Audit Session ID: 0a95072a2a8dc0005ef4c55b | Security Group Tag: none | EasyVPN: 0 |Session ID: 174300 | Audit Session ID: 0a95072a2a8dc0005ef4c55b | Security Group Tag: none | EasyVPN: 0 ||
Username: gitjadha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.254 | Public IP: 203.192.199.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:45:59 IST Thu Jun 25 2020 | Duration: 8h:36m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 981173788 | Bytes Rx: 128142717 | IP Addr: 10.149.232.254 | Public IP: 203.192.199.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:45:59 IST Thu Jun 25 2020 | Duration: 8h:36m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 981173788 | Bytes Rx: 128142717 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174329 | Audit Session ID: 0a95072a2a8f90005ef4cdbf | Security Group Tag: none | EasyVPN: 0 |Session ID: 174329 | Audit Session ID: 0a95072a2a8f90005ef4cdbf | Security Group Tag: none | EasyVPN: 0 ||
