sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.155 | Public IP: 183.83.131.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:22:30 IST Tue Jun 23 2020 | Duration: 2d 8h:59m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 1237225829 | Bytes Rx: 900580742 | IP Addr: 10.150.236.155 | Public IP: 183.83.131.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:22:30 IST Tue Jun 23 2020 | Duration: 2d 8h:59m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 1237225829 | Bytes Rx: 900580742 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54675 | Audit Session ID: 0a96cf690d5930005ef2253e | Security Group Tag: none | EasyVPN: 0 |Session ID: 54675 | Audit Session ID: 0a96cf690d5930005ef2253e | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.58 | Public IP: 182.57.231.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 2d 8h:07m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 5742540940 | Bytes Rx: 1156695720 | IP Addr: 10.150.237.58 | Public IP: 182.57.231.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 2d 8h:07m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 5742540940 | Bytes Rx: 1156695720 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 |Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 ||
Username: RaviJais | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.135 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:30:34 IST Wed Jun 24 2020 | Duration: 1d 19h:51m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 3572463242 | Bytes Rx: 5967298827 | IP Addr: 10.150.244.135 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:30:34 IST Wed Jun 24 2020 | Duration: 1d 19h:51m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 3572463242 | Bytes Rx: 5967298827 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 56063 | Audit Session ID: 0a96cf690daff0005ef2ddf2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 56063 | Audit Session ID: 0a96cf690daff0005ef2ddf2 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.46 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:44 IST Thu Jun 25 2020 | Duration: 23h:20m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1153285622 | Bytes Rx: 160440794 | IP Addr: 10.150.237.46 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:44 IST Thu Jun 25 2020 | Duration: 23h:20m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1153285622 | Bytes Rx: 160440794 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 59072 | Audit Session ID: 0a96cf690e6c00005ef3fe80 | Security Group Tag: none | EasyVPN: 0 |Session ID: 59072 | Audit Session ID: 0a96cf690e6c00005ef3fe80 | Security Group Tag: none | EasyVPN: 0 ||
Username: dhruchak | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.97 | Public IP: 103.95.82.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:07:17 IST Thu Jun 25 2020 | Duration: 19h:14m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 3055947072 | Bytes Rx: 705054370 | IP Addr: 10.150.244.97 | Public IP: 103.95.82.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:07:17 IST Thu Jun 25 2020 | Duration: 19h:14m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 3055947072 | Bytes Rx: 705054370 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60169 | Audit Session ID: 0a96cf690eb090005ef4380d | Security Group Tag: none | EasyVPN: 0 |Session ID: 60169 | Audit Session ID: 0a96cf690eb090005ef4380d | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.33 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:12:46 IST Thu Jun 25 2020 | Duration: 19h:09m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 237146579 | Bytes Rx: 84456573 | IP Addr: 10.150.237.33 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:12:46 IST Thu Jun 25 2020 | Duration: 19h:09m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 237146579 | Bytes Rx: 84456573 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60197 | Audit Session ID: 0a96cf690eb250005ef43956 | Security Group Tag: none | EasyVPN: 0 |Session ID: 60197 | Audit Session ID: 0a96cf690eb250005ef43956 | Security Group Tag: none | EasyVPN: 0 ||
Username: RAUKumar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.203 | Public IP: 14.143.240.170 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 15:31:24 IST Thu Jun 25 2020 | Duration: 14h:50m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1364711797 | Bytes Rx: 127404458 | IP Addr: 10.150.236.203 | Public IP: 14.143.240.170 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 15:31:24 IST Thu Jun 25 2020 | Duration: 14h:50m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1364711797 | Bytes Rx: 127404458 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61414 | Audit Session ID: 0a96cf690efe60005ef475f4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 61414 | Audit Session ID: 0a96cf690efe60005ef475f4 | Security Group Tag: none | EasyVPN: 0 ||
Username: nkaurav | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.251 | Public IP: 122.167.29.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:06:29 IST Thu Jun 25 2020 | Duration: 13h:15m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 140159489 | Bytes Rx: 216612031 | IP Addr: 10.150.244.251 | Public IP: 122.167.29.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:06:29 IST Thu Jun 25 2020 | Duration: 13h:15m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 140159489 | Bytes Rx: 216612031 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61743 | Audit Session ID: 0a96cf690f12f0005ef48c3d | Security Group Tag: none | EasyVPN: 0 |Session ID: 61743 | Audit Session ID: 0a96cf690f12f0005ef48c3d | Security Group Tag: none | EasyVPN: 0 ||
Username: mehulp | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.220 | Public IP: 157.47.53.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:21:05 IST Thu Jun 25 2020 | Duration: 13h:00m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 170559963 | Bytes Rx: 38431168 | IP Addr: 10.150.237.220 | Public IP: 157.47.53.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:21:05 IST Thu Jun 25 2020 | Duration: 13h:00m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 170559963 | Bytes Rx: 38431168 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61777 | Audit Session ID: 0a96cf690f1510005ef48fa9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 61777 | Audit Session ID: 0a96cf690f1510005ef48fa9 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 11h:33m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 262304327 | Bytes Rx: 335624444 | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 11h:33m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 262304327 | Bytes Rx: 335624444 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 ||
Username: AKawale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.56 | Public IP: 106.193.138.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:54:34 IST Thu Jun 25 2020 | Duration: 11h:27m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 724351780 | Bytes Rx: 207421455 | IP Addr: 10.150.237.56 | Public IP: 106.193.138.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:54:34 IST Thu Jun 25 2020 | Duration: 11h:27m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 724351780 | Bytes Rx: 207421455 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62104 | Audit Session ID: 0a96cf690f2980005ef4a592 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62104 | Audit Session ID: 0a96cf690f2980005ef4a592 | Security Group Tag: none | EasyVPN: 0 ||
