sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ksubbiah | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.44 | Public IP: 49.207.132.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:11 IST Thu Jun 25 2020 | Duration: 21h:35m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 717394639 | Bytes Rx: 245197236 | IP Addr: 10.149.233.44 | Public IP: 49.207.132.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:11 IST Thu Jun 25 2020 | Duration: 21h:35m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 717394639 | Bytes Rx: 245197236 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172728 | Audit Session ID: 0a95072a2a2b80005ef435eb | Security Group Tag: none | EasyVPN: 0 |Session ID: 172728 | Audit Session ID: 0a95072a2a2b80005ef435eb | Security Group Tag: none | EasyVPN: 0 ||
Username: soumygho | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.177 | Public IP: 115.99.245.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:44:06 IST Thu Jun 25 2020 | Duration: 20h:49m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 280413016 | Bytes Rx: 94119757 | IP Addr: 10.149.232.177 | Public IP: 115.99.245.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:44:06 IST Thu Jun 25 2020 | Duration: 20h:49m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 280413016 | Bytes Rx: 94119757 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172898 | Audit Session ID: 0a95072a2a3620005ef440ae | Security Group Tag: none | EasyVPN: 0 |Session ID: 172898 | Audit Session ID: 0a95072a2a3620005ef440ae | Security Group Tag: none | EasyVPN: 0 ||
Username: dhykotha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.45 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:58 IST Thu Jun 25 2020 | Duration: 19h:23m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 832040275 | Bytes Rx: 502253113 | IP Addr: 10.149.233.45 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:58 IST Thu Jun 25 2020 | Duration: 19h:23m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 832040275 | Bytes Rx: 502253113 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173326 | Audit Session ID: 0a95072a2a50e0005ef454ce | Security Group Tag: none | EasyVPN: 0 |Session ID: 173326 | Audit Session ID: 0a95072a2a50e0005ef454ce | Security Group Tag: none | EasyVPN: 0 ||
Username: rrangana | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.241.114 | Public IP: 49.205.78.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:21:49 IST Thu Jun 25 2020 | Duration: 19h:11m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2301712577 | Bytes Rx: 258156803 | IP Addr: 10.149.241.114 | Public IP: 49.205.78.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:21:49 IST Thu Jun 25 2020 | Duration: 19h:11m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2301712577 | Bytes Rx: 258156803 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173395 | Audit Session ID: 0a95072a2a5530005ef45795 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173395 | Audit Session ID: 0a95072a2a5530005ef45795 | Security Group Tag: none | EasyVPN: 0 ||
Username: npasupul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.240.25 | Public IP: 157.48.220.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:45 IST Thu Jun 25 2020 | Duration: 15h:08m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 347344508 | Bytes Rx: 120067032 | IP Addr: 10.149.240.25 | Public IP: 157.48.220.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:45 IST Thu Jun 25 2020 | Duration: 15h:08m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 347344508 | Bytes Rx: 120067032 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173977 | Audit Session ID: 0a95072a2a7990005ef49085 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173977 | Audit Session ID: 0a95072a2a7990005ef49085 | Security Group Tag: none | EasyVPN: 0 ||
Username: satviswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.145 | Public IP: 157.46.42.185 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:31:37 IST Thu Jun 25 2020 | Duration: 15h:01m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 555112930 | Bytes Rx: 200904249 | IP Addr: 10.149.232.145 | Public IP: 157.46.42.185 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:31:37 IST Thu Jun 25 2020 | Duration: 15h:01m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 555112930 | Bytes Rx: 200904249 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173990 | Audit Session ID: 0a95072a2a7a60005ef49221 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173990 | Audit Session ID: 0a95072a2a7a60005ef49221 | Security Group Tag: none | EasyVPN: 0 ||
Username: pkamalak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.238 | Public IP: 157.50.127.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:11:51 IST Thu Jun 25 2020 | Duration: 10h:21m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 568296750 | Bytes Rx: 65999008 | IP Addr: 10.149.232.238 | Public IP: 157.50.127.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:11:51 IST Thu Jun 25 2020 | Duration: 10h:21m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 568296750 | Bytes Rx: 65999008 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174355 | Audit Session ID: 0a95072a2a9130005ef4d3cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 174355 | Audit Session ID: 0a95072a2a9130005ef4d3cf | Security Group Tag: none | EasyVPN: 0 ||
Username: shubhsri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.229 | Public IP: 122.163.210.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:56:10 IST Thu Jun 25 2020 | Duration: 8h:37m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 83312084 | Bytes Rx: 33971602 | IP Addr: 10.149.233.229 | Public IP: 122.163.210.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:56:10 IST Thu Jun 25 2020 | Duration: 8h:37m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 83312084 | Bytes Rx: 33971602 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174456 | Audit Session ID: 0a95072a2a9780005ef4ec42 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174456 | Audit Session ID: 0a95072a2a9780005ef4ec42 | Security Group Tag: none | EasyVPN: 0 ||
Username: sivnatar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC6 | IP Addr: 10.149.248.102 | Public IP: 157.50.19.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:25 IST Fri Jun 26 2020 | Duration: 2h:45m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 156462114 | Bytes Rx: 98583949 | IP Addr: 10.149.248.102 | Public IP: 157.50.19.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:25 IST Fri Jun 26 2020 | Duration: 2h:45m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 156462114 | Bytes Rx: 98583949 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174482 | Audit Session ID: 0a95072a2a9920005ef53e95 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174482 | Audit Session ID: 0a95072a2a9920005ef53e95 | Security Group Tag: none | EasyVPN: 0 ||
Username: bsudalai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.91 | Public IP: 157.46.14.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:15 IST Fri Jun 26 2020 | Duration: 2h:26m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 10690063 | Bytes Rx: 2602623 | IP Addr: 10.149.232.91 | Public IP: 157.46.14.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:15 IST Fri Jun 26 2020 | Duration: 2h:26m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 10690063 | Bytes Rx: 2602623 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174487 | Audit Session ID: 0a95072a2a9970005ef5433b | Security Group Tag: none | EasyVPN: 0 |Session ID: 174487 | Audit Session ID: 0a95072a2a9970005ef5433b | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.92 | Public IP: 157.48.221.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:35 IST Fri Jun 26 2020 | Duration: 2h:19m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 37440773 | Bytes Rx: 17284528 | IP Addr: 10.149.232.92 | Public IP: 157.48.221.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:35 IST Fri Jun 26 2020 | Duration: 2h:19m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 37440773 | Bytes Rx: 17284528 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174488 | Audit Session ID: 0a95072a2a9980005ef544b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174488 | Audit Session ID: 0a95072a2a9980005ef544b7 | Security Group Tag: none | EasyVPN: 0 ||
