sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.58 | Public IP: 182.57.231.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 2d 10h:18m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 5762088301 | Bytes Rx: 1166439592 | IP Addr: 10.150.237.58 | Public IP: 182.57.231.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 2d 10h:18m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 5762088301 | Bytes Rx: 1166439592 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 |Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 ||
Username: RaviJais | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.135 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:30:34 IST Wed Jun 24 2020 | Duration: 1d 22h:02m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 3579651196 | Bytes Rx: 5970602018 | IP Addr: 10.150.244.135 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:30:34 IST Wed Jun 24 2020 | Duration: 1d 22h:02m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 3579651196 | Bytes Rx: 5970602018 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 56063 | Audit Session ID: 0a96cf690daff0005ef2ddf2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 56063 | Audit Session ID: 0a96cf690daff0005ef2ddf2 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.46 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:44 IST Thu Jun 25 2020 | Duration: 1d 1h:31m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 1166396482 | Bytes Rx: 164243531 | IP Addr: 10.150.237.46 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:44 IST Thu Jun 25 2020 | Duration: 1d 1h:31m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 1166396482 | Bytes Rx: 164243531 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 59072 | Audit Session ID: 0a96cf690e6c00005ef3fe80 | Security Group Tag: none | EasyVPN: 0 |Session ID: 59072 | Audit Session ID: 0a96cf690e6c00005ef3fe80 | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.33 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:12:46 IST Thu Jun 25 2020 | Duration: 21h:20m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 249374327 | Bytes Rx: 89568312 | IP Addr: 10.150.237.33 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:12:46 IST Thu Jun 25 2020 | Duration: 21h:20m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 249374327 | Bytes Rx: 89568312 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60197 | Audit Session ID: 0a96cf690eb250005ef43956 | Security Group Tag: none | EasyVPN: 0 |Session ID: 60197 | Audit Session ID: 0a96cf690eb250005ef43956 | Security Group Tag: none | EasyVPN: 0 ||
Username: nkaurav | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.251 | Public IP: 122.167.29.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:06:29 IST Thu Jun 25 2020 | Duration: 15h:26m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 204262465 | Bytes Rx: 225539827 | IP Addr: 10.150.244.251 | Public IP: 122.167.29.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:06:29 IST Thu Jun 25 2020 | Duration: 15h:26m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 204262465 | Bytes Rx: 225539827 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61743 | Audit Session ID: 0a96cf690f12f0005ef48c3d | Security Group Tag: none | EasyVPN: 0 |Session ID: 61743 | Audit Session ID: 0a96cf690f12f0005ef48c3d | Security Group Tag: none | EasyVPN: 0 ||
Username: mehulp | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.220 | Public IP: 157.47.53.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:21:05 IST Thu Jun 25 2020 | Duration: 15h:12m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 181259772 | Bytes Rx: 43147223 | IP Addr: 10.150.237.220 | Public IP: 157.47.53.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:21:05 IST Thu Jun 25 2020 | Duration: 15h:12m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 181259772 | Bytes Rx: 43147223 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 61777 | Audit Session ID: 0a96cf690f1510005ef48fa9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 61777 | Audit Session ID: 0a96cf690f1510005ef48fa9 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 13h:44m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 269079647 | Bytes Rx: 339588834 | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 13h:44m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 269079647 | Bytes Rx: 339588834 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.24 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:35:49 IST Thu Jun 25 2020 | Duration: 12h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 589482160 | Bytes Rx: 427585215 | IP Addr: 10.150.236.24 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:35:49 IST Thu Jun 25 2020 | Duration: 12h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 589482160 | Bytes Rx: 427585215 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62202 | Audit Session ID: 0a96cf690f2fa0005ef4af3d | Security Group Tag: none | EasyVPN: 0 |Session ID: 62202 | Audit Session ID: 0a96cf690f2fa0005ef4af3d | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.101 | Public IP: 49.35.55.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:53 IST Thu Jun 25 2020 | Duration: 11h:44m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 395194847 | Bytes Rx: 185612556 | IP Addr: 10.150.237.101 | Public IP: 49.35.55.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:53 IST Thu Jun 25 2020 | Duration: 11h:44m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 395194847 | Bytes Rx: 185612556 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62390 | Audit Session ID: 0a96cf690f3b60005ef4c05d | Security Group Tag: none | EasyVPN: 0 |Session ID: 62390 | Audit Session ID: 0a96cf690f3b60005ef4c05d | Security Group Tag: none | EasyVPN: 0 ||
Username: PushkSon | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.109 | Public IP: 103.141.116.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:58 IST Thu Jun 25 2020 | Duration: 11h:44m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 3697333937 | Bytes Rx: 317522162 | IP Addr: 10.150.237.109 | Public IP: 103.141.116.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:58 IST Thu Jun 25 2020 | Duration: 11h:44m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 3697333937 | Bytes Rx: 317522162 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62391 | Audit Session ID: 0a96cf690f3b70005ef4c062 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62391 | Audit Session ID: 0a96cf690f3b70005ef4c062 | Security Group Tag: none | EasyVPN: 0 ||
Username: lchidura | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:25:50 IST Thu Jun 25 2020 | Duration: 11h:07m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 95260334 | Bytes Rx: 22527511 | IP Addr: 10.150.236.53 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:25:50 IST Thu Jun 25 2020 | Duration: 11h:07m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 95260334 | Bytes Rx: 22527511 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62476 | Audit Session ID: 0a96cf690f40c0005ef4c906 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62476 | Audit Session ID: 0a96cf690f40c0005ef4c906 | Security Group Tag: none | EasyVPN: 0 ||
