sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 4d 12h:13m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 9899795693 | Bytes Rx: 1761968721 | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 4d 12h:13m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 9899795693 | Bytes Rx: 1761968721 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 ||
Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.62 | Public IP: 49.37.206.104 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:25:20 IST Wed Jun 24 2020 | Duration: 2d 2h:37m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 58664934308 | Bytes Rx: 2930791617 | IP Addr: 10.149.234.62 | Public IP: 49.37.206.104 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:25:20 IST Wed Jun 24 2020 | Duration: 2d 2h:37m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 58664934308 | Bytes Rx: 2930791617 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188663 | Audit Session ID: 0a95072b2e0f70005ef2c098 | Security Group Tag: none | EasyVPN: 0 |Session ID: 188663 | Audit Session ID: 0a95072b2e0f70005ef2c098 | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 0h:20m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 2117035696 | Bytes Rx: 449044379 | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 0h:20m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 2117035696 | Bytes Rx: 449044379 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 ||
Username: vasukris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 23h:16m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 522223345 | Bytes Rx: 165305936 | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 23h:16m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 522223345 | Bytes Rx: 165305936 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 |Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 ||
Username: Navselva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.216 | Public IP: 27.7.78.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 7h:04m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 585704447 | Bytes Rx: 255307996 | IP Addr: 10.149.234.216 | Public IP: 27.7.78.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 7h:04m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 585704447 | Bytes Rx: 255307996 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 ||
Username: mraaj | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.148 | Public IP: 115.97.41.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 5h:56m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 668459593 | Bytes Rx: 135598645 | IP Addr: 10.149.234.148 | Public IP: 115.97.41.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 5h:56m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 668459593 | Bytes Rx: 135598645 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: kumarpan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 5h:41m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 217276261 | Bytes Rx: 41815118 | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 5h:41m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 217276261 | Bytes Rx: 41815118 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrajakum | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 5h:17m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1469438977 | Bytes Rx: 246803881 | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 5h:17m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1469438977 | Bytes Rx: 246803881 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 |Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 ||
Username: MJagenat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.131 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:29 IST Fri Jun 26 2020 | Duration: 4h:51m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 90943064 | Bytes Rx: 19561591 | IP Addr: 10.149.235.131 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:29 IST Fri Jun 26 2020 | Duration: 4h:51m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 90943064 | Bytes Rx: 19561591 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193427 | Audit Session ID: 0a95072b2f3930005ef54439 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193427 | Audit Session ID: 0a95072b2f3930005ef54439 | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 4h:22m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 116508336 | Bytes Rx: 61457871 | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 4h:22m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 116508336 | Bytes Rx: 61457871 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 ||
Username: SRaktate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.19 | Public IP: 157.33.145.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Fri Jun 26 2020 | Duration: 4h:10m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 525075824 | Bytes Rx: 118067285 | IP Addr: 10.149.235.19 | Public IP: 157.33.145.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Fri Jun 26 2020 | Duration: 4h:10m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 525075824 | Bytes Rx: 118067285 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193430 | Audit Session ID: 0a95072b2f3960005ef54dc7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193430 | Audit Session ID: 0a95072b2f3960005ef54dc7 | Security Group Tag: none | EasyVPN: 0 ||
