sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 7h:20m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2718076145 | Bytes Rx: 645171624 | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 7h:20m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2718076145 | Bytes Rx: 645171624 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 ||
Username: vasukris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 1d 6h:16m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1017861853 | Bytes Rx: 303689600 | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 1d 6h:16m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1017861853 | Bytes Rx: 303689600 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 |Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 ||
Username: Navselva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.216 | Public IP: 27.7.71.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 14h:04m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1453085053 | Bytes Rx: 404522580 | IP Addr: 10.149.234.216 | Public IP: 27.7.71.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 14h:04m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1453085053 | Bytes Rx: 404522580 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 ||
Username: mraaj | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.148 | Public IP: 115.97.71.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 12h:56m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1565473787 | Bytes Rx: 316912131 | IP Addr: 10.149.234.148 | Public IP: 115.97.71.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 12h:56m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1565473787 | Bytes Rx: 316912131 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: kumarpan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 12h:41m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 515431560 | Bytes Rx: 82994762 | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 12h:41m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 515431560 | Bytes Rx: 82994762 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrajakum | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 12h:18m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 3939213987 | Bytes Rx: 793215140 | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 12h:18m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 3939213987 | Bytes Rx: 793215140 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 |Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 11h:22m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 360910997 | Bytes Rx: 181300734 | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 11h:22m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 360910997 | Bytes Rx: 181300734 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 ||
Username: somnath.datta | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.21 | Public IP: 223.191.55.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:15 IST Fri Jun 26 2020 | Duration: 11h:09m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 502349992 | Bytes Rx: 245643411 | IP Addr: 10.149.235.21 | Public IP: 223.191.55.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:15 IST Fri Jun 26 2020 | Duration: 11h:09m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 502349992 | Bytes Rx: 245643411 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193432 | Audit Session ID: 0a95072b2f3980005ef54e03 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193432 | Audit Session ID: 0a95072b2f3980005ef54e03 | Security Group Tag: none | EasyVPN: 0 ||
Username: amit.singhal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.50 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:25 IST Fri Jun 26 2020 | Duration: 11h:02m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1171883601 | Bytes Rx: 634774578 | IP Addr: 10.149.235.50 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:25 IST Fri Jun 26 2020 | Duration: 11h:02m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1171883601 | Bytes Rx: 634774578 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193439 | Audit Session ID: 0a95072b2f39f0005ef54fb1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193439 | Audit Session ID: 0a95072b2f39f0005ef54fb1 | Security Group Tag: none | EasyVPN: 0 ||
Username: VDESARAJ | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.54 | Public IP: 183.83.69.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:10 IST Fri Jun 26 2020 | Duration: 11h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 881002571 | Bytes Rx: 339750453 | IP Addr: 10.149.235.54 | Public IP: 183.83.69.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:10 IST Fri Jun 26 2020 | Duration: 11h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 881002571 | Bytes Rx: 339750453 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193443 | Audit Session ID: 0a95072b2f3a30005ef5501a | Security Group Tag: none | EasyVPN: 0 |Session ID: 193443 | Audit Session ID: 0a95072b2f3a30005ef5501a | Security Group Tag: none | EasyVPN: 0 ||
Username: damodSR | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.57 | Public IP: 122.171.60.146 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:05:32 IST Fri Jun 26 2020 | Duration: 10h:57m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 629830020 | Bytes Rx: 548324936 | IP Addr: 10.149.235.57 | Public IP: 122.171.60.146 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:05:32 IST Fri Jun 26 2020 | Duration: 10h:57m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 629830020 | Bytes Rx: 548324936 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193446 | Audit Session ID: 0a95072b2f3a60005ef550e4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193446 | Audit Session ID: 0a95072b2f3a60005ef550e4 | Security Group Tag: none | EasyVPN: 0 ||
